ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
A2509-C-3400.DCE,20250731,DCE,752.0,752.0,0.0,0.0,0.0,737.0,737.0,0.0,0.0,0.0
A2509-C-3500.DCE,20250731,DCE,652.0,652.0,0.0,0.0,0.0,637.5,637.5,0.0,0.0,0.0
A2509-C-3550.DCE,20250731,DCE,602.0,602.0,0.0,0.0,0.0,587.5,587.5,0.0,0.0,0.0
A2509-C-3600.DCE,20250731,DCE,552.0,552.0,0.0,0.0,0.0,538.0,538.0,0.0,0.0,0.0
A2509-C-3650.DCE,20250731,DCE,502.0,502.0,0.0,0.0,0.0,488.0,488.0,0.0,0.0,0.0
A2509-C-3700.DCE,20250731,DCE,452.0,452.0,0.0,0.0,0.0,438.0,438.0,0.0,0.0,1.0
A2509-C-3750.DCE,20250731,DCE,402.0,402.0,0.0,0.0,0.0,388.0,388.0,0.0,0.0,0.0
A2509-C-3800.DCE,20250731,DCE,352.5,352.5,0.0,0.0,0.0,338.0,338.0,0.0,0.0,11.0
A2509-C-3850.DCE,20250731,DCE,302.5,302.5,0.0,0.0,0.0,288.0,288.0,0.0,0.0,1.0
A2509-C-3900.DCE,20250731,DCE,253.0,253.0,0.0,0.0,0.0,237.5,237.5,0.0,0.0,21.0
A2509-C-3950.DCE,20250731,DCE,204.0,204.0,0.0,0.0,0.0,187.0,187.0,0.0,0.0,14.0
A2509-C-4000.DCE,20250731,DCE,155.0,160.0,143.5,143.5,124.0,136.5,137.0,56.0,7.66,187.0
A2509-C-4050.DCE,20250731,DCE,107.0,104.0,105.5,110.5,79.0,89.5,93.5,98.0,9.19,279.0
A2509-C-4100.DCE,20250731,DCE,63.0,61.0,57.0,69.0,42.0,48.5,62.5,399.0,21.27,1043.0
A2509-C-4150.DCE,20250731,DCE,33.5,37.0,33.5,38.0,21.5,25.5,42.0,3064.0,87.91,3987.0
A2509-C-4200.DCE,20250731,DCE,21.5,22.5,19.5,22.5,13.5,16.0,28.5,4790.0,85.87,5268.0
A2509-C-4250.DCE,20250731,DCE,15.5,15.0,13.0,14.0,8.5,10.0,19.5,2984.0,35.01,4381.0
A2509-C-4300.DCE,20250731,DCE,12.0,11.0,10.5,10.5,7.0,8.0,13.5,3620.0,31.95,8445.0
A2509-C-4350.DCE,20250731,DCE,9.0,7.5,8.0,8.0,4.5,5.0,9.5,1377.0,8.21,3801.0
A2509-C-4400.DCE,20250731,DCE,7.0,5.5,5.5,5.5,3.5,4.0,6.5,660.0,3.11,4154.0
A2509-C-4450.DCE,20250731,DCE,5.5,4.5,4.5,4.5,3.0,3.0,4.5,623.0,2.25,1353.0
A2509-C-4500.DCE,20250731,DCE,4.5,4.0,3.5,4.0,2.5,3.0,3.0,1272.0,4.08,5797.0
A2509-C-4550.DCE,20250731,DCE,3.5,3.5,3.0,3.0,2.0,2.5,2.0,130.0,0.35,1088.0
A2509-C-4600.DCE,20250731,DCE,3.0,3.0,2.5,2.5,1.5,2.0,1.5,273.0,0.6,1974.0
A2509-C-4650.DCE,20250731,DCE,2.0,2.5,2.5,2.5,2.0,2.0,1.0,20.0,0.04,497.0
A2509-C-4700.DCE,20250731,DCE,1.5,2.0,2.0,2.0,1.5,1.5,0.5,200.0,0.34,2205.0
A2509-P-3400.DCE,20250731,DCE,0.5,0.5,1.0,1.0,1.0,1.0,0.5,10.0,0.01,174.0
A2509-P-3500.DCE,20250731,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,73.0
A2509-P-3550.DCE,20250731,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,116.0
A2509-P-3600.DCE,20250731,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,33.0
A2509-P-3650.DCE,20250731,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,18.0
A2509-P-3700.DCE,20250731,DCE,0.5,1.0,0.5,1.0,0.5,1.0,0.5,58.0,0.05,388.0
A2509-P-3750.DCE,20250731,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.0,0.01,282.0
A2509-P-3800.DCE,20250731,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.0,0.01,509.0
A2509-P-3850.DCE,20250731,DCE,1.0,0.5,1.0,1.0,1.0,1.0,0.5,30.0,0.03,329.0
A2509-P-3900.DCE,20250731,DCE,1.5,1.5,1.5,1.5,1.5,1.5,0.5,41.0,0.06,1080.0
