合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
ag2508C6200,,,,2539.0,2513.0,2539.0,26.0,26.0,0,2,0,0.0,0.999999,0,20250701
ag2508C6300,,,,2439.0,2413.0,2439.0,26.0,26.0,0,2,0,0.0,0.999999,0,20250701
ag2508C6400,,,,2339.0,2313.0,2339.0,26.0,26.0,0,3,0,0.0,0.999999,0,20250701
ag2508C6500,,,,2239.0,2213.0,2239.0,26.0,26.0,0,4,0,0.0,0.999999,0,20250701
ag2508C6600,,,,2139.0,2113.0,2139.0,26.0,26.0,0,3,0,0.0,0.999999,0,20250701
ag2508C6700,,,,2039.0,2013.0,2039.0,26.0,26.0,0,4,0,0.0,0.999999,0,20250701
ag2508C6800,,,,1939.0,1913.0,1939.0,26.0,26.0,0,3,0,0.0,0.999999,0,20250701
ag2508C6900,,,,1839.0,1813.0,1839.0,26.0,26.0,0,6,0,0.0,0.999999,0,20250701
ag2508C7000,,,,1739.0,1713.0,1739.0,26.0,26.0,0,6,0,0.0,0.999999,0,20250701
ag2508C7100,,,,1639.0,1613.0,1639.0,26.0,26.0,0,14,0,0.0,0.999979,0,20250701
ag2508C7200,,,,1539.0,1513.0,1539.0,26.0,26.0,0,40,0,0.0,0.9988,0,20250701
ag2508C7300,,,,1439.0,1413.5,1439.0,25.5,25.5,0,95,0,0.0,0.996659,0,20250701
ag2508C7400,,,,1339.5,1314.0,1339.5,25.5,25.5,0,112,0,0.0,0.993417,0,20250701
ag2508C7500,1240.5,1240.5,1240.5,1240.5,1215.5,1241.0,25.0,25.5,2,461,0,3.7215,0.988153,0,20250701
ag2508C7600,,,,1142.5,1118.0,1142.5,24.5,24.5,0,170,0,0.0,0.980434,0,20250701
ag2508C7700,1064.5,1064.5,1064.5,1064.5,1021.5,1045.5,43.0,24.0,1,101,0,1.59675,0.96945,0,20250701
ag2508C7800,,,,950.0,926.5,950.0,23.5,23.5,0,169,0,0.0,0.953569,0,20250701
ag2508C7900,867,867,867,867.0,834.5,856.5,32.5,22.0,1,195,0,1.3005,0.932583,0,20250701
ag2508C8000,760,821,740.5,821.0,745.0,765.5,76.0,20.5,22,500,10,25.293,0.905733,0,20250701
ag2508C8100,665,698,644,698.0,659.0,678.0,39.0,19.0,25,1536,4,25.1295,0.871427,0,20250701
ag2508C8200,568,635.5,550,635.5,577.0,595.0,58.5,18.0,32,1634,2,28.26525,0.830128,0,20250701
ag2508C8300,485,548.5,466,548.5,500.0,516.0,48.5,16.0,51,1443,-3,37.767,0.782173,0,20250701
ag2508C8400,420,470,389.5,470.0,429.0,442.5,41.0,13.5,81,1127,8,52.4625,0.728073,0,20250701
ag2508C8500,339.5,393,314.5,392.0,363.5,375.0,28.5,11.5,419,5645,-76,215.53575,0.668275,0,20250701
ag2508C8600,282,326,253.5,323.5,304.5,314.5,19.0,10.0,382,1893,78,163.1805,0.604705,0,20250701
ag2508C8700,216.5,268,200,264.0,251.5,260.0,12.5,8.5,2033,2878,28,681.396,0.539114,0,20250701
ag2508C8800,175,219.5,159.5,219.5,205.0,212.0,14.5,7.0,6593,5475,-80,1780.04175,0.47319,0,20250701
ag2508C8900,151,179.5,127.5,179.5,165.5,170.5,14.0,5.0,2787,5729,5,604.4745,0.408614,0,20250701
ag2508C9000,109,148,103,147.0,132.0,135.0,15.0,3.0,15308,17803,72,2670.34875,0.346986,0,20250701
ag2508C9100,92.5,120,81.5,120.0,103.5,106.0,16.5,2.5,2858,6657,133,402.2985,0.290093,0,20250701
ag2508C9200,72,97.5,65,97.5,80.0,81.5,17.5,1.5,2024,3484,192,230.78625,0.238529,0,20250701
ag2508C9300,62.5,80,53,80.0,61.0,62.0,19.0,1.0,1477,2548,173,137.19225,0.192865,0,20250701
ag2508C9400,52,67,43.5,66.0,46.0,46.5,20.0,0.5,884,3101,36,69.1335,0.153332,0,20250701
ag2508C9500,43,59.5,36.5,58.0,34.0,34.5,24.0,0.5,9687,11003,1252,629.76975,0.11986,0,20250701
ag2508C9600,36.5,48,30.5,47.5,25.0,25.0,22.5,0.0,818,2600,6,43.94325,0.092131,0,20250701
ag2508C9700,32,41.5,25.5,41.0,18.0,18.0,23.0,0.0,1169,3113,316,52.81425,0.069645,0,20250701
ag2508C9800,27,35,22,34.5,13.0,12.5,21.5,-0.5,1771,3490,281,71.433,0.051787,0,20250701
ag2508C9900,24.5,32,19,32.0,9.0,8.5,23.0,-0.5,6005,14888,-642,207.894,0.037888,0,20250701
ag2508C10000,22,25.5,15,25.5,6.0,6.0,19.5,0.0,4694,9855,1264,130.071,0.027283,0,20250701
ag2508C10100,17,22.5,13.5,22.5,4.0,4.0,18.5,0.0,945,1155,39,21.96375,0.019344,0,20250701
ag2508C10200,15.5,19.5,11.5,19.5,2.5,2.5,17.0,0.0,206,1576,49,4.239,0.01351,0,20250701
ag2508C10300,12.5,16,10,16.0,1.5,1.5,14.5,0.0,355,647,-95,5.83275,0.009297,0,20250701
ag2508C10400,12,15.5,9,15.5,1.0,1.0,14.5,0.0,508,2657,-126,8.277,0.006307,0,20250701
ag2508C10500,10,13,8,13.0,0.5,0.5,12.5,0.0,263,1372,-60,3.7005,0.004219,0,20250701
ag2508C10600,9,12,7,12.0,0.5,0.5,11.5,0.0,1049,8442,-199,13.48275,0.002784,0,20250701
ag2508C10700,7.5,10.5,5.5,10.5,0.5,0.5,10.0,0.0,1676,4970,85,16.764,0.001813,0,20250701
ag2508P6200,2.5,3,2.5,2.5,0.5,0.5,2.0,0.0,782,11345,95,3.12825,-1e-06,0,20250701
ag2508P6300,2.5,3,2,3.0,0.5,0.5,2.5,0.0,88,337,-57,0.29625,-1e-06,0,20250701
ag2508P6400,3.5,3.5,3.5,3.5,0.5,0.5,3.0,0.0,6,243,6,0.0315,-3e-06,0,20250701
ag2508P6500,4,4,3,3.0,0.5,0.5,2.5,0.0,226,1706,13,1.13775,-7e-06,0,20250701
ag2508P6600,4,4,3,3.0,0.5,0.5,2.5,0.0,42,563,22,0.2355,-1.9e-05,0,20250701
ag2508P6700,3.5,4,3.5,3.5,0.5,0.5,3.0,0.0,37,1502,7,0.21075,-4.7e-05,0,20250701
ag2508P6800,4,4.5,3.5,3.5,0.5,0.5,3.0,0.0,33,1142,7,0.19725,-0.000113,0,20250701
ag2508P6900,5,5.5,4,4.0,0.5,0.5,3.5,0.0,91,954,2,0.597,-0.000255,0,20250701
ag2508P7000,5.5,5.5,4,4.5,0.5,0.5,4.0,0.0,947,9865,-74,6.6825,-0.000553,0,20250701
ag2508P7100,4,6.5,4,5.0,0.5,0.5,4.5,0.0,89,869,-26,0.72225,-0.001125,0,20250701
ag2508P7200,6.5,7,5,5.0,0.5,0.5,4.5,0.0,179,1817,-29,1.34625,-0.002175,0,20250701
ag2508P7300,7,7.5,5,5.0,1.0,0.5,4.0,-0.5,540,2413,17,4.95975,-0.004055,0,20250701
ag2508P7400,7.5,9,7,7.0,1.5,1.0,5.5,-0.5,426,1529,45,4.7505,-0.007064,0,20250701
ag2508P7500,10.5,11.5,8,8.0,3.0,2.5,5.0,-0.5,2917,10556,230,42.9075,-0.012114,0,20250701
ag2508P7600,11.5,13,9,9.5,5.5,4.0,4.0,-1.5,659,1566,-10,10.6725,-0.019645,0,20250701
ag2508P7700,14.5,16,11,11.0,9.0,7.0,2.0,-2.0,763,1442,67,15.68775,-0.030465,0,20250701
