ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
AG2602C10000.SHF,20260119,SHFE,12630.0,12630.0,11591.5,12340.5,11591.5,12083.5,12331.0,4.0,72.51975,16.0,白银期权2602C10000,C,10000.0,20250430,20260126
AG2602C10100.SHF,20260119,SHFE,12530.0,12943.0,,,,12231.0,12231.0,0.0,0.0,19.0,白银期权2602C10100,C,10100.0,20250604,20260126
AG2602C10200.SHF,20260119,SHFE,12430.0,12430.0,,,,12131.0,12131.0,0.0,0.0,16.0,白银期权2602C10200,C,10200.0,20250609,20260126
AG2602C10300.SHF,20260119,SHFE,12330.0,12330.0,,,,12031.0,12031.0,0.0,0.0,15.0,白银期权2602C10300,C,10300.0,20250609,20260126
AG2602C10400.SHF,20260119,SHFE,12230.0,12230.0,,,,11931.0,11931.0,0.0,0.0,15.0,白银期权2602C10400,C,10400.0,20250609,20260126
AG2602C10500.SHF,20260119,SHFE,12130.0,12130.0,,,,11831.0,11831.0,0.0,0.0,22.0,白银期权2602C10500,C,10500.0,20250609,20260126
AG2602C10600.SHF,20260119,SHFE,12030.0,12030.0,,,,11731.0,11731.0,0.0,0.0,34.0,白银期权2602C10600,C,10600.0,20250611,20260126
AG2602C10700.SHF,20260119,SHFE,11930.0,11930.0,,,,11631.0,11631.0,0.0,0.0,25.0,白银期权2602C10700,C,10700.0,20250619,20260126
AG2602C10800.SHF,20260119,SHFE,11830.0,11830.0,,,,11531.0,11531.0,0.0,0.0,208.0,白银期权2602C10800,C,10800.0,20250714,20260126
AG2602C10900.SHF,20260119,SHFE,11730.0,11730.0,,,,11431.0,11431.0,0.0,0.0,19.0,白银期权2602C10900,C,10900.0,20250715,20260126
AG2602C11000.SHF,20260119,SHFE,11630.0,11630.0,,,,11331.0,11331.0,0.0,0.0,1.0,白银期权2602C11000,C,11000.0,20250722,20260126
AG2602C11100.SHF,20260119,SHFE,11530.0,11530.0,,,,11231.0,11231.0,0.0,0.0,71.0,白银期权2602C11100,C,11100.0,20250723,20260126
AG2602C11200.SHF,20260119,SHFE,11430.0,11430.0,,,,11131.0,11131.0,0.0,0.0,25.0,白银期权2602C11200,C,11200.0,20250723,20260126
AG2602C11300.SHF,20260119,SHFE,11330.0,11330.0,,,,11031.0,11031.0,0.0,0.0,39.0,白银期权2602C11300,C,11300.0,20250724,20260126
AG2602C11400.SHF,20260119,SHFE,11230.0,11230.0,,,,10931.0,10931.0,0.0,0.0,25.0,白银期权2602C11400,C,11400.0,20250902,20260126
AG2602C11500.SHF,20260119,SHFE,11130.0,11130.0,,,,10831.0,10831.0,0.0,0.0,37.0,白银期权2602C11500,C,11500.0,20250903,20260126
AG2602C11600.SHF,20260119,SHFE,11030.0,11030.0,,,,10731.0,10731.0,0.0,0.0,45.0,白银期权2602C11600,C,11600.0,20250903,20260126
AG2602C11700.SHF,20260119,SHFE,10930.0,10733.5,,,,10631.0,10631.0,0.0,0.0,11.0,白银期权2602C11700,C,11700.0,20250903,20260126
AG2602C11800.SHF,20260119,SHFE,10830.0,10830.0,,,,10531.0,10531.0,0.0,0.0,27.0,白银期权2602C11800,C,11800.0,20250915,20260126
AG2602C11900.SHF,20260119,SHFE,10730.0,10730.0,,,,10431.0,10431.0,0.0,0.0,20.0,白银期权2602C11900,C,11900.0,20250916,20260126
AG2602C12000.SHF,20260119,SHFE,10630.0,10927.5,,,,10331.0,10331.0,0.0,0.0,1.0,白银期权2602C12000,C,12000.0,20250917,20260126
AG2602C12100.SHF,20260119,SHFE,10530.0,10530.0,,,,10231.0,10231.0,0.0,0.0,11.0,白银期权2602C12100,C,12100.0,20250923,20260126
AG2602C12200.SHF,20260119,SHFE,10430.0,10430.0,,,,10131.0,10131.0,0.0,0.0,81.0,白银期权2602C12200,C,12200.0,20250924,20260126
AG2602C12300.SHF,20260119,SHFE,10330.0,9878.5,10781.5,10781.5,10781.5,10781.5,10031.0,1.0,16.17225,31.0,白银期权2602C12300,C,12300.0,20250925,20260126
AG2602C12400.SHF,20260119,SHFE,10230.0,10230.0,,,,9931.0,9931.0,0.0,0.0,32.0,白银期权2602C12400,C,12400.0,20250929,20260126
AG2602C12500.SHF,20260119,SHFE,10130.0,10130.0,,,,9831.0,9831.0,0.0,0.0,132.0,白银期权2602C12500,C,12500.0,20250929,20260126
AG2602C12600.SHF,20260119,SHFE,10030.0,10030.0,,,,9731.0,9731.0,0.0,0.0,26.0,白银期权2602C12600,C,12600.0,20250930,20260126
AG2602C12700.SHF,20260119,SHFE,9930.0,10056.0,,,,9631.0,9631.0,0.0,0.0,6.0,白银期权2602C12700,C,12700.0,20250930,20260126
AG2602C12800.SHF,20260119,SHFE,9830.0,10226.0,,,,9531.0,9531.0,0.0,0.0,3.0,白银期权2602C12800,C,12800.0,20250930,20260126
AG2602C12900.SHF,20260119,SHFE,9730.0,9757.0,,,,9431.0,9431.0,0.0,0.0,56.0,白银期权2602C12900,C,12900.0,20250930,20260126
AG2602C13000.SHF,20260119,SHFE,9630.0,9300.0,8680.0,10255.0,8680.0,10244.5,9331.0,5.0,74.1945,124.0,白银期权2602C13000,C,13000.0,20250930,20260126
AG2602C13100.SHF,20260119,SHFE,9530.0,9530.0,,,,9231.0,9231.0,0.0,0.0,52.0,白银期权2602C13100,C,13100.0,20250930,20260126
AG2602C13200.SHF,20260119,SHFE,9430.0,9430.0,,,,9131.0,9131.0,0.0,0.0,21.0,白银期权2602C13200,C,13200.0,20250930,20260126
