合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
ao2510C2400,,,,592.0,619.0,592.0,-27.0,-27.0,0,1,0,0.0,1.0,0,20250901
ao2510C2450,,,,542.0,569.0,542.0,-27.0,-27.0,0,0,0,0.0,0.998324,0,20250901
ao2510C2500,,,,492.0,519.0,492.0,-27.0,-27.0,0,0,0,0.0,0.994678,0,20250901
ao2510C2550,,,,442.5,469.5,442.5,-27.0,-27.0,0,0,0,0.0,0.987899,0,20250901
ao2510C2600,,,,393.5,420.5,393.5,-27.0,-27.0,0,0,0,0.0,0.976011,0,20250901
ao2510C2650,355.5,365,328.5,339.0,372.5,345.5,-33.5,-27.0,50,14,14,34.656,0.956624,0,20250901
ao2510C2700,296.5,312,281.5,291.0,326.0,299.0,-35.0,-27.0,39,22,6,23.122,0.927171,0,20250901
ao2510C2750,251.5,251.5,229,243.5,281.0,254.0,-37.5,-27.0,33,82,19,15.794,0.884766,0,20250901
ao2510C2800,218,218,185,200.5,238.5,212.0,-38.0,-26.5,15,92,8,6.031,0.828864,0,20250901
ao2510C2850,149,163,143,163.0,199.0,173.5,-36.0,-25.5,39,159,4,11.705,0.759904,0,20250901
ao2510C2900,135,143,105,125.5,162.5,138.5,-37.0,-24.0,245,237,53,58.295,0.679608,0,20250901
ao2510C2950,101,161,76,161.0,130.5,108.0,30.5,-22.5,752,402,158,131.519,0.591008,3,20250901
ao2510C3000,73.5,79.5,53.5,69.5,102.5,82.5,-33.0,-20.0,3341,1525,579,438.106,0.499375,0,20250901
ao2510C3050,52,57,39,50.5,78.5,61.0,-28.0,-17.5,4701,2027,609,453.031,0.409071,0,20250901
ao2510C3100,40.5,42.5,28.5,37.0,59.5,44.0,-22.5,-15.5,6238,2808,208,441.389,0.325006,0,20250901
ao2510C3150,28,32,21,27.0,43.5,31.0,-16.5,-12.5,2437,2702,349,129.397,0.249456,0,20250901
ao2510C3200,23,24.5,16,21.5,31.5,21.0,-10.0,-10.5,8615,5982,1036,352.58,0.186221,0,20250901
ao2510C3250,18,18,12.5,16.5,22.0,14.0,-5.5,-8.0,2461,2472,-436,78.374,0.133893,0,20250901
ao2510C3300,15,16,10,14.0,15.0,9.0,-1.0,-6.0,6003,6880,144,156.703,0.093914,0,20250901
ao2510C3350,11.5,12,8,10.5,10.0,5.5,0.5,-4.5,1030,1396,12,20.769,0.063188,0,20250901
ao2510C3400,9,10,7,9.5,6.5,3.5,3.0,-3.0,2622,4775,591,43.186,0.041809,0,20250901
ao2510C3450,7.5,8.5,6,8.0,4.0,2.0,4.0,-2.0,642,1370,111,9.264,0.026468,0,20250901
ao2510C3500,6.5,9,5,6.5,2.5,1.0,4.0,-1.5,4434,11312,299,54.027,0.016468,0,20250901
ao2510C3550,5.5,6,4,5.0,1.5,0.5,3.5,-1.0,611,1315,21,5.598,0.009916,0,20250901
ao2510C3600,5,5,3.5,4.0,0.5,0.5,3.5,0.0,823,1654,-54,6.407,0.005726,0,20250901
ao2510C3650,3.5,4.5,3,3.5,0.5,0.5,3.0,0.0,168,435,7,1.047,0.003307,0,20250901
ao2510C3700,3.5,6,2.5,4.0,0.5,0.5,3.5,0.0,859,1120,-26,5.269,0.00183,0,20250901
ao2510C3750,3.5,3.5,2.5,3.0,0.5,0.5,2.5,0.0,57,506,-4,0.344,0.00097,0,20250901
ao2510C3800,3,3,2,2.5,0.5,0.5,2.0,0.0,442,1330,-14,2.197,0.000521,0,20250901
ao2510C3850,3,3,2,2.5,0.5,0.5,2.0,0.0,249,1112,9,1.262,0.000269,0,20250901
ao2510C3900,2.5,2.5,1.5,1.5,0.5,0.5,1.0,0.0,5658,11876,-1229,21.467,0.000133,0,20250901
ao2510P2400,1,1,0.5,1.0,0.5,0.5,0.5,0.0,240,1016,-143,0.427,-0.001002,0,20250901
ao2510P2450,1,1,1,1.0,0.5,0.5,0.5,0.0,50,206,-7,0.088,-0.002537,0,20250901
ao2510P2500,1,1.5,1,1.5,0.5,0.5,1.0,0.0,39,365,-1,0.116,-0.005847,0,20250901
ao2510P2550,2,2.5,1.5,2.5,1.0,0.5,1.5,-0.5,124,273,45,0.388,-0.01234,0,20250901
ao2510P2600,2,3.5,2,3.0,2.0,2.0,1.0,0.0,287,725,12,1.609,-0.023983,0,20250901
ao2510P2650,3,4.5,3,4.5,4.0,3.5,0.5,-0.5,482,613,79,3.565,-0.043167,0,20250901
ao2510P2700,4,7,4,6.0,7.0,7.0,-1.0,0.0,1196,909,146,13.191,-0.072452,0,20250901
ao2510P2750,7,10.5,6.5,8.5,12.0,12.5,-3.5,0.5,857,712,64,14.229,-0.114718,0,20250901
ao2510P2800,10,15.5,10,13.0,19.5,20.0,-6.5,0.5,4763,2652,301,119.185,-0.170513,0,20250901
ao2510P2850,17,25,15.5,19.5,30.0,31.5,-10.5,1.5,2373,1789,113,90.375,-0.239395,0,20250901
ao2510P2900,21.5,39.5,21,30.5,44.0,46.5,-13.5,2.5,8703,3042,289,536.116,-0.31964,0,20250901
ao2510P2950,43,60.5,39.5,48.5,61.5,66.5,-13.0,5.0,3921,2256,255,382.234,-0.408207,0,20250901
ao2510P3000,65,88.5,61,70.0,83.5,90.5,-13.5,7.0,4879,4032,-375,718.325,-0.499833,0,20250901
