ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
AP512C6900.ZCE,20250930,CZCE,1553.0,0.0,0.0,0.0,0.0,0.0,1635.5,0.0,0.0,0.0
AP512C7000.ZCE,20250930,CZCE,1453.5,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,0.0,0.0
AP512C7100.ZCE,20250930,CZCE,1354.0,0.0,0.0,0.0,0.0,0.0,1436.5,0.0,0.0,3.0
AP512C7200.ZCE,20250930,CZCE,1255.5,0.0,0.0,0.0,0.0,0.0,1338.0,0.0,0.0,3.0
AP512C7300.ZCE,20250930,CZCE,1157.5,0.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,9.0
AP512C7400.ZCE,20250930,CZCE,1060.0,0.0,0.0,0.0,0.0,0.0,1142.5,0.0,0.0,12.0
AP512C7500.ZCE,20250930,CZCE,964.0,0.0,0.0,0.0,0.0,0.0,1046.5,0.0,0.0,15.0
AP512C7600.ZCE,20250930,CZCE,870.0,0.0,0.0,0.0,0.0,0.0,951.5,0.0,0.0,15.0
AP512C7700.ZCE,20250930,CZCE,778.0,0.0,0.0,0.0,0.0,0.0,858.5,0.0,0.0,6.0
AP512C7800.ZCE,20250930,CZCE,688.5,0.0,0.0,0.0,0.0,0.0,767.5,0.0,0.0,12.0
AP512C7900.ZCE,20250930,CZCE,602.5,0.0,0.0,0.0,0.0,0.0,679.5,0.0,0.0,21.0
AP512C8000.ZCE,20250930,CZCE,520.5,0.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0,15.0
AP512C8100.ZCE,20250930,CZCE,444.0,0.0,0.0,0.0,0.0,0.0,514.5,0.0,0.0,12.0
AP512C8200.ZCE,20250930,CZCE,373.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,38.0
AP512C8300.ZCE,20250930,CZCE,308.5,0.0,299.5,343.0,299.5,343.0,367.0,2.0,0.64,33.0
