合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
au2508C504,247.14,265.5,247.14,265.5,258.5,264.62,7.0,6.12,3,14,0,77.288,0.999999,0,20250701
au2508C512,,,,256.62,250.5,256.62,6.12,6.12,0,6,0,0.0,0.999999,0,20250701
au2508C520,,,,248.62,242.5,248.62,6.12,6.12,0,5,0,0.0,0.999999,0,20250701
au2508C528,,,,240.62,234.5,240.62,6.12,6.12,0,0,0,0.0,0.999999,0,20250701
au2508C536,,,,232.62,226.5,232.62,6.12,6.12,0,13,0,0.0,0.999999,0,20250701
au2508C544,,,,224.62,218.5,224.62,6.12,6.12,0,7,0,0.0,0.999999,0,20250701
au2508C552,,,,216.62,210.5,216.62,6.12,6.12,0,8,0,0.0,0.999999,0,20250701
au2508C560,,,,208.62,202.5,208.62,6.12,6.12,0,18,0,0.0,0.999999,0,20250701
au2508C568,,,,200.62,194.5,200.62,6.12,6.12,0,9,0,0.0,0.999999,0,20250701
au2508C576,,,,192.62,186.5,192.62,6.12,6.12,0,18,0,0.0,0.999999,0,20250701
au2508C584,,,,184.62,178.5,184.62,6.12,6.12,0,57,0,0.0,0.999999,0,20250701
au2508C592,,,,176.62,170.5,176.62,6.12,6.12,0,118,0,0.0,0.999999,0,20250701
au2508C600,,,,168.62,162.5,168.62,6.12,6.12,0,43,0,0.0,0.999999,0,20250701
au2508C608,,,,160.62,154.5,160.62,6.12,6.12,0,16,0,0.0,0.999999,0,20250701
au2508C616,,,,152.62,146.5,152.62,6.12,6.12,0,77,0,0.0,0.999999,0,20250701
au2508C624,148.5,148.5,148.5,148.5,138.5,144.62,10.0,6.12,1,14,0,14.85,0.999999,0,20250701
au2508C632,,,,136.62,130.5,136.62,6.12,6.12,0,75,0,0.0,0.999999,0,20250701
au2508C640,,,,128.62,122.5,128.62,6.12,6.12,0,157,0,0.0,0.999999,0,20250701
au2508C648,124.66,124.66,124.66,124.66,114.5,120.62,10.16,6.12,1,88,-1,12.466,0.999999,0,20250701
au2508C656,95.16,116.7,95.16,116.6,106.5,112.62,10.1,6.12,4,115,-2,43.712,0.999936,0,20250701
au2508C664,87.32,109.3,87.32,109.0,98.52,104.62,10.48,6.1,28,194,-17,293.652,0.99836,0,20250701
au2508C672,79.54,79.54,79.54,79.54,90.56,96.64,-11.02,6.08,1,235,0,7.954,0.995611,0,20250701
au2508C680,71.7,93.26,71.7,93.26,82.66,88.7,10.6,6.04,4,1155,0,34.014,0.990854,0,20250701
au2508C688,63.74,84.9,63.74,84.5,74.84,80.82,9.66,5.98,253,272,-120,2057.478,0.983289,0,20250701
