合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
br2503C11400,,,,3140.0,3305.0,3140.0,-165.0,-165.0,0,1,0,0.0,1.0,0,20250205
br2503C11600,,,,2940.0,3105.0,2940.0,-165.0,-165.0,0,2,0,0.0,1.0,0,20250205
br2503C11800,,,,2740.0,2905.0,2740.0,-165.0,-165.0,0,13,0,0.0,1.0,0,20250205
br2503C12000,,,,2540.0,2705.0,2540.0,-165.0,-165.0,0,14,0,0.0,1.0,0,20250205
br2503C12200,,,,2340.0,2505.0,2340.0,-165.0,-165.0,0,22,0,0.0,0.998802,0,20250205
br2503C12400,,,,2140.0,2307.0,2140.0,-167.0,-167.0,0,25,0,0.0,0.996038,0,20250205
br2503C12600,,,,1942.0,2109.0,1942.0,-167.0,-167.0,0,23,0,0.0,0.990934,0,20250205
br2503C12800,,,,1745.0,1914.0,1745.0,-169.0,-169.0,0,40,0,0.0,0.982006,0,20250205
br2503C13000,,,,1550.0,1722.0,1550.0,-172.0,-172.0,0,39,0,0.0,0.967393,0,20250205
br2503C13200,,,,1360.0,1534.0,1360.0,-174.0,-174.0,0,75,0,0.0,0.944847,0,20250205
br2503C13400,,,,1176.0,1352.0,1176.0,-176.0,-176.0,0,70,0,0.0,0.911548,0,20250205
br2503C13600,992,992,992,992.0,1179.0,1001.0,-187.0,-178.0,1,130,0,0.496,0.866596,0,20250205
br2503C13800,719,828,719,828.0,1013.0,836.0,-185.0,-177.0,35,38,-8,13.76,0.80949,0,20250205
br2503C14000,658,673,548,673.0,860.0,685.0,-187.0,-175.0,72,490,33,22.3465,0.739488,0,20250205
br2503C14200,700,700,455,567.0,719.0,549.0,-152.0,-170.0,55,657,-3,14.125,0.660049,2,20250205
br2503C14400,385,446,311,445.0,592.0,430.0,-147.0,-162.0,340,283,58,62.55,0.57401,0,20250205
br2503C14600,333,341,158,335.0,480.0,330.0,-145.0,-150.0,1174,506,99,164.3655,0.485466,0,20250205
br2503C14800,176,263,158,235.0,383.0,246.0,-148.0,-137.0,1318,438,33,131.749,0.398584,0,20250205
br2503C15000,179,225,108,171.0,299.0,179.0,-128.0,-120.0,3602,871,102,249.4545,0.317993,0,20250205
br2503C15200,101,138,77,129.0,231.0,127.0,-102.0,-104.0,3108,1096,102,157.6695,0.245478,0,20250205
br2503C15400,72,100,55,79.0,175.0,88.0,-96.0,-87.0,1051,390,36,39.323,0.184334,0,20250205
br2503C15600,73,75,39,57.0,130.0,58.0,-73.0,-72.0,1051,647,95,26.513,0.133461,0,20250205
br2503C15800,23,58,23,41.0,94.0,38.0,-53.0,-56.0,969,908,195,17.4505,0.094409,0,20250205
br2503C16000,31,48,21,31.0,68.0,24.0,-37.0,-44.0,1869,1149,439,26.572,0.064125,0,20250205
br2503C16200,19,36,16,22.0,48.0,15.0,-26.0,-33.0,678,549,110,7.396,0.04273,0,20250205
br2503C16400,36,36,14,17.0,33.0,9.0,-16.0,-24.0,2700,2628,172,25.7255,0.027432,0,20250205
br2503C16600,17,17,10,13.0,22.0,5.0,-9.0,-17.0,1834,715,-616,12.1485,0.017069,0,20250205
br2503C16800,12,12,7,9.0,15.0,3.0,-6.0,-12.0,355,147,87,1.6165,0.01043,0,20250205
br2503C17000,11,11,4,5.0,9.0,1.0,-4.0,-8.0,488,532,299,1.711,0.006093,0,20250205
br2503P11400,,,,1.0,1.0,1.0,0.0,0.0,0,296,0,0.0,-3.3e-05,0,20250205
br2503P11600,,,,1.0,1.0,1.0,0.0,0.0,0,191,0,0.0,-0.000105,0,20250205
br2503P11800,5,5,5,5.0,1.0,1.0,4.0,0.0,3,101,0,0.0075,-0.000305,0,20250205
br2503P12000,9,9,4,4.0,1.0,1.0,3.0,0.0,681,784,117,1.606,-0.000805,0,20250205
br2503P12200,7,8,5,5.0,1.0,1.0,4.0,0.0,255,280,16,0.7765,-0.00197,0,20250205
br2503P12400,9,9,6,7.0,3.0,1.0,4.0,-2.0,299,233,-22,1.05,-0.004466,0,20250205
br2503P12600,13,14,11,11.0,5.0,2.0,6.0,-3.0,229,443,33,1.417,-0.009335,0,20250205
br2503P12800,16,20,14,15.0,10.0,6.0,5.0,-4.0,209,497,21,1.6465,-0.018062,0,20250205
br2503P13000,19,30,18,20.0,18.0,11.0,2.0,-7.0,2681,2569,118,31.005,-0.032502,0,20250205
br2503P13200,25,38,25,28.0,31.0,21.0,-3.0,-10.0,232,547,2,3.719,-0.054903,0,20250205
br2503P13400,40,55,39,40.0,48.0,37.0,-8.0,-11.0,576,769,-2,13.101,-0.08808,0,20250205
br2503P13600,80,83,53,57.0,74.0,61.0,-17.0,-13.0,1285,848,-50,44.1465,-0.132934,0,20250205
br2503P13800,88,116,77,87.0,109.0,96.0,-22.0,-13.0,1208,796,-15,58.2215,-0.189967,0,20250205
br2503P14000,100,187,99,115.0,156.0,145.0,-41.0,-11.0,7179,2741,57,485.5415,-0.25991,0,20250205
br2503P14200,191,249,150,163.0,215.0,210.0,-52.0,-5.0,999,690,14,93.542,-0.339312,0,20250205
br2503P14400,250,339,128,214.0,287.0,290.0,-73.0,3.0,878,527,32,113.965,-0.425332,0,20250205
br2503P14600,300,425,183,301.0,375.0,390.0,-74.0,15.0,799,748,20,143.4305,-0.513871,0,20250205
br2503P14800,419,564,394,408.0,478.0,505.0,-70.0,27.0,303,511,-13,70.833,-0.600769,0,20250205
