合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
bu2512C2900,,,,493.0,476.5,493.0,16.5,16.5,0,0,0,0.0,0.979693,0,20250910
bu2512C2950,,,,445.0,429.0,445.0,16.0,16.0,0,0,0,0.0,0.964995,0,20250910
bu2512C3000,,,,397.5,382.5,397.5,15.0,15.0,0,0,0,0.0,0.944853,0,20250910
bu2512C3050,,,,351.5,338.0,351.5,13.5,13.5,0,0,0,0.0,0.916417,0,20250910
bu2512C3100,,,,307.0,295.0,307.0,12.0,12.0,0,0,0,0.0,0.880366,0,20250910
bu2512C3150,,,,265.5,255.0,265.5,10.5,10.5,0,0,0,0.0,0.83452,0,20250910
bu2512C3200,223.5,223.5,223.5,223.5,217.5,226.0,6.0,8.5,1,1,1,0.2235,0.78035,0,20250910
bu2512C3250,,,,190.0,183.0,190.0,7.0,7.0,0,0,0,0.0,0.718185,0,20250910
bu2512C3300,,,,157.0,151.5,157.0,5.5,5.5,0,0,0,0.0,0.64948,0,20250910
bu2512C3350,125,125,125,125.0,124.0,128.0,1.0,4.0,2,2,2,0.25,0.576918,0,20250910
bu2512C3400,91,101.5,91,101.5,100.0,102.5,1.5,2.5,99,92,92,9.715,0.502626,0,20250910
bu2512C3450,68,77,68,76.0,79.5,81.0,-3.5,1.5,115,85,85,8.573,0.429363,0,20250910
bu2512C3500,70,70,50,56.0,62.0,62.5,-6.0,0.5,451,379,379,23.937,0.359266,0,20250910
bu2512C3550,38.5,41,38.5,41.0,48.0,47.5,-7.0,-0.5,34,30,30,1.35,0.294419,0,20250910
bu2512C3600,38,38,30.5,33.0,36.5,35.5,-3.5,-1.0,19,17,17,0.6195,0.236781,0,20250910
bu2512C3650,,,,26.0,27.0,26.0,-1.0,-1.0,0,0,0,0.0,0.18641,0,20250910
bu2512C3700,,,,19.0,20.0,19.0,-1.0,-1.0,0,0,0,0.0,0.143557,0,20250910
bu2512C3750,,,,13.0,14.5,13.0,-1.5,-1.5,0,0,0,0.0,0.10807,0,20250910
