ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
C2507-C-1960.DCE,20250530,DCE,368.0,368.0,0.0,0.0,0.0,379.0,379.0,0.0,0.0,0.0
C2507-C-2000.DCE,20250530,DCE,328.0,328.0,0.0,0.0,0.0,339.0,339.0,0.0,0.0,8.0
C2507-C-2020.DCE,20250530,DCE,308.0,308.0,0.0,0.0,0.0,319.0,319.0,0.0,0.0,0.0
C2507-C-2040.DCE,20250530,DCE,288.0,288.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0,0.0
C2507-C-2060.DCE,20250530,DCE,268.0,268.0,0.0,0.0,0.0,279.0,279.0,0.0,0.0,0.0
C2507-C-2080.DCE,20250530,DCE,248.0,248.0,0.0,0.0,0.0,259.0,259.0,0.0,0.0,8.0
C2507-C-2100.DCE,20250530,DCE,228.0,228.0,0.0,0.0,0.0,239.0,239.0,0.0,0.0,0.0
C2507-C-2120.DCE,20250530,DCE,208.0,208.0,0.0,0.0,0.0,219.0,219.0,0.0,0.0,0.0
C2507-C-2140.DCE,20250530,DCE,188.0,188.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0,0.0
C2507-C-2160.DCE,20250530,DCE,168.0,168.0,0.0,0.0,0.0,179.0,179.0,0.0,0.0,0.0
C2507-C-2180.DCE,20250530,DCE,148.0,148.0,0.0,0.0,0.0,159.0,159.0,0.0,0.0,11.0
C2507-C-2200.DCE,20250530,DCE,128.0,128.0,0.0,0.0,0.0,139.0,139.0,0.0,0.0,30.0
C2507-C-2220.DCE,20250530,DCE,108.5,108.5,0.0,0.0,0.0,119.0,119.0,0.0,0.0,182.0
C2507-C-2240.DCE,20250530,DCE,90.0,90.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,488.0
C2507-C-2260.DCE,20250530,DCE,72.0,74.0,81.5,86.0,77.5,77.5,81.0,89.0,7.3,4608.0
C2507-C-2280.DCE,20250530,DCE,55.5,56.0,62.0,68.0,61.5,62.5,63.5,66.0,4.22,2793.0
C2507-C-2300.DCE,20250530,DCE,41.0,40.0,42.0,51.0,41.5,42.0,48.0,460.0,21.2,8608.0
C2507-C-2320.DCE,20250530,DCE,29.0,27.0,29.0,36.0,27.0,28.0,34.0,1316.0,41.33,11439.0
C2507-C-2340.DCE,20250530,DCE,19.0,18.5,19.0,24.5,18.0,18.5,23.0,4723.0,101.84,15090.0
C2507-C-2360.DCE,20250530,DCE,12.0,12.0,12.0,16.5,11.5,12.5,14.5,8944.0,124.99,23445.0
C2507-C-2380.DCE,20250530,DCE,7.0,8.5,8.5,11.0,7.5,8.0,8.5,6465.0,60.13,23804.0
C2507-C-2400.DCE,20250530,DCE,4.0,5.0,5.0,7.0,5.0,5.5,4.5,4173.0,23.6,26166.0
C2507-C-2420.DCE,20250530,DCE,2.0,3.5,4.0,4.5,3.5,4.0,2.5,1808.0,7.01,9410.0
C2507-C-2440.DCE,20250530,DCE,1.0,2.5,2.5,3.5,2.0,2.5,1.0,3437.0,9.02,8271.0
C2507-C-2460.DCE,20250530,DCE,0.5,2.0,1.5,2.0,1.5,2.0,0.5,2948.0,5.77,11689.0
C2507-C-2480.DCE,20250530,DCE,0.5,1.0,1.0,1.5,1.0,1.0,0.5,1175.0,1.5,4624.0
C2507-C-2500.DCE,20250530,DCE,0.5,1.0,1.0,1.0,0.5,1.0,0.5,724.0,0.66,9830.0
C2507-C-2520.DCE,20250530,DCE,0.5,1.0,1.0,1.0,1.0,1.0,0.5,67.0,0.06,2740.0
C2507-C-2540.DCE,20250530,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1798.0
C2507-C-2560.DCE,20250530,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,105.0,0.05,1339.0
C2507-C-2580.DCE,20250530,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59.0,0.03,2546.0
C2507-C-2600.DCE,20250530,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,121.0,0.06,8828.0
C2507-C-2620.DCE,20250530,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,454.0,0.23,3954.0
C2507-P-1960.DCE,20250530,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,761.0
