ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
CF509C11000.ZCE,20250731,CZCE,2825.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,1.0
CF509C11200.ZCE,20250731,CZCE,2625.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
CF509C11400.ZCE,20250731,CZCE,2425.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0
CF509C11600.ZCE,20250731,CZCE,2225.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,2.0
CF509C11800.ZCE,20250731,CZCE,2025.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,3.0
CF509C12000.ZCE,20250731,CZCE,1826.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,249.0
CF509C12200.ZCE,20250731,CZCE,1626.0,0.0,1490.0,1490.0,1490.0,1490.0,1501.0,1.0,0.75,290.0
CF509C12400.ZCE,20250731,CZCE,1428.0,0.0,1291.0,1291.0,1291.0,1291.0,1302.0,1.0,0.65,510.0
CF509C12600.ZCE,20250731,CZCE,1230.0,0.0,1091.0,1091.0,1091.0,1091.0,1103.0,1.0,0.55,460.0
CF509C12800.ZCE,20250731,CZCE,1033.0,0.0,893.0,893.0,893.0,893.0,906.0,1.0,0.45,513.0
CF509C13000.ZCE,20250731,CZCE,837.0,771.0,764.0,779.0,648.0,649.0,710.0,681.0,245.03,2419.0
CF509C13200.ZCE,20250731,CZCE,645.0,567.0,561.0,580.0,452.0,467.0,517.0,377.0,97.03,4753.0
CF509C13400.ZCE,20250731,CZCE,459.0,384.0,384.0,394.0,264.0,278.0,330.0,503.0,81.12,6373.0
CF509C13600.ZCE,20250731,CZCE,286.0,213.0,229.0,235.0,124.0,135.0,169.0,6080.0,508.66,9612.0
CF509C13800.ZCE,20250731,CZCE,152.0,114.0,117.0,127.0,60.0,68.0,80.0,20526.0,872.66,13539.0
CF509C14000.ZCE,20250731,CZCE,85.0,69.0,64.0,75.0,35.0,42.0,49.0,20971.0,554.51,24261.0
CF509C14200.ZCE,20250731,CZCE,57.0,44.0,44.0,49.0,23.0,28.0,35.0,10343.0,173.73,25154.0
CF509C14400.ZCE,20250731,CZCE,41.0,32.0,32.0,35.0,16.0,20.0,26.0,8965.0,105.21,12667.0
CF509C14600.ZCE,20250731,CZCE,31.0,21.0,21.0,24.0,10.0,14.0,19.0,7189.0,55.13,12432.0
CF509C14800.ZCE,20250731,CZCE,24.0,18.0,18.0,20.0,9.0,12.0,14.0,5265.0,36.34,8446.0
CF509C15000.ZCE,20250731,CZCE,18.0,16.0,16.0,17.0,7.0,9.0,11.0,12371.0,73.27,21154.0
CF509C15200.ZCE,20250731,CZCE,14.0,12.0,12.0,13.0,6.0,9.0,9.0,5069.0,23.15,6376.0
CF509C15400.ZCE,20250731,CZCE,11.0,9.0,9.0,10.0,4.0,6.0,6.0,2608.0,8.99,2752.0
CF509C15600.ZCE,20250731,CZCE,9.0,7.0,7.0,9.0,4.0,5.0,5.0,2031.0,7.11,4333.0
CF509C15800.ZCE,20250731,CZCE,7.0,7.0,8.0,9.0,4.0,6.0,4.0,15111.0,52.45,28359.0
CF509P11000.ZCE,20250731,CZCE,1.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,2666.0
CF509P11200.ZCE,20250731,CZCE,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1509.0
CF509P11400.ZCE,20250731,CZCE,1.0,2.0,2.0,2.0,2.0,2.0,1.0,12.0,0.01,5427.0
CF509P11600.ZCE,20250731,CZCE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,961.0
CF509P11800.ZCE,20250731,CZCE,1.0,2.0,2.0,2.0,2.0,2.0,1.0,64.0,0.06,2675.0
CF509P12000.ZCE,20250731,CZCE,1.0,2.0,2.0,2.0,1.0,2.0,1.0,708.0,0.64,5164.0
CF509P12200.ZCE,20250731,CZCE,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1547.0,1.52,4878.0
CF509P12400.ZCE,20250731,CZCE,3.0,2.0,3.0,4.0,2.0,3.0,2.0,946.0,1.41,8774.0
CF509P12600.ZCE,20250731,CZCE,5.0,3.0,3.0,4.0,2.0,3.0,4.0,2065.0,3.08,6282.0
CF509P12800.ZCE,20250731,CZCE,8.0,5.0,4.0,6.0,4.0,4.0,6.0,1964.0,4.83,8541.0
CF509P13000.ZCE,20250731,CZCE,13.0,8.0,8.0,10.0,6.0,8.0,10.0,5185.0,21.0,13639.0
