ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
CJ507C10000.ZCE,20250331,CZCE,63.0,71.0,49.0,79.0,49.0,65.0,55.0,18.0,0.59,431.0
CJ507C10200.ZCE,20250331,CZCE,45.0,0.0,21.0,21.0,21.0,21.0,38.0,2.0,0.03,18.0
CJ507C10400.ZCE,20250331,CZCE,34.0,30.0,35.0,36.0,35.0,36.0,28.0,9.0,0.15,25.0
CJ507C10600.ZCE,20250331,CZCE,27.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,59.0
CJ507C10800.ZCE,20250331,CZCE,21.0,21.0,12.0,18.0,8.0,17.0,18.0,31.0,0.19,103.0
CJ507C11000.ZCE,20250331,CZCE,19.0,15.0,20.0,20.0,10.0,10.0,15.0,75.0,0.54,165.0
CJ507C7900.ZCE,20250331,CZCE,1361.0,0.0,0.0,0.0,0.0,0.0,1335.0,0.0,0.0,0.0
CJ507C8000.ZCE,20250331,CZCE,1262.0,0.0,0.0,0.0,0.0,0.0,1237.0,0.0,0.0,0.0
CJ507C8100.ZCE,20250331,CZCE,1164.0,0.0,0.0,0.0,0.0,0.0,1139.0,0.0,0.0,0.0
CJ507C8200.ZCE,20250331,CZCE,1067.0,0.0,0.0,0.0,0.0,0.0,1042.0,0.0,0.0,0.0
CJ507C8300.ZCE,20250331,CZCE,972.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0,0.0,2.0
CJ507C8400.ZCE,20250331,CZCE,879.0,0.0,0.0,0.0,0.0,0.0,854.0,0.0,0.0,0.0
CJ507C8500.ZCE,20250331,CZCE,789.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,0.0,0.0
CJ507C8600.ZCE,20250331,CZCE,702.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0
CJ507C8700.ZCE,20250331,CZCE,619.0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0,3.0
CJ507C8800.ZCE,20250331,CZCE,541.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,9.0
CJ507C8900.ZCE,20250331,CZCE,468.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,9.0
CJ507C9000.ZCE,20250331,CZCE,401.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,9.0
CJ507C9100.ZCE,20250331,CZCE,341.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,12.0
CJ507C9200.ZCE,20250331,CZCE,288.0,290.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,7.0
CJ507C9300.ZCE,20250331,CZCE,240.0,244.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,20.0
CJ507C9400.ZCE,20250331,CZCE,199.0,202.0,323.0,323.0,176.0,176.0,183.0,4.0,0.5,18.0
CJ507C9500.ZCE,20250331,CZCE,165.0,176.0,102.0,195.0,102.0,195.0,149.0,3.0,0.22,8.0
CJ507C9600.ZCE,20250331,CZCE,136.0,125.0,123.0,123.0,123.0,123.0,122.0,1.0,0.06,54.0
CJ507C9700.ZCE,20250331,CZCE,111.0,120.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,4.0
CJ507C9800.ZCE,20250331,CZCE,92.0,89.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,394.0
CJ507C9900.ZCE,20250331,CZCE,76.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,45.0
CJ507P10000.ZCE,20250331,CZCE,800.0,0.0,0.0,0.0,0.0,0.0,817.0,0.0,0.0,3.0
CJ507P10200.ZCE,20250331,CZCE,981.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,3.0
CJ507P10400.ZCE,20250331,CZCE,1170.0,0.0,0.0,0.0,0.0,0.0,1190.0,0.0,0.0,3.0
CJ507P10600.ZCE,20250331,CZCE,1363.0,0.0,0.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0
CJ507P10800.ZCE,20250331,CZCE,1557.0,0.0,0.0,0.0,0.0,0.0,1579.0,0.0,0.0,0.0
CJ507P11000.ZCE,20250331,CZCE,1754.0,0.0,0.0,0.0,0.0,0.0,1776.0,0.0,0.0,0.0
CJ507P7900.ZCE,20250331,CZCE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0
CJ507P8000.ZCE,20250331,CZCE,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0
CJ507P8100.ZCE,20250331,CZCE,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,18.0
CJ507P8200.ZCE,20250331,CZCE,10.0,0.0,4.0,4.0,4.0,4.0,9.0,1.0,0.0,41.0
CJ507P8300.ZCE,20250331,CZCE,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,36.0
CJ507P8400.ZCE,20250331,CZCE,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,42.0
CJ507P8500.ZCE,20250331,CZCE,31.0,30.0,6.0,6.0,6.0,6.0,31.0,1.0,0.0,26.0
CJ507P8600.ZCE,20250331,CZCE,44.0,55.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,58.0
CJ507P8700.ZCE,20250331,CZCE,61.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,26.0
CJ507P8800.ZCE,20250331,CZCE,83.0,83.0,33.0,97.0,33.0,97.0,84.0,9.0,0.28,26.0
CJ507P8900.ZCE,20250331,CZCE,109.0,100.0,100.0,100.0,100.0,100.0,111.0,4.0,0.2,22.0
CJ507P9000.ZCE,20250331,CZCE,142.0,120.0,128.0,134.0,128.0,134.0,145.0,5.0,0.32,59.0
CJ507P9100.ZCE,20250331,CZCE,182.0,200.0,186.0,186.0,167.0,170.0,185.0,18.0,1.59,115.0
CJ507P9200.ZCE,20250331,CZCE,228.0,230.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,16.0
CJ507P9300.ZCE,20250331,CZCE,280.0,270.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,19.0
CJ507P9400.ZCE,20250331,CZCE,338.0,41.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,7.0
CJ507P9500.ZCE,20250331,CZCE,404.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,0.0,3.0
CJ507P9600.ZCE,20250331,CZCE,475.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,3.0
CJ507P9700.ZCE,20250331,CZCE,550.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,15.0
CJ507P9800.ZCE,20250331,CZCE,630.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,15.0
