合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
cu2508C63000,,,,17020.0,16770.0,17020.0,250.0,250.0,0,0,0,0.0,0.999999,0,20250701
cu2508C64000,,,,16020.0,15770.0,16020.0,250.0,250.0,0,0,0,0.0,0.999999,0,20250701
cu2508C65000,,,,15020.0,14770.0,15020.0,250.0,250.0,0,0,0,0.0,0.999999,0,20250701
cu2508C66000,,,,14020.0,13770.0,14020.0,250.0,250.0,0,10,0,0.0,0.999999,0,20250701
cu2508C67000,,,,13020.0,12770.0,13020.0,250.0,250.0,0,0,0,0.0,0.999999,0,20250701
cu2508C68000,,,,12020.0,11770.0,12020.0,250.0,250.0,0,0,0,0.0,0.999596,0,20250701
cu2508C69000,,,,11020.0,10772.0,11020.0,248.0,248.0,0,0,0,0.0,0.997239,0,20250701
cu2508C70000,,,,10026.0,9776.0,10026.0,250.0,250.0,0,4,0,0.0,0.993032,0,20250701
cu2508C71000,,,,9038.0,8790.0,9038.0,248.0,248.0,0,37,0,0.0,0.98547,0,20250701
cu2508C72000,,,,8062.0,7816.0,8062.0,246.0,246.0,0,237,0,0.0,0.972728,0,20250701
cu2508C73000,6846,7490,6844,7490.0,6860.0,7104.0,630.0,244.0,9,227,0,31.893,0.952795,0,20250701
cu2508C74000,5650,6498,5650,6498.0,5934.0,6170.0,564.0,236.0,39,645,-2,115.625,0.923625,0,20250701
cu2508C75000,4706,5582,4694,5582.0,5046.0,5278.0,536.0,232.0,57,918,-13,142.383,0.882542,0,20250701
cu2508C76000,3784,4832,3784,4716.0,4214.0,4434.0,502.0,220.0,42,961,6,89.202,0.828821,0,20250701
cu2508C77000,2900,3920,2900,3876.0,3448.0,3652.0,428.0,204.0,223,1050,165,344.831,0.76313,0,20250701
cu2508C78000,2130,3022,2100,2994.0,2756.0,2948.0,238.0,192.0,275,1481,9,326.178,0.686072,0,20250701
cu2508C79000,1438,2354,1438,2200.0,2154.0,2326.0,46.0,172.0,939,2264,123,790.03,0.601235,0,20250701
cu2508C80000,1100,1758,1008,1648.0,1642.0,1786.0,6.0,144.0,7430,5092,105,4680.595,0.512482,0,20250701
cu2508C82000,660,1052,564,966.0,880.0,980.0,86.0,100.0,19240,11514,998,7316.799,0.340378,0,20250701
cu2508C84000,414,688,336,610.0,422.0,484.0,188.0,62.0,13522,6682,889,3276.855,0.199482,0,20250701
cu2508C86000,274,480,226,420.0,180.0,212.0,240.0,32.0,8581,4197,474,1407.455,0.102726,0,20250701
cu2508C88000,194,346,160,296.0,68.0,82.0,228.0,14.0,7602,3617,172,904.752,0.046395,0,20250701
cu2508C90000,154,266,124,228.0,22.0,28.0,206.0,6.0,3847,1886,321,367.133,0.01855,0,20250701
cu2508C92000,126,220,108,180.0,6.0,8.0,174.0,2.0,12022,9044,386,953.107,0.006599,0,20250701
cu2508P63000,16,16,10,12.0,2.0,2.0,10.0,0.0,47,678,-2,0.283,-7e-06,0,20250701
cu2508P64000,12,14,12,14.0,2.0,2.0,12.0,0.0,21,170,5,0.141,-2.5e-05,0,20250701
cu2508P65000,14,16,14,16.0,2.0,2.0,14.0,0.0,8,177,4,0.059,-8.1e-05,0,20250701
cu2508P66000,18,18,16,16.0,2.0,2.0,14.0,0.0,22,162,14,0.177,-0.000237,0,20250701
cu2508P67000,18,18,14,14.0,2.0,2.0,12.0,0.0,26,218,2,0.193,-0.000636,0,20250701
cu2508P68000,22,22,20,20.0,2.0,2.0,18.0,0.0,71,601,-51,0.764,-0.001568,0,20250701
cu2508P69000,36,36,22,24.0,4.0,4.0,20.0,0.0,160,972,-65,2.107,-0.003556,0,20250701
cu2508P70000,34,36,28,30.0,12.0,10.0,18.0,-2.0,557,2381,103,8.904,-0.007449,0,20250701
cu2508P71000,40,40,34,34.0,24.0,22.0,10.0,-2.0,263,584,-63,4.809,-0.014735,0,20250701
cu2508P72000,50,56,44,48.0,50.0,46.0,-2.0,-4.0,625,2790,22,15.682,-0.027239,0,20250701
cu2508P73000,66,66,54,54.0,94.0,88.0,-40.0,-6.0,300,1562,-106,9.074,-0.046972,0,20250701
cu2508P74000,68,78,60,66.0,168.0,156.0,-102.0,-12.0,721,2152,-17,25.958,-0.075979,0,20250701
cu2508P75000,110,116,88,94.0,280.0,262.0,-186.0,-18.0,2550,2787,-108,131.587,-0.116924,0,20250701
cu2508P76000,150,172,128,132.0,446.0,418.0,-314.0,-28.0,2316,2796,247,172.122,-0.170536,0,20250701
cu2508P77000,264,286,200,206.0,680.0,636.0,-474.0,-44.0,4451,3706,405,551.869,-0.236148,0,20250701
cu2508P78000,500,514,338,352.0,988.0,930.0,-636.0,-58.0,4164,3187,352,876.161,-0.313148,0,20250701
cu2508P79000,870,904,602,620.0,1386.0,1306.0,-766.0,-80.0,3299,1928,672,1224.52,-0.397951,0,20250701
cu2508P80000,1410,1490,1010,1030.0,1872.0,1766.0,-842.0,-106.0,1160,841,258,702.811,-0.486696,0,20250701
cu2508P82000,2982,2990,2300,2354.0,3108.0,2960.0,-754.0,-148.0,239,949,63,293.521,-0.65884,0,20250701
cu2508P84000,4688,4688,3952,3982.0,4648.0,4460.0,-666.0,-188.0,82,202,25,171.541,-0.799861,0,20250701
cu2508P86000,6500,6546,5730,5786.0,6406.0,6188.0,-620.0,-218.0,38,74,32,118.072,-0.896829,0,20250701
cu2508P88000,8390,8420,7608,7610.0,8292.0,8058.0,-682.0,-234.0,24,139,-2,98.245,-0.953461,0,20250701
cu2508P90000,10368,10380,9530,9614.0,10248.0,10004.0,-634.0,-244.0,29,140,-3,146.467,-0.981702,0,20250701
cu2508P92000,12326,12332,12326,12332.0,12232.0,11984.0,100.0,-248.0,10,38,-4,61.304,-0.994143,0,20250701
cu2509C62000,,,,17790.0,17620.0,17790.0,170.0,170.0,0,1,0,0.0,1.0,0,20250701
cu2509C63000,,,,16790.0,16620.0,16790.0,170.0,170.0,0,0,0,0.0,1.0,0,20250701
cu2509C64000,,,,15790.0,15620.0,15790.0,170.0,170.0,0,0,0,0.0,1.0,0,20250701
cu2509C65000,,,,14790.0,14620.0,14790.0,170.0,170.0,0,1,0,0.0,1.0,0,20250701
cu2509C66000,,,,13790.0,13620.0,13790.0,170.0,170.0,0,27,0,0.0,0.999986,0,20250701
cu2509C67000,,,,12790.0,12626.0,12790.0,164.0,164.0,0,1,0,0.0,0.997416,0,20250701
cu2509C68000,,,,11796.0,11636.0,11796.0,160.0,160.0,0,0,0,0.0,0.992783,0,20250701
cu2509C69000,,,,10808.0,10656.0,10808.0,152.0,152.0,0,1,0,0.0,0.985877,0,20250701
cu2509C70000,,,,9832.0,9690.0,9832.0,142.0,142.0,0,6,0,0.0,0.975085,0,20250701
cu2509C71000,,,,8868.0,8740.0,8868.0,128.0,128.0,0,6,0,0.0,0.959846,0,20250701
cu2509C72000,7600,7600,7600,7600.0,7816.0,7928.0,-216.0,112.0,1,18,1,3.8,0.938019,0,20250701
