ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
EB2503-C-10000.DCE,20250127,DCE,0.5,3.0,5.0,6.0,2.5,2.5,0.5,932.0,1.99,902.0
EB2503-C-10200.DCE,20250127,DCE,0.5,0.5,4.5,4.5,4.0,4.0,0.5,55.0,0.11,93.0
EB2503-C-7000.DCE,20250127,DCE,1632.0,1632.0,0.0,0.0,0.0,1703.0,1703.0,0.0,0.0,0.0
EB2503-C-7200.DCE,20250127,DCE,1432.0,1432.0,0.0,0.0,0.0,1503.0,1503.0,0.0,0.0,0.0
EB2503-C-7300.DCE,20250127,DCE,1332.0,1332.0,0.0,0.0,0.0,1403.0,1403.0,0.0,0.0,0.0
EB2503-C-7400.DCE,20250127,DCE,1232.0,1232.0,0.0,0.0,0.0,1303.0,1303.0,0.0,0.0,1.0
EB2503-C-7500.DCE,20250127,DCE,1132.0,1132.0,0.0,0.0,0.0,1203.0,1203.0,0.0,0.0,1.0
EB2503-C-7600.DCE,20250127,DCE,1032.0,1032.0,0.0,0.0,0.0,1103.0,1103.0,0.0,0.0,1.0
EB2503-C-7700.DCE,20250127,DCE,932.0,932.0,0.0,0.0,0.0,1003.0,1003.0,0.0,0.0,1.0
EB2503-C-7800.DCE,20250127,DCE,833.0,833.0,0.0,0.0,0.0,903.5,903.5,0.0,0.0,12.0
EB2503-C-7900.DCE,20250127,DCE,735.0,735.0,0.0,0.0,0.0,805.0,805.0,0.0,0.0,32.0
EB2503-C-8000.DCE,20250127,DCE,638.5,638.5,786.5,786.5,786.5,786.5,708.0,1.0,0.39,90.0
EB2503-C-8100.DCE,20250127,DCE,545.0,544.5,0.0,0.0,0.0,613.5,613.5,0.0,0.0,132.0
EB2503-C-8200.DCE,20250127,DCE,456.0,526.5,539.5,539.5,500.0,500.0,522.0,23.0,6.14,268.0
EB2503-C-8300.DCE,20250127,DCE,372.5,429.0,472.0,474.0,403.0,403.0,435.5,63.0,14.02,846.0
EB2503-C-8400.DCE,20250127,DCE,296.5,329.0,387.0,400.5,316.0,321.0,355.5,67.0,11.2,962.0
EB2503-C-8500.DCE,20250127,DCE,229.5,252.0,295.5,325.0,225.0,264.0,283.0,231.0,31.89,1082.0
EB2503-C-8600.DCE,20250127,DCE,172.0,190.5,205.0,255.5,161.5,189.5,219.0,1682.0,160.2,1294.0
EB2503-C-8700.DCE,20250127,DCE,125.0,137.5,145.0,196.0,113.5,150.0,165.0,3034.0,218.37,1339.0
EB2503-C-8800.DCE,20250127,DCE,87.5,95.0,108.0,146.5,78.0,99.0,120.5,4474.0,243.24,1349.0
EB2503-C-8900.DCE,20250127,DCE,59.0,66.0,75.0,106.0,53.5,63.0,85.5,2308.0,90.51,634.0
EB2503-C-9000.DCE,20250127,DCE,38.5,49.0,52.0,79.5,35.0,44.5,58.5,26201.0,727.01,3643.0
EB2503-C-9100.DCE,20250127,DCE,24.0,32.0,36.0,57.5,25.5,29.5,38.5,3652.0,73.72,1056.0
EB2503-C-9200.DCE,20250127,DCE,14.5,23.0,18.5,41.0,17.0,20.5,24.5,5002.0,72.63,2380.0
EB2503-C-9300.DCE,20250127,DCE,8.5,17.0,19.0,30.0,12.5,14.0,15.0,2928.0,28.9,1148.0
EB2503-C-9400.DCE,20250127,DCE,4.5,12.5,11.0,23.0,9.5,11.5,9.0,6963.0,56.23,1559.0
EB2503-C-9500.DCE,20250127,DCE,2.5,9.0,13.0,17.0,7.0,8.5,5.0,3276.0,18.91,561.0
EB2503-C-9600.DCE,20250127,DCE,1.0,6.5,11.5,13.5,5.5,6.5,2.5,531.0,2.31,193.0
EB2503-C-9700.DCE,20250127,DCE,0.5,3.5,7.0,8.5,4.5,8.5,1.5,149.0,0.36,135.0
EB2503-C-9800.DCE,20250127,DCE,0.5,0.5,4.5,4.5,4.0,4.0,0.5,83.0,0.17,127.0
EB2503-C-9900.DCE,20250127,DCE,0.5,3.0,5.5,5.5,3.5,3.5,0.5,33.0,0.07,58.0
EB2503-P-10000.DCE,20250127,DCE,1368.0,1368.0,0.0,0.0,0.0,1297.0,1297.0,0.0,0.0,0.0
EB2503-P-10200.DCE,20250127,DCE,1568.0,1568.0,0.0,0.0,0.0,1497.0,1497.0,0.0,0.0,0.0
EB2503-P-7000.DCE,20250127,DCE,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,144.0
EB2503-P-7200.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,42.0
EB2503-P-7300.DCE,20250127,DCE,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,164.0
EB2503-P-7400.DCE,20250127,DCE,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,257.0
EB2503-P-7500.DCE,20250127,DCE,0.5,1.5,1.0,2.5,1.0,2.5,0.5,91.0,0.09,407.0
EB2503-P-7600.DCE,20250127,DCE,0.5,2.0,2.0,3.0,2.0,2.5,0.5,162.0,0.18,349.0
EB2503-P-7700.DCE,20250127,DCE,0.5,3.0,4.0,4.0,3.5,4.0,0.5,170.0,0.3,774.0
EB2503-P-7800.DCE,20250127,DCE,1.5,4.0,4.5,6.0,3.5,4.5,1.0,785.0,1.86,1914.0
EB2503-P-7900.DCE,20250127,DCE,3.5,6.0,6.0,8.0,5.0,6.5,2.5,1261.0,4.14,1794.0
EB2503-P-8000.DCE,20250127,DCE,7.0,8.5,7.0,11.0,7.0,9.0,5.5,5331.0,24.66,3971.0
EB2503-P-8100.DCE,20250127,DCE,13.5,12.0,11.0,15.0,10.5,11.0,11.0,3033.0,19.59,1343.0
EB2503-P-8200.DCE,20250127,DCE,24.5,20.0,18.0,22.0,15.5,18.0,19.5,2951.0,27.89,2593.0
EB2503-P-8300.DCE,20250127,DCE,41.0,26.5,25.0,33.5,23.0,24.5,33.0,4719.0,66.5,2043.0
EB2503-P-8400.DCE,20250127,DCE,65.0,44.0,41.0,51.5,35.5,40.0,52.5,3310.0,74.17,1944.0
EB2503-P-8500.DCE,20250127,DCE,97.5,66.5,61.0,80.0,54.0,62.0,80.0,4921.0,164.73,1534.0
EB2503-P-8600.DCE,20250127,DCE,140.0,100.0,92.0,119.0,82.5,94.0,116.5,3312.0,169.72,1330.0
EB2503-P-8700.DCE,20250127,DCE,193.0,151.5,134.5,170.0,119.5,140.0,162.0,2722.0,200.32,612.0
EB2503-P-8800.DCE,20250127,DCE,255.5,208.5,184.0,232.5,169.0,208.0,217.5,852.0,81.51,398.0
EB2503-P-8900.DCE,20250127,DCE,327.0,275.5,257.5,301.5,231.5,284.5,282.0,256.0,33.89,122.0
EB2503-P-9000.DCE,20250127,DCE,406.0,348.0,334.0,366.5,309.0,366.5,355.5,71.0,11.95,160.0
EB2503-P-9100.DCE,20250127,DCE,492.0,492.0,410.0,426.5,399.5,426.5,435.5,94.0,19.7,96.0
EB2503-P-9200.DCE,20250127,DCE,582.0,582.0,0.0,0.0,0.0,521.5,521.5,0.0,0.0,3.0
EB2503-P-9300.DCE,20250127,DCE,676.0,676.0,0.0,0.0,0.0,612.0,612.0,0.0,0.0,2.0
EB2503-P-9400.DCE,20250127,DCE,772.5,772.5,0.0,0.0,0.0,706.0,706.0,0.0,0.0,2.0
EB2503-P-9500.DCE,20250127,DCE,870.5,870.5,0.0,0.0,0.0,802.0,802.0,0.0,0.0,1.0
EB2503-P-9600.DCE,20250127,DCE,970.0,970.0,0.0,0.0,0.0,900.0,900.0,0.0,0.0,1.0
EB2503-P-9700.DCE,20250127,DCE,1068.0,1068.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,1.0
EB2503-P-9800.DCE,20250127,DCE,1168.0,1168.0,0.0,0.0,0.0,1097.0,1097.0,0.0,0.0,0.0
EB2503-P-9900.DCE,20250127,DCE,1268.0,1268.0,0.0,0.0,0.0,1197.0,1197.0,0.0,0.0,0.0
EB2504-C-10000.DCE,20250127,DCE,1.5,8.0,12.0,12.0,8.5,11.5,2.5,58.0,0.29,71.0
EB2504-C-10200.DCE,20250127,DCE,0.5,0.5,7.0,8.5,6.0,6.0,1.0,114.0,0.39,131.0
EB2504-C-7000.DCE,20250127,DCE,1650.0,1650.0,0.0,0.0,0.0,1710.0,1710.0,0.0,0.0,0.0
EB2504-C-7200.DCE,20250127,DCE,1450.0,1450.0,0.0,0.0,0.0,1510.0,1510.0,0.0,0.0,0.0
EB2504-C-7300.DCE,20250127,DCE,1350.0,1350.0,0.0,0.0,0.0,1410.0,1410.0,0.0,0.0,0.0
EB2504-C-7400.DCE,20250127,DCE,1250.0,1250.0,0.0,0.0,0.0,1310.0,1310.0,0.0,0.0,2.0
EB2504-C-7500.DCE,20250127,DCE,1150.5,1150.5,0.0,0.0,0.0,1210.0,1210.0,0.0,0.0,3.0
EB2504-C-7600.DCE,20250127,DCE,1052.0,1052.0,0.0,0.0,0.0,1111.5,1111.5,0.0,0.0,2.0
EB2504-C-7700.DCE,20250127,DCE,954.5,954.5,0.0,0.0,0.0,1013.5,1013.5,0.0,0.0,2.0
EB2504-C-7800.DCE,20250127,DCE,858.5,858.5,0.0,0.0,0.0,917.0,917.0,0.0,0.0,4.0
