ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
EG2503-C-3900.DCE,20250127,DCE,753.0,753.0,0.0,0.0,0.0,751.0,751.0,0.0,0.0,0.0
EG2503-C-3950.DCE,20250127,DCE,703.0,703.0,0.0,0.0,0.0,701.0,701.0,0.0,0.0,0.0
EG2503-C-4000.DCE,20250127,DCE,653.0,653.0,0.0,0.0,0.0,651.0,651.0,0.0,0.0,0.0
EG2503-C-4050.DCE,20250127,DCE,603.0,603.0,0.0,0.0,0.0,601.0,601.0,0.0,0.0,0.0
EG2503-C-4100.DCE,20250127,DCE,553.0,553.0,0.0,0.0,0.0,551.0,551.0,0.0,0.0,0.0
EG2503-C-4150.DCE,20250127,DCE,503.0,503.0,0.0,0.0,0.0,501.0,501.0,0.0,0.0,0.0
EG2503-C-4200.DCE,20250127,DCE,453.0,453.0,0.0,0.0,0.0,451.0,451.0,0.0,0.0,0.0
EG2503-C-4250.DCE,20250127,DCE,403.0,403.0,0.0,0.0,0.0,401.0,401.0,0.0,0.0,0.0
EG2503-C-4300.DCE,20250127,DCE,353.0,353.0,0.0,0.0,0.0,351.0,351.0,0.0,0.0,0.0
EG2503-C-4350.DCE,20250127,DCE,304.0,304.0,0.0,0.0,0.0,302.0,302.0,0.0,0.0,0.0
EG2503-C-4400.DCE,20250127,DCE,256.0,256.0,0.0,0.0,0.0,254.5,254.5,0.0,0.0,0.0
EG2503-C-4450.DCE,20250127,DCE,209.5,209.5,0.0,0.0,0.0,208.5,208.5,0.0,0.0,0.0
EG2503-C-4500.DCE,20250127,DCE,166.0,166.0,180.5,180.5,180.5,180.5,165.5,5.0,0.9,13.0
EG2503-C-4550.DCE,20250127,DCE,127.0,124.0,113.0,121.0,108.5,121.0,126.5,74.0,8.48,71.0
EG2503-C-4600.DCE,20250127,DCE,92.5,85.0,76.5,86.0,76.5,86.0,92.5,20.0,1.62,75.0
EG2503-C-4650.DCE,20250127,DCE,64.5,57.0,65.5,73.5,52.5,55.0,65.0,260.0,15.35,256.0
EG2503-C-4700.DCE,20250127,DCE,42.5,36.0,42.0,51.0,33.5,34.5,43.0,359.0,14.33,255.0
EG2503-C-4750.DCE,20250127,DCE,26.5,22.5,26.0,32.5,21.0,21.0,27.0,298.0,7.6,310.0
EG2503-C-4800.DCE,20250127,DCE,15.5,15.0,17.0,20.0,12.5,13.5,16.0,368.0,6.17,316.0
EG2503-C-4850.DCE,20250127,DCE,8.5,8.5,10.0,12.0,9.0,9.0,9.0,237.0,2.35,141.0
EG2503-C-4900.DCE,20250127,DCE,4.5,6.0,7.0,7.5,4.5,4.5,4.5,114.0,0.73,215.0
EG2503-C-4950.DCE,20250127,DCE,2.0,4.0,4.5,4.5,4.0,4.0,2.0,56.0,0.19,137.0
EG2503-C-5000.DCE,20250127,DCE,1.0,2.5,3.0,3.5,2.5,3.0,1.0,521.0,1.62,744.0
EG2503-C-5100.DCE,20250127,DCE,0.5,1.5,1.5,2.0,1.5,1.5,0.5,43.0,0.06,250.0
EG2503-C-5200.DCE,20250127,DCE,0.5,1.0,1.0,1.0,0.5,1.0,0.5,37.0,0.04,156.0
EG2503-C-5300.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,38.0
EG2503-C-5400.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,27.0
EG2503-P-3900.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,28.0
EG2503-P-3950.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,14.0
EG2503-P-4000.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,17.0
EG2503-P-4050.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,11.0
EG2503-P-4100.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,7.0
EG2503-P-4150.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,5.0
EG2503-P-4200.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,11.0
EG2503-P-4250.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,12.0
EG2503-P-4300.DCE,20250127,DCE,0.5,2.0,1.5,2.0,1.5,2.0,0.5,75.0,0.12,289.0
EG2503-P-4350.DCE,20250127,DCE,1.0,1.0,2.5,3.0,2.5,2.5,1.5,15.0,0.04,91.0
EG2503-P-4400.DCE,20250127,DCE,3.0,4.5,4.0,5.0,4.0,4.5,3.5,135.0,0.58,239.0
EG2503-P-4450.DCE,20250127,DCE,6.5,7.5,6.0,7.5,6.0,7.0,7.5,16.0,0.12,175.0
EG2503-P-4500.DCE,20250127,DCE,13.5,14.0,11.0,15.0,10.0,13.0,14.5,392.0,4.9,620.0
EG2503-P-4550.DCE,20250127,DCE,24.0,22.0,18.5,25.0,17.5,23.0,25.5,164.0,3.59,175.0
EG2503-P-4600.DCE,20250127,DCE,40.0,34.5,31.5,41.0,30.0,39.0,42.0,104.0,3.68,182.0
EG2503-P-4650.DCE,20250127,DCE,61.5,57.0,51.0,66.0,44.5,62.5,64.0,326.0,19.1,377.0
EG2503-P-4700.DCE,20250127,DCE,89.5,89.0,77.0,94.5,70.0,92.0,92.0,123.0,10.69,127.0
EG2503-P-4750.DCE,20250127,DCE,123.5,121.0,124.5,134.0,118.5,125.0,126.0,138.0,17.58,121.0
EG2503-P-4800.DCE,20250127,DCE,162.5,160.0,173.0,173.0,166.0,166.0,165.0,21.0,3.56,40.0
EG2503-P-4850.DCE,20250127,DCE,205.5,205.5,218.0,218.0,210.5,211.5,208.0,30.0,6.4,32.0
EG2503-P-4900.DCE,20250127,DCE,251.5,251.5,0.0,0.0,0.0,253.5,253.5,0.0,0.0,2.0
EG2503-P-4950.DCE,20250127,DCE,299.0,299.0,0.0,0.0,0.0,301.0,301.0,0.0,0.0,10.0
EG2503-P-5000.DCE,20250127,DCE,348.0,355.0,0.0,0.0,0.0,350.0,350.0,0.0,0.0,13.0
EG2503-P-5100.DCE,20250127,DCE,447.0,447.0,0.0,0.0,0.0,449.0,449.0,0.0,0.0,0.0
EG2503-P-5200.DCE,20250127,DCE,547.0,547.0,0.0,0.0,0.0,549.0,549.0,0.0,0.0,0.0
EG2503-P-5300.DCE,20250127,DCE,647.0,647.0,0.0,0.0,0.0,649.0,649.0,0.0,0.0,0.0
EG2503-P-5400.DCE,20250127,DCE,747.0,747.0,0.0,0.0,0.0,749.0,749.0,0.0,0.0,0.0
EG2504-C-3900.DCE,20250127,DCE,835.0,835.0,0.0,0.0,0.0,845.0,845.0,0.0,0.0,0.0
EG2504-C-3950.DCE,20250127,DCE,785.0,785.0,0.0,0.0,0.0,795.0,795.0,0.0,0.0,0.0
EG2504-C-4000.DCE,20250127,DCE,735.0,735.0,0.0,0.0,0.0,745.0,745.0,0.0,0.0,0.0
EG2504-C-4050.DCE,20250127,DCE,685.0,685.0,0.0,0.0,0.0,695.0,695.0,0.0,0.0,0.0
EG2504-C-4100.DCE,20250127,DCE,635.0,635.0,0.0,0.0,0.0,645.0,645.0,0.0,0.0,0.0
EG2504-C-4150.DCE,20250127,DCE,585.0,585.0,0.0,0.0,0.0,595.0,595.0,0.0,0.0,0.0
EG2504-C-4200.DCE,20250127,DCE,535.0,535.0,0.0,0.0,0.0,545.0,545.0,0.0,0.0,0.0
EG2504-C-4250.DCE,20250127,DCE,485.0,485.0,0.0,0.0,0.0,495.5,495.5,0.0,0.0,0.0
EG2504-C-4300.DCE,20250127,DCE,436.0,436.0,0.0,0.0,0.0,446.5,446.5,0.0,0.0,0.0
EG2504-C-4350.DCE,20250127,DCE,387.5,387.5,0.0,0.0,0.0,398.0,398.0,0.0,0.0,1.0
EG2504-C-4400.DCE,20250127,DCE,340.0,340.0,0.0,0.0,0.0,351.0,351.0,0.0,0.0,1.0
EG2504-C-4450.DCE,20250127,DCE,294.0,294.0,0.0,0.0,0.0,305.5,305.5,0.0,0.0,1.0
EG2504-C-4500.DCE,20250127,DCE,250.0,250.0,0.0,0.0,0.0,262.0,262.0,0.0,0.0,1.0
EG2504-C-4550.DCE,20250127,DCE,209.0,209.0,0.0,0.0,0.0,221.0,221.0,0.0,0.0,1.0
EG2504-C-4600.DCE,20250127,DCE,171.0,174.0,0.0,0.0,0.0,183.0,183.0,0.0,0.0,1.0
EG2504-C-4650.DCE,20250127,DCE,137.0,139.0,0.0,0.0,0.0,149.0,149.0,0.0,0.0,0.0
EG2504-C-4700.DCE,20250127,DCE,107.5,108.0,0.0,0.0,0.0,118.5,118.5,0.0,0.0,4.0
EG2504-C-4750.DCE,20250127,DCE,82.0,82.5,0.0,0.0,0.0,92.5,92.5,0.0,0.0,6.0
EG2504-C-4800.DCE,20250127,DCE,61.0,62.5,0.0,0.0,0.0,70.5,70.5,0.0,0.0,5.0
EG2504-C-4850.DCE,20250127,DCE,44.5,44.5,0.0,0.0,0.0,52.5,52.5,0.0,0.0,13.0
EG2504-C-4900.DCE,20250127,DCE,31.0,31.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,15.0
EG2504-C-4950.DCE,20250127,DCE,21.5,21.5,0.0,0.0,0.0,27.0,27.0,0.0,0.0,3.0
EG2504-C-5000.DCE,20250127,DCE,14.0,14.0,0.0,0.0,0.0,18.5,18.5,0.0,0.0,9.0
EG2504-C-5100.DCE,20250127,DCE,5.5,5.5,0.0,0.0,0.0,8.0,8.0,0.0,0.0,18.0
EG2504-C-5200.DCE,20250127,DCE,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,26.0
EG2504-C-5300.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0
EG2504-C-5400.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0
EG2504-P-3900.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,13.0
