ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
FG510C1000.ZCE,20250829,CZCE,71.5,76.5,76.5,84.0,63.5,80.0,70.5,199.0,28.42,380.0
FG510C1020.ZCE,20250829,CZCE,55.5,58.0,60.0,67.5,46.5,62.5,54.0,491.0,53.51,715.0
FG510C1040.ZCE,20250829,CZCE,41.5,43.0,48.5,50.5,33.0,47.0,40.0,1357.0,106.69,940.0
FG510C1060.ZCE,20250829,CZCE,30.0,32.5,35.0,38.0,23.5,34.5,29.0,21048.0,1173.11,2918.0
FG510C1080.ZCE,20250829,CZCE,21.0,22.5,25.0,27.0,16.0,24.0,20.0,39205.0,1575.02,8298.0
FG510C1100.ZCE,20250829,CZCE,14.5,15.5,17.0,19.0,11.0,17.0,14.0,65540.0,1829.86,22789.0
FG510C1120.ZCE,20250829,CZCE,10.0,11.5,12.0,14.0,8.0,12.0,9.5,26180.0,521.86,13467.0
FG510C1140.ZCE,20250829,CZCE,7.5,8.5,8.5,10.0,5.5,9.5,7.0,18098.0,256.56,11158.0
FG510C1160.ZCE,20250829,CZCE,5.5,6.0,7.0,7.5,4.0,7.0,5.0,19632.0,215.78,21141.0
FG510C1180.ZCE,20250829,CZCE,4.0,4.5,5.0,5.5,3.0,5.0,4.0,14445.0,111.38,16275.0
FG510C1200.ZCE,20250829,CZCE,3.5,4.0,4.0,5.0,2.5,3.5,3.0,45315.0,300.49,69014.0
FG510C1220.ZCE,20250829,CZCE,2.5,3.5,3.5,4.0,1.5,3.0,2.5,9001.0,43.9,12334.0
FG510C1240.ZCE,20250829,CZCE,2.5,2.5,3.5,3.5,1.5,2.0,2.0,3600.0,14.4,8632.0
FG510C1260.ZCE,20250829,CZCE,2.0,2.0,2.0,2.0,1.0,1.5,1.5,4763.0,15.22,13499.0
FG510C1280.ZCE,20250829,CZCE,1.5,1.5,1.5,1.5,1.0,1.5,1.5,5351.0,11.87,12146.0
FG510C1300.ZCE,20250829,CZCE,1.5,1.5,1.5,1.5,0.5,1.0,1.5,13908.0,27.78,63744.0
FG510C1320.ZCE,20250829,CZCE,1.5,1.0,1.0,1.0,0.5,1.0,1.0,3223.0,4.89,9555.0
FG510C1340.ZCE,20250829,CZCE,1.0,1.0,0.5,1.0,0.5,1.0,1.0,3193.0,3.26,6221.0
FG510C1360.ZCE,20250829,CZCE,1.0,1.0,0.5,1.0,0.5,0.5,1.0,4339.0,4.36,10532.0
FG510C1380.ZCE,20250829,CZCE,1.0,0.5,0.5,0.5,0.5,0.5,1.0,564.0,0.57,11148.0
FG510C1400.ZCE,20250829,CZCE,1.0,0.5,0.5,0.5,0.5,0.5,0.5,741.0,0.74,37979.0
FG510C1420.ZCE,20250829,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,85.0,0.09,4008.0
FG510C1440.ZCE,20250829,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5219.0
FG510C1460.ZCE,20250829,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2553.0
FG510C1480.ZCE,20250829,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3776.0
FG510C1500.ZCE,20250829,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,286.0,0.29,25205.0
