ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
FG609P990.ZCE,20260122,29.5,31.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,46.0
FG609P980.ZCE,20260122,27.0,27.5,0.0,0.0,0.0,0.0,27.0,0.0,0.0,105.0
FG609P970.ZCE,20260122,24.5,26.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,44.0
FG609P960.ZCE,20260122,22.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,63.0
FG609P950.ZCE,20260122,20.0,21.0,15.0,19.0,15.0,17.0,20.0,42.0,1.58,142.0
FG609P1540.ZCE,20260122,410.0,0.0,0.0,0.0,0.0,0.0,411.5,0.0,0.0,3.0
FG609P1520.ZCE,20260122,392.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,3.0
FG609P1500.ZCE,20260122,374.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,10.0
FG609P1480.ZCE,20260122,356.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,3.0
FG609P1460.ZCE,20260122,338.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0
FG609P1440.ZCE,20260122,320.0,0.0,0.0,0.0,0.0,0.0,321.5,0.0,0.0,3.0
FG609P1420.ZCE,20260122,302.5,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0
FG609P1400.ZCE,20260122,285.5,0.0,282.0,282.0,282.0,282.0,286.5,3.0,1.69,7.0
FG609P1380.ZCE,20260122,268.5,0.0,0.0,0.0,0.0,0.0,269.5,0.0,0.0,6.0
FG609P1360.ZCE,20260122,251.5,0.0,248.5,248.5,248.5,248.5,252.5,3.0,1.49,6.0
FG609P1340.ZCE,20260122,235.0,0.0,232.0,232.0,232.0,232.0,236.0,3.0,1.39,10.0
FG609P1320.ZCE,20260122,219.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,13.0
FG609P1300.ZCE,20260122,203.0,0.0,200.5,200.5,200.5,200.5,204.0,1.0,0.4,19.0
FG609P1280.ZCE,20260122,187.0,0.0,185.0,185.0,185.0,185.0,188.5,1.0,0.37,14.0
FG609P1260.ZCE,20260122,172.5,0.0,0.0,0.0,0.0,0.0,173.5,0.0,0.0,35.0
FG609P1240.ZCE,20260122,158.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,25.0
FG609P1220.ZCE,20260122,143.5,0.0,0.0,0.0,0.0,0.0,144.5,0.0,0.0,46.0
FG609P1200.ZCE,20260122,130.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,53.0
FG609P1180.ZCE,20260122,117.5,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,142.0
FG609P1160.ZCE,20260122,104.5,0.0,0.0,0.0,0.0,0.0,105.5,0.0,0.0,92.0
FG609P1140.ZCE,20260122,93.5,95.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,110.0
FG609P1120.ZCE,20260122,82.5,84.5,0.0,0.0,0.0,0.0,83.0,0.0,0.0,55.0
FG609P1100.ZCE,20260122,72.0,0.0,0.0,0.0,0.0,0.0,72.5,0.0,0.0,38.0
FG609P1080.ZCE,20260122,62.5,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,68.0
FG609P1060.ZCE,20260122,53.5,0.0,53.5,54.0,53.5,54.0,54.0,15.0,1.61,81.0
FG609P1040.ZCE,20260122,46.0,0.0,45.5,46.5,45.5,46.5,46.5,6.0,0.55,62.0
FG609P1020.ZCE,20260122,38.5,0.0,47.0,47.0,47.0,47.0,39.0,1.0,0.09,81.0
FG609P1000.ZCE,20260122,32.5,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,39.0
FG609C990.ZCE,20260122,195.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,1.0
FG609C980.ZCE,20260122,202.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,12.0
FG609C970.ZCE,20260122,209.5,0.0,0.0,0.0,0.0,0.0,207.5,0.0,0.0,1.0
FG609C960.ZCE,20260122,217.0,0.0,0.0,0.0,0.0,0.0,215.5,0.0,0.0,6.0
FG609C950.ZCE,20260122,225.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0
FG609C1540.ZCE,20260122,30.5,28.0,30.0,33.0,28.5,33.0,30.0,81.0,5.04,493.0
FG609C1520.ZCE,20260122,32.5,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,73.0
FG609C1500.ZCE,20260122,34.5,34.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,568.0
FG609C1480.ZCE,20260122,36.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,76.0
FG609C1460.ZCE,20260122,38.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,48.0
FG609C1440.ZCE,20260122,40.0,38.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,74.0
FG609C1420.ZCE,20260122,42.5,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,81.0
FG609C1400.ZCE,20260122,45.0,41.0,46.5,46.5,43.0,44.0,44.5,15.0,1.32,1038.0
FG609C1380.ZCE,20260122,48.0,49.5,0.0,0.0,0.0,0.0,47.0,0.0,0.0,71.0
FG609C1360.ZCE,20260122,50.5,52.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,126.0
FG609C1340.ZCE,20260122,54.0,59.0,52.0,53.5,52.0,53.5,53.0,13.0,1.37,68.0
FG609C1320.ZCE,20260122,57.5,56.0,54.0,56.5,54.0,56.5,57.0,15.0,1.66,68.0
FG609C1300.ZCE,20260122,61.5,64.0,58.5,60.5,58.0,58.0,60.5,12.0,1.41,221.0
FG609C1280.ZCE,20260122,65.5,63.0,62.0,68.5,62.0,68.5,64.5,10.0,1.27,337.0
FG609C1260.ZCE,20260122,70.5,69.5,67.5,70.0,67.5,69.0,69.5,14.0,1.92,101.0
FG609C1240.ZCE,20260122,76.0,75.0,72.5,78.5,72.5,78.5,75.0,12.0,1.79,50.0
FG609C1220.ZCE,20260122,81.5,87.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,39.0
FG609C1200.ZCE,20260122,87.5,82.0,86.0,88.0,86.0,88.0,86.5,2.0,0.35,93.0
FG609C1180.ZCE,20260122,94.5,101.0,0.0,0.0,0.0,0.0,93.5,0.0,0.0,28.0
FG609C1160.ZCE,20260122,101.5,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,33.0
FG609C1140.ZCE,20260122,110.0,0.0,0.0,0.0,0.0,0.0,108.5,0.0,0.0,28.0
FG609C1120.ZCE,20260122,119.0,125.0,0.0,0.0,0.0,0.0,117.5,0.0,0.0,30.0
FG609C1100.ZCE,20260122,128.0,0.0,0.0,0.0,0.0,0.0,126.5,0.0,0.0,12.0
FG609C1080.ZCE,20260122,139.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,14.0
FG609C1060.ZCE,20260122,149.5,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,12.0
FG609C1040.ZCE,20260122,162.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,3.0
FG609C1020.ZCE,20260122,174.0,0.0,0.0,0.0,0.0,0.0,172.5,0.0,0.0,6.0
FG609C1000.ZCE,20260122,188.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,15.0
FG606P990.ZCE,20260122,25.0,27.0,25.5,26.0,25.5,26.0,24.5,6.0,0.31,18.0
FG606P980.ZCE,20260122,22.0,22.0,22.0,22.0,22.0,22.0,21.5,9.0,0.39,8.0
FG606P970.ZCE,20260122,19.0,19.5,0.0,0.0,0.0,0.0,18.5,0.0,0.0,3.0
FG606P960.ZCE,20260122,16.5,17.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,3.0
