合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
fu2601C2100,,,,374.5,386.5,374.5,-12.0,-12.0,0,50,0,0.0,0.985421,0,20251201
fu2601C2150,325.5,343.5,325.5,343.5,337.5,326.0,6.0,-11.5,20,112,-10,6.7275,0.969203,0,20251201
fu2601C2200,267.5,277,267.5,277.0,289.5,278.5,-12.5,-11.0,3,103,1,0.819,0.941391,0,20251201
fu2601C2250,225.5,249,213,249.0,243.0,233.0,6.0,-10.0,44,152,2,10.1365,0.898474,0,20251201
fu2601C2300,177.5,203.5,166.5,198.0,199.5,190.5,-1.5,-9.0,75,182,-5,13.701,0.838072,0,20251201
fu2601C2350,137.5,165,129.5,152.0,159.5,151.5,-7.5,-8.0,249,240,4,35.9635,0.760136,0,20251201
fu2601C2400,106,126,95.5,115.5,124.0,117.0,-8.5,-7.0,646,328,-44,69.2895,0.667465,0,20251201
fu2601C2450,90,93.5,69.5,89.0,93.0,87.5,-4.0,-5.5,824,1097,85,64.829,0.56538,1,20251201
fu2601C2500,65,69.5,50,65.0,67.5,63.5,-2.5,-4.0,5044,3113,456,292.1325,0.460706,0,20251201
fu2601C2550,46,49.5,35.5,46.5,47.5,44.5,-1.0,-3.0,2517,1898,-151,103.0055,0.360836,0,20251201
fu2601C2600,35,37,26,35.0,32.0,30.0,3.0,-2.0,6922,5068,64,209.604,0.271418,0,20251201
fu2601C2650,22.5,25.5,12.5,23.5,21.0,19.5,2.5,-1.5,2936,2231,103,63.7035,0.1958,0,20251201
fu2601C2700,18.5,18.5,12.5,17.5,13.0,12.5,4.5,-0.5,3701,3698,294,54.9435,0.135154,0,20251201
fu2601C2750,10.5,12.5,8.5,12.0,8.0,7.5,4.0,-0.5,1174,1588,-163,11.2485,0.090153,0,20251201
fu2601C2800,8,9.5,6,9.5,4.5,4.5,5.0,0.0,3688,5377,-386,27.097,0.0577,0,20251201
fu2601C2850,5.5,6.5,4,6.5,2.5,2.5,4.0,0.0,651,2470,-37,3.174,0.035176,0,20251201
fu2601C2900,2.5,5,2.5,4.0,1.0,1.0,3.0,0.0,622,2138,118,2.3155,0.021034,0,20251201
fu2601C2950,2.5,4,2,4.0,0.5,0.5,3.5,0.0,333,1083,14,0.907,0.011949,0,20251201
fu2601C3000,3,3,1.5,2.5,0.5,0.5,2.0,0.0,2693,7269,125,5.894,0.006608,0,20251201
fu2601C3050,1.5,2,1,2.0,0.5,0.5,1.5,0.0,501,815,78,0.8475,0.003515,0,20251201
fu2601C3100,1.5,1.5,1,1.5,0.5,0.5,1.0,0.0,344,691,-92,0.4535,0.001813,0,20251201
fu2601C3150,1.5,1.5,1,1.5,0.5,0.5,1.0,0.0,468,664,123,0.5145,0.000902,0,20251201
fu2601C3200,1,1.5,0.5,1.5,0.5,0.5,1.0,0.0,1022,3055,-309,1.109,0.000439,0,20251201
fu2601C3250,1,1,1,1.0,0.5,0.5,0.5,0.0,40,1310,-30,0.04,0.000202,0,20251201
fu2601C3300,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,29,770,-13,0.0145,9.4e-05,0,20251201
fu2601C3350,,,,0.5,0.5,0.5,0.0,0.0,0,310,0,0.0,4.1e-05,0,20251201
fu2601C3400,1,1,1,1.0,0.5,0.5,0.5,0.0,16,211,1,0.016,1.7e-05,0,20251201
fu2601C3450,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,3,257,3,0.0015,7e-06,0,20251201
fu2601C3500,1,1,0.5,0.5,0.5,0.5,0.0,0.0,885,4226,-152,0.852,3e-06,0,20251201
fu2601P2100,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,20,187,20,0.01,-0.014671,0,20251201
fu2601P2150,0.5,1,0.5,0.5,1.5,2.0,-1.0,0.5,98,473,10,0.05,-0.0307,0,20251201
fu2601P2200,0.5,1.5,0.5,0.5,3.5,4.5,-3.0,1.0,483,797,-111,0.545,-0.058357,0,20251201
fu2601P2250,1.5,4,0.5,1.5,7.5,9.0,-6.0,1.5,1582,1597,-48,4.261,-0.101152,0,20251201
fu2601P2300,5,9,2.5,3.0,13.5,16.5,-10.5,3.0,2369,1885,-517,14.1955,-0.161461,0,20251201
fu2601P2350,12,19,7.5,10.0,23.5,27.5,-13.5,4.0,1326,2185,-130,17.2175,-0.239331,0,20251201
fu2601P2400,33,35.5,19,21.5,38.0,43.0,-16.5,5.0,2056,2048,125,60.338,-0.33196,0,20251201
fu2601P2450,50.5,59.5,37,38.5,57.0,63.5,-18.5,6.5,1782,2825,-27,88.335,-0.434024,0,20251201
fu2601P2500,36.5,90,36.5,66.0,81.5,89.5,-15.5,8.0,1546,1902,8,121.5605,-0.5387,0,20251201
fu2601P2550,108,125.5,94.5,98.5,111.5,120.5,-13.0,9.0,233,2243,-72,27.124,-0.638589,0,20251201
fu2601P2600,158.5,166.5,128,136.5,146.0,156.0,-9.5,10.0,175,1398,-7,26.927,-0.728046,0,20251201
fu2601P2650,197.5,204.5,170,170.0,184.5,195.5,-14.5,11.0,145,750,-81,28.6815,-0.803724,0,20251201
fu2601P2700,243,245.5,210,220.0,227.0,238.0,-7.0,11.0,89,952,11,20.527,-0.86445,0,20251201
fu2601P2750,286,295.5,258.5,262.5,271.5,283.5,-9.0,12.0,25,650,0,7.046,-0.909549,0,20251201
fu2601P2800,333,338,332.5,334.5,318.5,330.0,16.0,11.5,221,661,-133,73.8675,-0.94212,0,20251201
fu2601P2850,381,389,381,383.5,366.5,378.0,17.0,11.5,60,438,0,23.065,-0.964786,0,20251201
fu2601P2900,,,,427.0,415.0,427.0,12.0,12.0,0,200,0,0.0,-0.979087,0,20251201
fu2601P2950,480,485,480,485.0,464.5,476.5,20.5,12.0,6,196,-3,2.895,-0.988353,3,20251201
fu2601P3000,,,,526.0,514.0,526.0,12.0,12.0,0,190,0,0.0,-0.993897,0,20251201
fu2601P3050,589.5,589.5,589.5,589.5,564.0,576.0,25.5,12.0,1,154,-4,0.5895,-0.997212,4,20251201
fu2601P3100,,,,626.0,614.0,626.0,12.0,12.0,0,91,0,0.0,-0.999164,0,20251201
fu2601P3150,,,,676.0,664.0,676.0,12.0,12.0,0,72,0,0.0,-1.0,0,20251201
fu2601P3200,,,,726.0,714.0,726.0,12.0,12.0,0,7,0,0.0,-1.0,0,20251201
fu2601P3250,,,,776.0,764.0,776.0,12.0,12.0,0,21,0,0.0,-1.0,0,20251201
fu2601P3300,,,,826.0,814.0,826.0,12.0,12.0,0,30,0,0.0,-1.0,0,20251201
fu2601P3350,,,,876.0,864.0,876.0,12.0,12.0,0,0,0,0.0,-1.0,0,20251201
fu2601P3400,,,,926.0,914.0,926.0,12.0,12.0,0,0,0,0.0,-1.0,0,20251201
fu2601P3450,,,,976.0,964.0,976.0,12.0,12.0,0,0,0,0.0,-1.0,0,20251201
fu2601P3500,,,,1026.0,1014.0,1026.0,12.0,12.0,0,0,0,0.0,-1.0,0,20251201
fu2602C2100,,,,394.0,398.5,394.0,-4.5,-4.5,1,16,-1,0.394,0.943947,0,20251201
fu2602C2150,338.5,343,338.5,343.0,351.5,348.5,-8.5,-3.0,18,24,-8,6.1455,0.915179,0,20251201
fu2602C2200,289,315,289,315.0,307.0,304.5,8.0,-2.5,13,98,0,3.8985,0.878243,0,20251201
fu2602C2250,250,264,250,264.0,264.5,263.0,-0.5,-1.5,20,104,0,5.14,0.83187,0,20251201
fu2602C2300,210,224,210,224.0,225.0,224.5,-1.0,-0.5,24,161,4,5.221,0.77769,0,20251201
fu2602C2350,174,193,174,193.0,188.5,189.0,4.5,0.5,33,208,10,6.0015,0.715255,0,20251201
fu2602C2400,156,157,142,157.0,155.5,157.0,1.5,1.5,51,191,-2,7.6545,0.647497,0,20251201
fu2602C2450,112.5,132.5,107,127.5,126.5,128.0,1.0,1.5,63,256,25,7.5165,0.576306,0,20251201
fu2602C2500,93,104,88,101.0,101.0,103.5,0.0,2.5,122,192,6,11.4855,0.503877,0,20251201
