ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
I2507-C-540.DCE,20250530,DCE,199.0,199.0,0.0,0.0,0.0,197.0,197.0,0.0,0.0,0.0
I2507-C-560.DCE,20250530,DCE,179.0,179.0,0.0,0.0,0.0,177.0,177.0,0.0,0.0,0.0
I2507-C-580.DCE,20250530,DCE,159.0,159.0,0.0,0.0,0.0,157.0,157.0,0.0,0.0,0.0
I2507-C-600.DCE,20250530,DCE,139.0,139.0,0.0,0.0,0.0,137.0,137.0,0.0,0.0,0.0
I2507-C-610.DCE,20250530,DCE,129.0,129.0,0.0,0.0,0.0,127.0,127.0,0.0,0.0,0.0
I2507-C-620.DCE,20250530,DCE,119.0,119.0,0.0,0.0,0.0,117.0,117.0,0.0,0.0,0.0
I2507-C-630.DCE,20250530,DCE,109.0,109.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0
I2507-C-640.DCE,20250530,DCE,99.0,99.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0
I2507-C-650.DCE,20250530,DCE,89.0,89.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,5.0
I2507-C-660.DCE,20250530,DCE,79.0,74.8,0.0,0.0,0.0,77.0,77.0,0.0,0.0,4.0
I2507-C-670.DCE,20250530,DCE,69.1,69.1,0.0,0.0,0.0,67.2,67.2,0.0,0.0,2.0
I2507-C-680.DCE,20250530,DCE,59.4,59.4,0.0,0.0,0.0,57.6,57.6,0.0,0.0,2.0
I2507-C-690.DCE,20250530,DCE,49.9,49.9,0.0,0.0,0.0,48.3,48.3,0.0,0.0,69.0
I2507-C-700.DCE,20250530,DCE,40.9,43.7,43.5,43.5,36.4,40.7,39.5,207.0,81.39,423.0
I2507-C-710.DCE,20250530,DCE,32.5,34.7,32.7,34.5,27.5,30.2,31.4,254.0,78.38,572.0
I2507-C-720.DCE,20250530,DCE,25.0,25.2,24.4,26.1,20.2,23.4,24.1,292.0,67.99,3852.0
I2507-C-730.DCE,20250530,DCE,18.5,18.0,16.8,19.0,13.3,14.8,17.9,2278.0,357.51,1643.0
I2507-C-740.DCE,20250530,DCE,13.1,11.9,11.8,12.7,8.5,9.2,12.8,7035.0,730.49,4577.0
I2507-C-750.DCE,20250530,DCE,8.9,7.2,7.1,8.2,5.1,5.3,8.8,11236.0,713.59,5003.0
I2507-C-760.DCE,20250530,DCE,5.8,4.5,4.2,5.0,3.0,3.2,5.7,5311.0,204.08,4319.0
I2507-C-770.DCE,20250530,DCE,3.6,2.7,2.5,3.0,1.8,1.8,3.6,4763.0,106.3,7204.0
I2507-C-780.DCE,20250530,DCE,2.1,1.7,1.5,1.9,1.1,1.2,2.1,1843.0,25.56,3951.0
I2507-C-790.DCE,20250530,DCE,1.1,1.1,1.0,1.2,0.8,0.8,1.2,1628.0,14.9,3270.0
I2507-C-800.DCE,20250530,DCE,0.6,0.8,0.7,0.9,0.5,0.6,0.6,3080.0,21.42,8584.0
I2507-C-810.DCE,20250530,DCE,0.3,0.5,0.5,0.6,0.3,0.4,0.3,1074.0,4.34,3079.0
I2507-C-820.DCE,20250530,DCE,0.1,0.4,0.4,0.4,0.2,0.3,0.1,249.0,0.72,1985.0
I2507-C-830.DCE,20250530,DCE,0.1,0.3,0.3,0.3,0.2,0.2,0.1,753.0,1.68,1731.0
I2507-C-840.DCE,20250530,DCE,0.1,0.3,0.2,0.2,0.2,0.2,0.1,131.0,0.26,1160.0
I2507-C-850.DCE,20250530,DCE,0.1,0.1,0.2,0.2,0.1,0.1,0.1,710.0,0.72,1624.0
I2507-C-860.DCE,20250530,DCE,0.1,0.1,0.2,0.2,0.1,0.1,0.1,516.0,0.52,2132.0
I2507-C-870.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.0,613.0
I2507-C-880.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.01,868.0
I2507-C-890.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,115.0,0.12,725.0
I2507-C-900.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,19.0,0.02,1152.0
I2507-C-910.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,0.0,205.0
I2507-C-920.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,55.0,0.06,979.0
I2507-C-930.DCE,20250530,DCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.0,256.0
I2507-C-940.DCE,20250530,DCE,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,603.0
I2507-P-540.DCE,20250530,DCE,0.1,0.1,0.2,0.2,0.2,0.2,0.1,1.0,0.0,1379.0
I2507-P-560.DCE,20250530,DCE,0.1,0.1,0.2,0.2,0.1,0.2,0.1,282.0,0.49,1488.0
I2507-P-580.DCE,20250530,DCE,0.1,0.1,0.1,0.2,0.1,0.2,0.1,668.0,1.26,1909.0
I2507-P-600.DCE,20250530,DCE,0.1,0.2,0.2,0.3,0.2,0.3,0.1,601.0,1.24,1599.0
I2507-P-610.DCE,20250530,DCE,0.1,0.3,0.3,0.3,0.3,0.3,0.1,569.0,1.7,1207.0
I2507-P-620.DCE,20250530,DCE,0.1,0.3,0.3,0.4,0.3,0.4,0.1,855.0,3.25,1504.0
I2507-P-630.DCE,20250530,DCE,0.1,0.4,0.4,0.6,0.4,0.6,0.1,859.0,4.11,1765.0
I2507-P-640.DCE,20250530,DCE,0.1,0.6,0.6,0.8,0.6,0.8,0.1,946.0,6.43,2363.0
I2507-P-650.DCE,20250530,DCE,0.1,0.8,0.8,1.1,0.7,1.0,0.1,3136.0,28.22,16304.0
I2507-P-660.DCE,20250530,DCE,0.1,1.0,1.0,1.3,0.8,1.3,0.1,2447.0,25.63,4007.0
I2507-P-670.DCE,20250530,DCE,0.2,1.2,1.3,1.6,1.0,1.4,0.3,2422.0,30.91,2739.0
I2507-P-680.DCE,20250530,DCE,0.4,1.6,1.6,2.1,1.4,2.0,0.6,3050.0,54.89,7993.0
I2507-P-690.DCE,20250530,DCE,1.0,1.9,1.9,2.6,1.7,2.4,1.3,3516.0,74.16,3651.0
I2507-P-700.DCE,20250530,DCE,1.9,2.8,2.8,4.0,2.4,3.5,2.5,15821.0,504.06,18449.0
I2507-P-710.DCE,20250530,DCE,3.6,3.7,3.9,5.4,3.3,4.5,4.4,8508.0,373.98,5010.0
I2507-P-720.DCE,20250530,DCE,6.0,5.3,6.0,7.6,4.8,6.5,7.1,12711.0,756.54,7309.0
I2507-P-730.DCE,20250530,DCE,9.5,7.9,8.0,11.0,7.3,9.3,10.9,10359.0,939.99,4591.0
I2507-P-740.DCE,20250530,DCE,14.1,11.8,13.7,16.1,10.9,14.1,15.8,5409.0,710.33,3365.0
I2507-P-750.DCE,20250530,DCE,19.9,17.2,17.5,23.0,16.3,20.6,21.8,1386.0,265.85,2722.0
I2507-P-760.DCE,20250530,DCE,26.8,23.9,25.7,30.0,23.6,26.5,28.7,529.0,143.44,1159.0
I2507-P-770.DCE,20250530,DCE,34.5,31.6,33.9,39.2,31.8,35.6,36.6,274.0,96.1,928.0
I2507-P-780.DCE,20250530,DCE,43.1,40.3,42.5,47.7,40.6,44.9,45.1,111.0,51.03,344.0
I2507-P-790.DCE,20250530,DCE,52.1,46.6,52.5,53.7,52.5,53.7,54.2,6.0,3.21,75.0
I2507-P-800.DCE,20250530,DCE,61.6,56.2,0.0,0.0,0.0,63.7,63.7,0.0,0.0,241.0
I2507-P-810.DCE,20250530,DCE,71.3,71.3,0.0,0.0,0.0,73.3,73.3,0.0,0.0,48.0
I2507-P-820.DCE,20250530,DCE,81.2,81.2,0.0,0.0,0.0,83.2,83.2,0.0,0.0,28.0
I2507-P-830.DCE,20250530,DCE,91.1,91.1,0.0,0.0,0.0,93.1,93.1,0.0,0.0,24.0
I2507-P-840.DCE,20250530,DCE,101.0,101.0,0.0,0.0,0.0,103.0,103.0,0.0,0.0,2.0
I2507-P-850.DCE,20250530,DCE,111.0,111.0,0.0,0.0,0.0,113.0,113.0,0.0,0.0,11.0
I2507-P-860.DCE,20250530,DCE,121.0,121.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0
I2507-P-870.DCE,20250530,DCE,131.0,131.0,0.0,0.0,0.0,133.0,133.0,0.0,0.0,7.0
I2507-P-880.DCE,20250530,DCE,141.0,141.0,0.0,0.0,0.0,143.0,143.0,0.0,0.0,29.0
I2507-P-890.DCE,20250530,DCE,151.0,151.0,0.0,0.0,0.0,153.0,153.0,0.0,0.0,0.0
I2507-P-900.DCE,20250530,DCE,161.0,161.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0
