ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
I2701-P-880.DCE,20260123,152.0,152.0,0.0,0.0,0.0,140.2,140.2,0.0,0.0,0.0
I2701-P-860.DCE,20260123,134.1,134.1,0.0,0.0,0.0,122.5,122.5,0.0,0.0,0.0
I2701-P-840.DCE,20260123,116.4,116.4,0.0,0.0,0.0,105.4,105.4,0.0,0.0,0.0
I2701-P-820.DCE,20260123,99.2,99.2,0.0,0.0,0.0,89.2,89.2,0.0,0.0,0.0
I2701-P-800.DCE,20260123,82.7,82.7,0.0,0.0,0.0,74.2,74.2,0.0,0.0,0.0
I2701-P-780.DCE,20260123,67.2,67.2,0.0,0.0,0.0,60.7,60.7,0.0,0.0,0.0
I2701-P-760.DCE,20260123,53.1,53.1,47.3,47.3,45.0,45.0,49.1,4.0,1.85,5.0
I2701-P-740.DCE,20260123,41.4,35.6,38.5,38.5,38.5,38.5,39.5,1.0,0.38,101.0
I2701-P-720.DCE,20260123,32.5,32.5,30.0,30.0,30.0,30.0,31.9,2.0,0.6,4.0
I2701-P-700.DCE,20260123,26.7,26.7,0.0,0.0,0.0,25.8,25.8,0.0,0.0,1.0
I2701-P-680.DCE,20260123,23.3,23.3,0.0,0.0,0.0,21.1,21.1,0.0,0.0,0.0
I2701-P-660.DCE,20260123,21.3,21.3,0.0,0.0,0.0,17.4,17.4,0.0,0.0,0.0
I2701-P-640.DCE,20260123,19.9,19.9,0.0,0.0,0.0,14.4,14.4,0.0,0.0,0.0
I2701-C-880.DCE,20260123,27.7,13.7,0.0,0.0,0.0,21.4,21.4,0.0,0.0,4.0
I2701-C-860.DCE,20260123,29.6,29.6,0.0,0.0,0.0,23.5,23.5,0.0,0.0,0.0
I2701-C-840.DCE,20260123,31.8,31.8,0.0,0.0,0.0,26.2,26.2,0.0,0.0,0.0
I2701-C-820.DCE,20260123,34.4,34.4,0.0,0.0,0.0,29.8,29.8,0.0,0.0,0.0
I2701-C-800.DCE,20260123,37.7,37.7,0.0,0.0,0.0,34.6,34.6,0.0,0.0,0.0
I2701-C-780.DCE,20260123,41.9,41.9,0.0,0.0,0.0,40.9,40.9,0.0,0.0,0.0
I2701-C-760.DCE,20260123,47.7,47.7,0.0,0.0,0.0,49.1,49.1,0.0,0.0,1.0
I2701-C-740.DCE,20260123,55.7,55.7,0.0,0.0,0.0,59.3,59.3,0.0,0.0,0.0
I2701-C-720.DCE,20260123,66.7,66.7,0.0,0.0,0.0,71.5,71.5,0.0,0.0,2.0
I2701-C-700.DCE,20260123,80.7,80.7,0.0,0.0,0.0,85.2,85.2,0.0,0.0,0.0
I2701-C-680.DCE,20260123,97.1,97.1,0.0,0.0,0.0,100.3,100.3,0.0,0.0,0.0
I2701-C-660.DCE,20260123,114.9,114.9,0.0,0.0,0.0,116.4,116.4,0.0,0.0,0.0
