ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
BC.INE,20250102,65310.0,65300.0,64910.0,64930.0,64570.0,64810.0,64790.0,-490.0,-510.0,4399.0,142523.18,7237.0,
BC2501.INE,20250102,65120.0,65280.0,,,,64990.0,64990.0,-290.0,-290.0,0.0,0.0,1400.0,0.0
BC2502.INE,20250102,65310.0,65300.0,64910.0,64930.0,64570.0,64810.0,64790.0,-490.0,-510.0,4399.0,142523.18,7237.0,323.0
BC2503.INE,20250102,65400.0,65440.0,64950.0,65080.0,64750.0,64900.0,64950.0,-540.0,-490.0,929.0,30173.49,1976.0,171.0
BC2504.INE,20250102,65450.0,65490.0,,,,65190.0,65190.0,-300.0,-300.0,0.0,0.0,2.0,0.0
BC2505.INE,20250102,65600.0,65600.0,,,,65600.0,65600.0,0.0,0.0,0.0,0.0,1.0,0.0
BC2506.INE,20250102,66280.0,66280.0,,,,66280.0,66280.0,0.0,0.0,0.0,0.0,0.0,0.0
BC2507.INE,20250102,67370.0,67370.0,,,,67370.0,67370.0,0.0,0.0,0.0,0.0,0.0,0.0
BC2508.INE,20250102,67450.0,67450.0,,,,67450.0,67450.0,0.0,0.0,0.0,0.0,2.0,0.0
BC2509.INE,20250102,67200.0,67200.0,,,,65540.0,65540.0,-1660.0,-1660.0,0.0,0.0,0.0,0.0
BC2510.INE,20250102,67120.0,67120.0,,,,67120.0,67120.0,0.0,0.0,0.0,0.0,0.0,0.0
BC2511.INE,20250102,67200.0,67200.0,,,,67200.0,67200.0,0.0,0.0,0.0,0.0,0.0,0.0
BC2512.INE,20250102,67370.0,67370.0,,,,65430.0,65430.0,-1940.0,-1940.0,0.0,0.0,0.0,0.0
BCL.INE,20250102,65120.0,65280.0,,,,64990.0,64990.0,-290.0,-290.0,0.0,0.0,1400.0,
EC.INE,20250102,2257.0,2241.1,2269.0,2332.9,2188.0,2224.7,2254.9,-16.4,13.8,28378.0,319953.64,26812.0,
EC2502.INE,20250102,2257.0,2241.1,2269.0,2332.9,2188.0,2224.7,2254.9,-16.4,13.8,28378.0,319953.64,26812.0,-76.0
EC2504.INE,20250102,1653.6,1640.7,1658.0,1722.0,1631.8,1670.2,1681.9,29.5,41.2,16027.0,134779.87,19345.0,123.0
EC2506.INE,20250102,1679.9,1656.7,1718.7,1753.9,1651.2,1692.0,1710.5,35.3,53.8,6757.0,57790.33,14271.0,597.0
EC2508.INE,20250102,1692.0,1668.9,1710.0,1773.0,1682.3,1734.8,1732.1,65.9,63.2,5213.0,45149.66,9890.0,-152.0
EC2510.INE,20250102,1339.0,1339.7,1345.0,1383.8,1336.8,1355.3,1362.1,15.6,22.4,3055.0,20806.49,12925.0,68.0
EC2512.INE,20250102,1434.3,1423.3,1438.0,1489.6,1427.0,1458.9,1450.0,35.6,26.7,466.0,3378.72,546.0,150.0
ECL.INE,20250102,2257.0,2241.1,2269.0,2332.9,2188.0,2224.7,2254.9,-16.4,13.8,28378.0,319953.64,26812.0,
LU.INE,20250102,4005.0,3979.0,4023.0,4038.0,3985.0,3992.0,4010.0,13.0,31.0,59315.0,237868.67,79555.0,
LU2502.INE,20250102,4018.0,3984.0,4028.0,4042.0,3994.0,4003.0,4021.0,19.0,37.0,3380.0,13591.45,7843.0,-1381.0
LU2503.INE,20250102,4005.0,3979.0,4023.0,4038.0,3985.0,3992.0,4010.0,13.0,31.0,59315.0,237868.67,79555.0,-1712.0
LU2504.INE,20250102,3980.0,3957.0,3995.0,4014.0,3967.0,3978.0,3985.0,21.0,28.0,20614.0,82165.5,50785.0,3214.0
LU2505.INE,20250102,3964.0,3944.0,3964.0,3996.0,3955.0,3958.0,3968.0,14.0,24.0,1357.0,5384.68,3899.0,-285.0
LU2506.INE,20250102,3942.0,3907.0,3942.0,3959.0,3926.0,3934.0,3944.0,27.0,37.0,20.0,78.9,163.0,4.0
LU2507.INE,20250102,3907.0,3899.0,,,,3899.0,3899.0,0.0,0.0,0.0,0.0,47.0,0.0
LU2508.INE,20250102,3884.0,3884.0,,,,3884.0,3884.0,0.0,0.0,0.0,0.0,34.0,0.0
LU2509.INE,20250102,3896.0,3881.0,3922.0,3927.0,3913.0,3926.0,3922.0,45.0,41.0,4.0,15.69,89.0,-1.0
LU2510.INE,20250102,3877.0,3870.0,3908.0,3908.0,3893.0,3893.0,3898.0,23.0,28.0,4.0,15.59,32.0,0.0
LU2511.INE,20250102,3859.0,3855.0,3863.0,3883.0,3861.0,3861.0,3874.0,6.0,19.0,6.0,23.25,44.0,2.0
LU2512.INE,20250102,3842.0,3841.0,3875.0,3876.0,3859.0,3859.0,3870.0,18.0,29.0,3.0,11.61,10.0,0.0
LU2601.INE,20250102,,3841.0,,,,3841.0,3841.0,0.0,0.0,0.0,0.0,0.0,
LUL.INE,20250102,3906.0,3984.0,4028.0,4042.0,3994.0,4003.0,4021.0,19.0,37.0,3380.0,13591.45,7843.0,
NR.INE,20250102,14915.0,14865.0,14930.0,14950.0,14650.0,14680.0,14780.0,-185.0,-85.0,53440.0,789986.66,30965.0,
