ts_code,exchange,name,per_unit,opt_code,opt_type,call_put,exercise_type,exercise_price,s_month,maturity_date,list_price,list_date,delist_date,last_edate,last_ddate,quote_unit,min_price_chg
SC2606P445.INE,INE,原油期权2606P445,1000.0,OPSC2606.INE,期货期权,P,美式,445.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P450.INE,INE,原油期权2606P450,1000.0,OPSC2606.INE,期货期权,P,美式,450.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C445.INE,INE,原油期权2606C445,1000.0,OPSC2606.INE,期货期权,C,美式,445.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C455.INE,INE,原油期权2606C455,1000.0,OPSC2606.INE,期货期权,C,美式,455.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C430.INE,INE,原油期权2606C430,1000.0,OPSC2606.INE,期货期权,C,美式,430.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P510.INE,INE,原油期权2606P510,1000.0,OPSC2606.INE,期货期权,P,美式,510.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C420.INE,INE,原油期权2606C420,1000.0,OPSC2606.INE,期货期权,C,美式,420.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P455.INE,INE,原油期权2606P455,1000.0,OPSC2606.INE,期货期权,P,美式,455.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C450.INE,INE,原油期权2606C450,1000.0,OPSC2606.INE,期货期权,C,美式,450.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P430.INE,INE,原油期权2606P430,1000.0,OPSC2606.INE,期货期权,P,美式,430.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C460.INE,INE,原油期权2606C460,1000.0,OPSC2606.INE,期货期权,C,美式,460.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P465.INE,INE,原油期权2606P465,1000.0,OPSC2606.INE,期货期权,P,美式,465.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P440.INE,INE,原油期权2606P440,1000.0,OPSC2606.INE,期货期权,P,美式,440.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606C490.INE,INE,原油期权2606C490,1000.0,OPSC2606.INE,期货期权,C,美式,490.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P425.INE,INE,原油期权2606P425,1000.0,OPSC2606.INE,期货期权,P,美式,425.0,202606,20260513,,20251110,20260513,20260513,20260513,人民币元/桶,0.05
SC2606P385.INE,INE,原油期权2606P385,1000.0,OPSC2606.INE,期货期权,P,美式,385.0,202606,20260513,,20251127,20260513,20260513,20260513,人民币元/桶,0.05
