ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
JD2601-C-2850.DCE,20251128,DCE,419.0,419.0,0.0,0.0,0.0,432.0,432.0,0.0,0.0,1.0
JD2601-C-2900.DCE,20251128,DCE,369.5,369.5,0.0,0.0,0.0,382.0,382.0,0.0,0.0,1.0
JD2601-C-2950.DCE,20251128,DCE,320.0,335.0,0.0,0.0,0.0,333.0,333.0,0.0,0.0,11.0
JD2601-C-3000.DCE,20251128,DCE,272.0,255.0,0.0,0.0,0.0,284.0,284.0,0.0,0.0,277.0
JD2601-C-3050.DCE,20251128,DCE,225.0,237.0,234.0,247.0,228.0,240.0,236.5,20.0,4.68,388.0
JD2601-C-3100.DCE,20251128,DCE,180.5,191.5,187.0,202.5,179.0,196.5,191.0,331.0,63.0,335.0
JD2601-C-3150.DCE,20251128,DCE,139.0,149.5,143.0,162.0,137.0,155.5,148.5,1357.0,201.02,845.0
JD2601-C-3200.DCE,20251128,DCE,102.5,109.5,109.5,118.5,99.0,114.5,110.0,1679.0,183.51,846.0
JD2601-C-3250.DCE,20251128,DCE,71.5,76.0,75.0,83.5,67.5,77.0,77.5,1907.0,145.33,1211.0
JD2601-C-3300.DCE,20251128,DCE,47.5,49.0,50.0,55.5,44.5,51.0,51.0,10533.0,534.56,6482.0
JD2601-C-3350.DCE,20251128,DCE,29.5,30.0,30.0,34.0,26.0,29.5,32.0,7143.0,215.93,6046.0
JD2601-C-3400.DCE,20251128,DCE,17.5,17.5,17.5,23.0,14.5,18.0,18.5,14300.0,253.21,10055.0
JD2601-C-3450.DCE,20251128,DCE,10.0,9.0,9.5,11.0,7.5,9.0,10.5,4102.0,38.67,5528.0
JD2601-C-3500.DCE,20251128,DCE,6.0,6.0,6.0,7.0,4.5,6.0,5.5,4798.0,27.73,7202.0
JD2601-C-3550.DCE,20251128,DCE,3.5,4.0,4.0,4.5,3.0,3.5,3.0,1502.0,5.52,2657.0
JD2601-C-3600.DCE,20251128,DCE,2.5,3.0,3.0,3.5,2.5,3.0,2.0,2403.0,7.06,8050.0
