ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
JM2604-C-1000.DCE,20260116,DCE,150.4,,150.0,164.4,139.0,139.0,145.7,14.0,12.59,9.0
JM2604-C-1020.DCE,20260116,DCE,135.5,,0.0,0.0,0.0,131.0,131.0,0.0,0.0,0.0
JM2604-C-1040.DCE,20260116,DCE,121.5,,130.0,137.9,104.3,104.3,117.9,27.0,19.56,11.0
JM2604-C-1060.DCE,20260116,DCE,108.4,,114.9,118.9,102.9,102.9,106.3,64.0,40.96,47.0
JM2604-C-1080.DCE,20260116,DCE,96.2,,105.7,105.7,89.0,90.6,96.3,77.0,43.64,50.0
JM2604-C-1100.DCE,20260116,DCE,85.0,,98.0,98.5,80.0,82.0,87.6,133.0,70.34,86.0
JM2604-C-1120.DCE,20260116,DCE,74.6,,99.0,99.0,73.2,75.5,80.2,122.0,59.01,84.0
JM2604-C-1140.DCE,20260116,DCE,65.2,,65.2,86.1,65.0,72.0,73.8,654.0,293.94,294.0
JM2604-C-1160.DCE,20260116,DCE,56.7,,56.7,79.6,56.7,62.3,68.2,157.0,65.79,53.0
JM2604-C-1180.DCE,20260116,DCE,49.1,,73.7,73.7,51.4,58.3,63.4,66.0,25.32,31.0
JM2604-C-1200.DCE,20260116,DCE,42.2,,69.0,69.9,51.0,53.4,59.1,1952.0,715.66,881.0
JM2604-C-1220.DCE,20260116,DCE,36.2,,60.6,61.4,47.8,50.7,55.3,35.0,11.74,32.0
JM2604-C-1240.DCE,20260116,DCE,30.8,,50.0,61.8,33.2,46.4,51.9,97.0,30.53,52.0
JM2604-C-1260.DCE,20260116,DCE,26.2,,54.3,57.4,41.0,42.0,48.9,205.0,58.78,149.0
JM2604-C-1280.DCE,20260116,DCE,22.1,,36.0,57.3,35.0,39.3,46.1,13275.0,3799.04,3791.0
JM2604-C-990.DCE,20260116,DCE,158.1,,180.2,180.2,149.4,160.0,153.6,8.0,8.06,6.0
JM2604-P-1000.DCE,20260116,DCE,19.7,,29.2,29.2,15.0,22.2,19.5,1737.0,203.0,671.0
JM2604-P-1020.DCE,20260116,DCE,24.8,,25.5,29.0,21.0,26.1,24.8,197.0,30.11,132.0
JM2604-P-1040.DCE,20260116,DCE,30.7,,26.8,36.8,26.8,33.6,31.5,271.0,51.22,152.0
JM2604-P-1060.DCE,20260116,DCE,37.6,,42.4,45.9,35.0,43.3,39.9,230.0,54.23,175.0
JM2604-P-1080.DCE,20260116,DCE,45.3,,44.8,56.3,44.8,51.2,49.9,33.0,9.85,17.0
