ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
JM2701-P-1600.DCE,20260123,367.9,367.9,0.0,0.0,0.0,359.7,359.7,0.0,0.0,0.0
JM2701-P-1560.DCE,20260123,335.1,335.1,0.0,0.0,0.0,327.7,327.7,0.0,0.0,0.0
JM2701-P-1520.DCE,20260123,303.1,303.1,0.0,0.0,0.0,296.3,296.3,0.0,0.0,0.0
JM2701-P-1480.DCE,20260123,272.1,272.1,0.0,0.0,0.0,265.7,265.7,0.0,0.0,0.0
JM2701-P-1440.DCE,20260123,242.3,242.3,0.0,0.0,0.0,235.9,235.9,0.0,0.0,0.0
JM2701-P-1400.DCE,20260123,214.0,214.0,0.0,0.0,0.0,207.0,207.0,0.0,0.0,0.0
JM2701-P-1360.DCE,20260123,187.2,187.2,0.0,0.0,0.0,179.1,179.1,0.0,0.0,0.0
JM2701-P-1320.DCE,20260123,162.4,162.4,157.4,162.0,154.8,157.7,152.4,6.0,5.66,2.0
JM2701-P-1280.DCE,20260123,139.4,139.4,138.3,140.3,135.5,138.3,127.1,37.0,30.62,7.0
JM2701-P-1240.DCE,20260123,118.5,118.5,123.0,123.5,113.0,118.5,103.3,81.0,58.02,19.0
JM2701-P-1200.DCE,20260123,99.6,99.6,108.2,109.7,95.8,103.4,81.3,89.0,54.84,20.0
JM2701-P-1160.DCE,20260123,82.7,78.9,96.3,96.3,79.6,90.8,61.3,68.0,35.88,25.0
JM2701-C-1600.DCE,20260123,132.3,132.3,137.4,138.0,134.3,138.0,148.8,5.0,4.11,3.0
JM2701-C-1560.DCE,20260123,139.1,132.6,147.3,147.3,145.0,145.0,156.4,5.0,4.39,3.0
JM2701-C-1520.DCE,20260123,146.7,146.7,0.0,0.0,0.0,164.6,164.6,0.0,0.0,0.0
JM2701-C-1480.DCE,20260123,155.3,155.3,0.0,0.0,0.0,173.6,173.6,0.0,0.0,0.0
JM2701-C-1440.DCE,20260123,165.1,165.1,0.0,0.0,0.0,183.4,183.4,0.0,0.0,0.0
JM2701-C-1400.DCE,20260123,176.4,176.4,0.0,0.0,0.0,194.1,194.1,0.0,0.0,0.0
JM2701-C-1360.DCE,20260123,189.2,189.2,0.0,0.0,0.0,205.8,205.8,0.0,0.0,0.0
