ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
L2511-C-6200.DCE,20250930,DCE,914.5,914.5,0.0,0.0,0.0,900.5,900.5,0.0,0.0,0.0
L2511-C-6300.DCE,20250930,DCE,815.0,815.0,0.0,0.0,0.0,801.0,801.0,0.0,0.0,0.0
L2511-C-6400.DCE,20250930,DCE,716.0,716.0,0.0,0.0,0.0,701.5,701.5,0.0,0.0,0.0
L2511-C-6500.DCE,20250930,DCE,617.5,617.5,0.0,0.0,0.0,603.0,603.0,0.0,0.0,0.0
L2511-C-6600.DCE,20250930,DCE,519.5,519.5,0.0,0.0,0.0,505.5,505.5,0.0,0.0,0.0
L2511-C-6700.DCE,20250930,DCE,422.5,422.5,0.0,0.0,0.0,409.0,409.0,0.0,0.0,16.0
L2511-C-6800.DCE,20250930,DCE,327.5,330.5,304.0,323.0,304.0,314.0,315.0,83.0,13.02,120.0
L2511-C-6900.DCE,20250930,DCE,235.0,239.5,227.5,227.5,212.5,220.0,225.0,127.0,14.05,184.0
L2511-C-7000.DCE,20250930,DCE,147.5,150.5,128.5,145.0,124.0,136.5,141.5,247.0,16.35,341.0
L2511-C-7100.DCE,20250930,DCE,72.0,75.5,58.5,74.0,57.5,58.5,71.0,669.0,21.35,1250.0
L2511-C-7200.DCE,20250930,DCE,27.5,34.0,30.0,32.5,26.0,26.5,25.0,1478.0,20.66,2100.0
L2511-C-7300.DCE,20250930,DCE,15.0,18.0,16.5,17.0,14.5,14.5,9.5,1512.0,11.48,1845.0
L2511-C-7400.DCE,20250930,DCE,11.5,12.0,10.5,11.0,9.5,9.5,7.0,223.0,1.17,772.0
L2511-C-7500.DCE,20250930,DCE,9.0,8.5,8.5,8.5,8.0,8.0,6.5,247.0,0.99,1503.0
L2511-C-7600.DCE,20250930,DCE,7.0,6.5,6.5,6.5,6.0,6.0,6.0,172.0,0.55,591.0
L2511-C-7700.DCE,20250930,DCE,6.0,5.5,5.5,6.0,5.5,5.5,5.5,92.0,0.26,416.0
L2511-C-7800.DCE,20250930,DCE,4.5,4.0,4.5,4.5,4.5,4.5,4.5,17.0,0.04,915.0
L2511-C-7900.DCE,20250930,DCE,3.5,3.5,3.5,3.5,3.5,3.5,4.0,1.0,0.0,415.0
L2511-C-8000.DCE,20250930,DCE,3.0,3.5,3.0,3.0,3.0,3.0,3.5,1.0,0.0,545.0
L2511-C-8100.DCE,20250930,DCE,2.5,2.5,2.0,2.0,2.0,2.0,3.0,3.0,0.0,311.0
L2511-C-8200.DCE,20250930,DCE,2.0,2.0,2.5,2.5,2.5,2.5,2.5,36.0,0.04,351.0
L2511-C-8400.DCE,20250930,DCE,1.0,1.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,215.0
L2511-C-8600.DCE,20250930,DCE,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0
L2511-C-8800.DCE,20250930,DCE,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0
L2511-C-9000.DCE,20250930,DCE,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,397.0
L2511-P-6200.DCE,20250930,DCE,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0
L2511-P-6300.DCE,20250930,DCE,1.5,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,50.0
L2511-P-6400.DCE,20250930,DCE,2.5,2.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,306.0
L2511-P-6500.DCE,20250930,DCE,4.0,4.5,4.5,4.5,4.5,4.5,3.5,47.0,0.11,795.0
L2511-P-6600.DCE,20250930,DCE,6.0,6.0,6.0,6.5,6.0,6.5,6.0,98.0,0.3,434.0
L2511-P-6700.DCE,20250930,DCE,9.0,8.5,8.0,8.5,8.0,8.0,9.5,119.0,0.5,737.0
L2511-P-6800.DCE,20250930,DCE,13.5,12.0,12.5,12.5,11.5,11.5,15.5,326.0,1.99,763.0
L2511-P-6900.DCE,20250930,DCE,21.0,17.0,18.5,19.5,17.5,18.5,25.0,851.0,7.76,1008.0
L2511-P-7000.DCE,20250930,DCE,33.5,27.5,31.5,34.0,29.5,31.5,41.5,1928.0,30.3,1239.0
L2511-P-7100.DCE,20250930,DCE,58.0,51.0,65.0,67.5,56.0,60.5,71.0,1210.0,37.8,2300.0
L2511-P-7200.DCE,20250930,DCE,113.5,109.5,131.0,134.5,116.0,126.0,125.0,300.0,19.08,1114.0
L2511-P-7300.DCE,20250930,DCE,201.0,194.5,223.0,224.0,206.0,208.0,209.5,91.0,9.64,730.0
L2511-P-7400.DCE,20250930,DCE,297.5,285.5,317.0,317.5,296.5,311.5,307.0,110.0,17.04,164.0
L2511-P-7500.DCE,20250930,DCE,395.0,382.5,400.0,412.5,400.0,403.0,406.5,66.0,13.43,112.0
L2511-P-7600.DCE,20250930,DCE,493.0,488.5,514.0,515.5,504.5,507.5,506.0,32.0,8.16,155.0
L2511-P-7700.DCE,20250930,DCE,592.0,592.0,0.0,0.0,0.0,605.5,605.5,0.0,0.0,55.0
L2511-P-7800.DCE,20250930,DCE,690.5,690.5,0.0,0.0,0.0,704.5,704.5,0.0,0.0,60.0
L2511-P-7900.DCE,20250930,DCE,790.0,790.0,0.0,0.0,0.0,804.0,804.0,0.0,0.0,10.0
L2511-P-8000.DCE,20250930,DCE,889.0,889.0,0.0,0.0,0.0,903.5,903.5,0.0,0.0,2.0
L2511-P-8100.DCE,20250930,DCE,989.0,989.0,0.0,0.0,0.0,1003.5,1003.5,0.0,0.0,0.0
L2511-P-8200.DCE,20250930,DCE,1088.5,1088.5,0.0,0.0,0.0,1103.0,1103.0,0.0,0.0,3.0
L2511-P-8400.DCE,20250930,DCE,1288.5,1288.5,0.0,0.0,0.0,1302.5,1302.5,0.0,0.0,3.0
L2511-P-8600.DCE,20250930,DCE,1486.0,1486.0,0.0,0.0,0.0,1502.5,1502.5,0.0,0.0,0.0
L2511-P-8800.DCE,20250930,DCE,1686.0,1686.0,0.0,0.0,0.0,1700.0,1700.0,0.0,0.0,0.0
L2511-P-9000.DCE,20250930,DCE,1886.0,1886.0,0.0,0.0,0.0,1900.0,1900.0,0.0,0.0,0.0
L2512-C-6200.DCE,20250930,DCE,950.5,950.5,0.0,0.0,0.0,935.5,935.5,0.0,0.0,0.0
L2512-C-6300.DCE,20250930,DCE,851.0,,0.0,0.0,0.0,836.5,836.5,0.0,0.0,0.0
L2512-C-6400.DCE,20250930,DCE,752.0,752.0,0.0,0.0,0.0,738.0,738.0,0.0,0.0,0.0
L2512-C-6500.DCE,20250930,DCE,653.5,653.5,0.0,0.0,0.0,640.0,640.0,0.0,0.0,0.0
L2512-C-6600.DCE,20250930,DCE,555.0,555.0,0.0,0.0,0.0,542.5,542.5,0.0,0.0,0.0
L2512-C-6700.DCE,20250930,DCE,458.0,458.0,0.0,0.0,0.0,446.5,446.5,0.0,0.0,0.0
L2512-C-6800.DCE,20250930,DCE,362.5,359.0,348.5,357.5,348.5,357.5,352.5,30.0,5.29,20.0
L2512-C-6900.DCE,20250930,DCE,270.5,270.5,0.0,0.0,0.0,262.0,262.0,0.0,0.0,40.0
