ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
LH2503-C-11400.DCE,20250127,DCE,1562.5,1562.5,0.0,0.0,0.0,1635.0,1635.0,0.0,0.0,0.0
LH2503-C-11600.DCE,20250127,DCE,1365.0,1365.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0
LH2503-C-11800.DCE,20250127,DCE,1175.0,1175.0,0.0,0.0,0.0,1247.5,1247.5,0.0,0.0,2.0
LH2503-C-12000.DCE,20250127,DCE,990.0,990.0,0.0,0.0,0.0,1062.5,1062.5,0.0,0.0,15.0
LH2503-C-12200.DCE,20250127,DCE,815.0,827.5,875.0,875.0,875.0,875.0,885.0,2.0,2.82,54.0
LH2503-C-12400.DCE,20250127,DCE,655.0,645.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,110.0
LH2503-C-12600.DCE,20250127,DCE,510.0,477.5,487.5,487.5,487.5,487.5,570.0,10.0,8.33,107.0
LH2503-C-12800.DCE,20250127,DCE,385.0,342.5,397.5,445.0,352.5,385.0,437.5,74.0,46.97,319.0
LH2503-C-13000.DCE,20250127,DCE,282.5,240.0,260.0,335.0,232.5,265.0,327.5,151.0,64.93,490.0
LH2503-C-13200.DCE,20250127,DCE,197.5,160.0,197.5,220.0,167.5,187.5,237.5,160.0,47.29,391.0
LH2503-C-13400.DCE,20250127,DCE,135.0,112.5,140.0,150.0,115.0,125.0,165.0,260.0,54.52,686.0
LH2503-C-13600.DCE,20250127,DCE,87.5,67.5,70.0,100.0,70.0,85.0,110.0,564.0,78.43,1696.0
LH2503-C-13800.DCE,20250127,DCE,55.0,55.0,70.0,75.0,52.5,70.0,72.5,498.0,48.51,809.0
LH2503-C-14000.DCE,20250127,DCE,32.5,40.0,42.5,50.0,37.5,45.0,45.0,915.0,63.36,3088.0
LH2503-C-14200.DCE,20250127,DCE,20.0,30.0,37.5,37.5,25.0,30.0,27.5,164.0,7.88,896.0
LH2503-C-14400.DCE,20250127,DCE,10.0,22.5,27.5,30.0,20.0,22.5,15.0,170.0,6.61,937.0
LH2503-C-14600.DCE,20250127,DCE,5.0,17.5,20.0,20.0,15.0,17.5,7.5,208.0,5.47,600.0
LH2503-C-14800.DCE,20250127,DCE,2.5,15.0,15.0,15.0,12.5,15.0,5.0,32.0,0.76,464.0
LH2503-C-15000.DCE,20250127,DCE,2.5,15.0,12.5,15.0,10.0,12.5,2.5,232.0,4.51,2181.0
LH2503-C-15200.DCE,20250127,DCE,2.5,12.5,7.5,15.0,7.5,10.0,2.5,9.0,0.12,381.0
LH2503-C-15400.DCE,20250127,DCE,2.5,7.5,2.5,10.0,2.5,5.0,2.5,153.0,1.26,179.0
LH2503-C-15600.DCE,20250127,DCE,2.5,7.5,7.5,7.5,5.0,7.5,2.5,7.0,0.07,313.0
LH2503-C-15800.DCE,20250127,DCE,2.5,5.0,10.0,10.0,5.0,5.0,2.5,35.0,0.31,248.0
LH2503-C-16000.DCE,20250127,DCE,2.5,5.0,5.0,5.0,2.5,2.5,2.5,8.0,0.05,234.0
LH2503-C-16200.DCE,20250127,DCE,2.5,2.5,5.0,5.0,5.0,5.0,2.5,1.0,0.01,123.0
LH2503-C-16400.DCE,20250127,DCE,2.5,5.0,5.0,5.0,2.5,5.0,2.5,34.0,0.26,389.0
LH2503-C-16800.DCE,20250127,DCE,2.5,5.0,5.0,5.0,2.5,5.0,2.5,249.0,1.8,2290.0
LH2503-P-11400.DCE,20250127,DCE,2.5,2.5,2.5,2.5,2.5,2.5,2.5,142.0,0.57,481.0
LH2503-P-11600.DCE,20250127,DCE,7.5,5.0,5.0,5.0,5.0,5.0,5.0,100.0,0.8,272.0
LH2503-P-11800.DCE,20250127,DCE,15.0,10.0,7.5,10.0,7.5,7.5,12.5,94.0,1.27,427.0
LH2503-P-12000.DCE,20250127,DCE,30.0,17.5,22.5,22.5,15.0,15.0,27.5,211.0,5.66,1148.0
