ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
M2505-C-2300.DCE,20250228,DCE,609.0,609.0,0.0,0.0,0.0,628.0,628.0,0.0,0.0,22.0
M2505-C-2350.DCE,20250228,DCE,559.0,535.5,600.5,600.5,578.5,578.5,578.0,4.0,2.36,56.0
M2505-C-2400.DCE,20250228,DCE,509.0,509.0,530.0,531.0,513.0,513.5,528.0,39.0,20.06,651.0
M2505-C-2450.DCE,20250228,DCE,459.0,485.5,478.0,478.0,471.0,473.0,478.0,8.0,3.8,571.0
M2505-C-2500.DCE,20250228,DCE,410.0,435.5,0.0,0.0,0.0,428.5,428.5,0.0,0.0,1916.0
M2505-C-2550.DCE,20250228,DCE,361.5,389.0,384.0,385.5,381.0,381.0,380.0,42.0,16.09,4376.0
M2505-C-2600.DCE,20250228,DCE,314.5,343.0,330.0,330.0,330.0,330.0,332.5,3.0,0.99,3712.0
M2505-C-2650.DCE,20250228,DCE,269.5,288.0,286.0,286.0,282.0,285.0,286.0,3.0,0.85,3422.0
M2505-C-2700.DCE,20250228,DCE,226.5,240.0,232.5,243.5,191.0,241.0,242.5,72.0,17.07,6338.0
M2505-C-2750.DCE,20250228,DCE,187.0,201.5,204.5,204.5,183.0,196.0,201.5,1032.0,199.85,3863.0
M2505-C-2800.DCE,20250228,DCE,151.0,163.0,166.0,168.0,143.5,158.0,164.0,1997.0,309.24,33062.0
M2505-C-2850.DCE,20250228,DCE,119.5,128.0,130.5,130.5,111.0,123.0,130.5,4542.0,546.06,32800.0
M2505-C-2900.DCE,20250228,DCE,92.0,97.5,97.0,99.0,82.5,94.0,101.5,8953.0,816.48,41352.0
M2505-C-2950.DCE,20250228,DCE,69.5,77.5,77.0,77.0,62.5,72.5,77.0,15745.0,1097.2,15818.0
M2505-C-3000.DCE,20250228,DCE,51.0,58.0,60.0,61.0,48.5,56.5,57.0,34116.0,1865.89,66948.0
M2505-C-3050.DCE,20250228,DCE,36.5,45.0,47.0,47.5,37.0,43.0,41.0,11159.0,463.5,19772.0
M2505-C-3100.DCE,20250228,DCE,25.5,36.0,34.5,37.0,29.0,33.5,28.5,15305.0,500.63,38123.0
M2505-C-3150.DCE,20250228,DCE,17.0,28.0,27.0,29.0,23.0,26.0,19.5,6430.0,165.62,14870.0
M2505-C-3200.DCE,20250228,DCE,11.5,23.0,23.5,24.0,18.5,21.5,13.0,15895.0,334.91,29634.0
M2505-C-3250.DCE,20250228,DCE,7.0,18.5,18.5,21.0,15.0,16.5,8.5,4830.0,78.9,14250.0
M2505-C-3300.DCE,20250228,DCE,4.5,15.0,15.5,16.0,12.0,14.0,5.0,7098.0,96.38,34438.0
M2505-C-3350.DCE,20250228,DCE,2.5,12.0,12.5,12.5,10.0,11.0,3.0,3786.0,41.34,8989.0
M2505-C-3400.DCE,20250228,DCE,1.5,10.0,10.0,10.0,8.0,8.5,2.0,1300.0,11.44,4449.0
M2505-C-3450.DCE,20250228,DCE,1.0,8.0,8.0,8.0,6.5,7.0,1.0,1301.0,9.42,4920.0
M2505-C-3500.DCE,20250228,DCE,0.5,7.0,7.0,7.5,5.5,6.5,0.5,16405.0,100.11,137799.0
M2505-P-2300.DCE,20250228,DCE,0.5,0.5,1.0,1.0,0.5,1.0,0.5,120.0,0.12,12051.0
M2505-P-2350.DCE,20250228,DCE,0.5,1.5,1.5,1.5,1.0,1.0,0.5,132.0,0.14,7659.0
M2505-P-2400.DCE,20250228,DCE,0.5,1.5,1.5,1.5,1.0,1.5,0.5,1081.0,1.37,13507.0
M2505-P-2450.DCE,20250228,DCE,0.5,1.5,1.5,2.0,1.0,1.5,0.5,687.0,1.03,9751.0
M2505-P-2500.DCE,20250228,DCE,1.5,2.5,2.5,2.5,1.5,2.0,1.0,8238.0,15.23,36142.0
M2505-P-2550.DCE,20250228,DCE,3.0,2.5,2.5,3.0,2.0,2.0,2.5,1005.0,2.52,14909.0
M2505-P-2600.DCE,20250228,DCE,6.0,3.5,3.0,4.0,3.0,3.5,4.5,3987.0,13.81,39899.0
M2505-P-2650.DCE,20250228,DCE,11.0,6.0,5.5,6.5,4.5,5.0,8.5,9678.0,52.38,23649.0
M2505-P-2700.DCE,20250228,DCE,18.0,10.0,9.0,12.0,8.5,9.0,14.5,21468.0,213.82,50813.0
M2505-P-2750.DCE,20250228,DCE,28.5,15.5,16.0,18.5,15.0,15.5,23.5,9995.0,167.24,20330.0
