合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
ni2510C100000,,,,22770.0,21300.0,22770.0,1470.0,1470.0,0,0,0,0.0,0.999831,0,20250901
ni2510C102000,,,,20772.0,19304.0,20772.0,1468.0,1468.0,0,0,0,0.0,0.997576,0,20250901
ni2510C104000,,,,18782.0,17318.0,18782.0,1464.0,1464.0,0,0,0,0.0,0.993183,0,20250901
ni2510C106000,,,,16808.0,15352.0,16808.0,1456.0,1456.0,0,39,0,0.0,0.985042,0,20250901
ni2510C108000,14002,15432,14002,15432.0,13418.0,14858.0,2014.0,1440.0,6,28,0,8.8584,0.970773,0,20250901
ni2510C110000,12022,13124,12022,13092.0,11538.0,12952.0,1554.0,1414.0,8,24,0,10.238,0.947701,0,20250901
ni2510C112000,10054,11486,10054,11486.0,9738.0,11110.0,1748.0,1372.0,6,33,-4,6.53,0.913187,0,20250901
ni2510C114000,8500,9546,8086,9546.0,8046.0,9356.0,1500.0,1310.0,32,40,-12,28.3844,0.865299,0,20250901
ni2510C116000,6286,7658,6252,7626.0,6492.0,7720.0,1134.0,1228.0,10,76,-7,6.9806,0.80337,0,20250901
ni2510C118000,5000,5902,4562,5780.0,5104.0,6228.0,676.0,1124.0,58,141,-27,31.4152,0.728104,0,20250901
ni2510C120000,3062,4374,3034,4196.0,3908.0,4912.0,288.0,1004.0,423,432,-27,164.0828,0.641805,0,20250901
ni2510C122000,2414,3108,2020,2896.0,2910.0,3774.0,-14.0,864.0,3688,1382,-330,921.6128,0.549548,0,20250901
ni2510C124000,1480,2228,1364,2150.0,2100.0,2816.0,50.0,716.0,6208,1414,116,1146.7666,0.45588,0,20250901
ni2510C126000,1200,1654,970,1536.0,1464.0,2056.0,72.0,592.0,4244,1659,134,569.826,0.366278,0,20250901
ni2510C128000,948,1280,716,1100.0,996.0,1454.0,104.0,458.0,5017,2427,162,528.1962,0.284495,0,20250901
ni2510C130000,750,1038,560,932.0,654.0,998.0,278.0,344.0,31867,9180,268,2678.3794,0.213461,0,20250901
ni2510C132000,580,876,430,714.0,414.0,668.0,300.0,254.0,2933,1707,106,200.8844,0.155208,0,20250901
ni2510C134000,450,850,346,592.0,256.0,430.0,336.0,174.0,677,1489,-35,39.8446,0.108494,0,20250901
ni2510C136000,358,630,50,524.0,152.0,274.0,372.0,122.0,2224,1113,36,99.553,0.074005,0,20250901
ni2510C138000,358,888,234,440.0,88.0,166.0,352.0,78.0,430,740,65,18.0232,0.048274,0,20250901
ni2510C140000,272,486,196,372.0,48.0,100.0,324.0,52.0,1910,716,30,65.6724,0.030938,0,20250901
ni2510C142000,234,420,170,308.0,26.0,56.0,282.0,30.0,1189,745,48,36.8264,0.018944,0,20250901
ni2510C144000,196,376,164,298.0,14.0,32.0,284.0,18.0,21464,6876,1073,600.8394,0.011377,0,20250901
ni2510P100000,18,18,14,16.0,4.0,2.0,12.0,-2.0,282,517,-38,0.4592,-0.001274,0,20250901
ni2510P102000,24,24,16,18.0,10.0,8.0,8.0,-2.0,242,283,-15,0.4398,-0.003193,0,20250901
ni2510P104000,18,22,18,20.0,26.0,20.0,-6.0,-6.0,224,195,-20,0.4376,-0.00726,0,20250901
ni2510P106000,20,26,20,24.0,60.0,46.0,-36.0,-14.0,175,175,5,0.428,-0.015123,0,20250901
ni2510P108000,24,48,22,28.0,126.0,98.0,-98.0,-28.0,93,219,8,0.3056,-0.029155,0,20250901
ni2510P110000,40,62,40,48.0,246.0,190.0,-198.0,-56.0,220,304,6,1.28,-0.05203,0,20250901
ni2510P112000,70,92,64,72.0,444.0,346.0,-372.0,-98.0,357,327,25,2.866,-0.086382,0,20250901
ni2510P114000,128,160,114,124.0,752.0,594.0,-628.0,-158.0,277,364,74,3.9026,-0.134142,0,20250901
ni2510P116000,204,310,196,210.0,1198.0,956.0,-988.0,-242.0,847,810,-59,20.5634,-0.195975,0,20250901
ni2510P118000,682,682,378,388.0,1808.0,1462.0,-1420.0,-346.0,2269,1906,243,110.0896,-0.271172,0,20250901
ni2510P120000,1238,1238,750,802.0,2608.0,2144.0,-1806.0,-464.0,2816,1570,98,262.4568,-0.357425,0,20250901
ni2510P122000,1970,2206,1476,1592.0,3608.0,3004.0,-2016.0,-604.0,858,657,84,151.6242,-0.449661,0,20250901
ni2510P124000,3200,3534,2590,2720.0,4798.0,4046.0,-2078.0,-752.0,718,643,232,214.3974,-0.543335,0,20250901
ni2510P126000,5000,5044,4048,4154.0,6160.0,5282.0,-2006.0,-878.0,96,184,47,42.9622,-0.632958,0,20250901
ni2510P128000,6646,6790,5750,5856.0,7690.0,6680.0,-1834.0,-1010.0,48,118,29,29.3822,-0.714788,0,20250901
ni2510P130000,8620,8620,7480,7600.0,9346.0,8222.0,-1746.0,-1124.0,29,170,22,22.6358,-0.785892,0,20250901
ni2510P132000,9776,9776,9330,9330.0,11106.0,9892.0,-1776.0,-1214.0,13,42,3,12.4406,-0.844234,0,20250901
ni2510P134000,11658,11658,11202,11202.0,12948.0,11652.0,-1746.0,-1296.0,6,74,2,6.8844,-0.891065,0,20250901
ni2510P136000,13104,13104,13104,13104.0,14842.0,13494.0,-1738.0,-1348.0,2,23,2,2.6208,-0.925686,0,20250901
ni2510P138000,,,,15386.0,16778.0,15386.0,-1392.0,-1392.0,0,2,0,0.0,-0.95158,0,20250901
ni2510P140000,,,,17320.0,18738.0,17320.0,-1418.0,-1418.0,0,0,0,0.0,-0.969095,0,20250901
ni2510P142000,,,,19278.0,20718.0,19278.0,-1440.0,-1440.0,0,0,0,0.0,-0.981298,0,20250901
ni2510P144000,,,,21252.0,22706.0,21252.0,-1454.0,-1454.0,0,0,0,0.0,-0.989094,0,20250901
ni2511C100000,,,,22994.0,21412.0,22994.0,1582.0,1582.0,0,0,0,0.0,0.996336,0,20250901
ni2511C102000,,,,21008.0,19426.0,21008.0,1582.0,1582.0,0,0,0,0.0,0.990642,0,20250901
ni2511C104000,,,,19044.0,17460.0,19044.0,1584.0,1584.0,0,0,0,0.0,0.981259,0,20250901
ni2511C106000,,,,17104.0,15524.0,17104.0,1580.0,1580.0,0,0,0,0.0,0.967,0,20250901
ni2511C108000,,,,15206.0,13632.0,15206.0,1574.0,1574.0,0,0,0,0.0,0.946345,0,20250901
ni2511C110000,,,,13366.0,11804.0,13366.0,1562.0,1562.0,0,0,0,0.0,0.91693,0,20250901
ni2511C112000,,,,11596.0,10068.0,11596.0,1528.0,1528.0,0,0,0,0.0,0.878897,0,20250901
ni2511C114000,,,,9930.0,8440.0,9930.0,1490.0,1490.0,0,7,0,0.0,0.829805,0,20250901
