ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
P2506-C-10000.DCE,20250430,DCE,0.5,2.0,2.0,3.5,1.5,3.5,0.5,121.0,0.28,299.0
P2506-C-10200.DCE,20250430,DCE,0.5,1.5,2.0,2.5,2.0,2.5,0.5,45.0,0.09,196.0
P2506-C-10400.DCE,20250430,DCE,0.5,1.0,1.0,3.0,0.5,3.0,0.5,753.0,1.23,1206.0
P2506-C-6400.DCE,20250430,DCE,2034.0,2034.0,0.0,0.0,0.0,1998.0,1998.0,0.0,0.0,0.0
P2506-C-6600.DCE,20250430,DCE,1834.0,1834.0,0.0,0.0,0.0,1798.0,1798.0,0.0,0.0,0.0
P2506-C-6700.DCE,20250430,DCE,1734.0,1734.0,0.0,0.0,0.0,1698.0,1698.0,0.0,0.0,0.0
P2506-C-6800.DCE,20250430,DCE,1634.0,1634.0,0.0,0.0,0.0,1598.0,1598.0,0.0,0.0,0.0
P2506-C-6900.DCE,20250430,DCE,1534.0,1534.0,0.0,0.0,0.0,1498.0,1498.0,0.0,0.0,0.0
P2506-C-7000.DCE,20250430,DCE,1434.0,1434.0,0.0,0.0,0.0,1398.0,1398.0,0.0,0.0,0.0
P2506-C-7100.DCE,20250430,DCE,1334.0,1334.0,0.0,0.0,0.0,1298.0,1298.0,0.0,0.0,0.0
P2506-C-7200.DCE,20250430,DCE,1234.0,1234.0,0.0,0.0,0.0,1198.0,1198.0,0.0,0.0,0.0
P2506-C-7300.DCE,20250430,DCE,1134.0,1134.0,0.0,0.0,0.0,1098.0,1098.0,0.0,0.0,0.0
P2506-C-7400.DCE,20250430,DCE,1034.5,1034.5,0.0,0.0,0.0,999.0,999.0,0.0,0.0,1.0
P2506-C-7500.DCE,20250430,DCE,936.0,936.0,0.0,0.0,0.0,901.0,901.0,0.0,0.0,3.0
P2506-C-7600.DCE,20250430,DCE,838.5,838.5,0.0,0.0,0.0,804.0,804.0,0.0,0.0,18.0
P2506-C-7700.DCE,20250430,DCE,742.5,742.5,0.0,0.0,0.0,709.0,709.0,0.0,0.0,35.0
P2506-C-7800.DCE,20250430,DCE,649.5,649.5,0.0,0.0,0.0,617.0,617.0,0.0,0.0,23.0
P2506-C-7900.DCE,20250430,DCE,560.0,560.0,0.0,0.0,0.0,529.5,529.5,0.0,0.0,106.0
P2506-C-8000.DCE,20250430,DCE,475.0,475.0,0.0,0.0,0.0,446.5,446.5,0.0,0.0,143.0
P2506-C-8100.DCE,20250430,DCE,396.0,366.5,367.0,387.5,336.0,383.5,370.0,259.0,93.79,321.0
P2506-C-8200.DCE,20250430,DCE,324.0,294.0,291.5,306.0,260.0,301.5,300.5,471.0,132.93,379.0
P2506-C-8300.DCE,20250430,DCE,259.5,220.5,221.0,248.0,193.0,248.0,239.5,1020.0,221.92,738.0
P2506-C-8400.DCE,20250430,DCE,203.5,167.0,169.0,189.0,142.0,181.5,186.5,2098.0,340.85,1058.0
P2506-C-8500.DCE,20250430,DCE,156.0,120.5,122.0,138.0,102.0,133.0,142.0,4686.0,558.6,1811.0
P2506-C-8600.DCE,20250430,DCE,117.0,87.0,88.0,100.0,72.5,97.0,105.5,7045.0,601.1,2606.0
P2506-C-8700.DCE,20250430,DCE,85.5,60.5,61.0,73.5,50.0,71.5,76.5,2798.0,168.39,1924.0
P2506-C-8800.DCE,20250430,DCE,61.0,41.5,40.5,53.5,35.0,51.0,54.5,5297.0,226.77,3048.0
P2506-C-8900.DCE,20250430,DCE,42.5,28.5,26.5,38.0,24.0,37.0,37.5,1449.0,42.36,2054.0
P2506-C-9000.DCE,20250430,DCE,28.5,20.5,21.0,29.5,17.0,29.0,25.0,10691.0,236.37,7885.0
P2506-C-9100.DCE,20250430,DCE,19.0,14.0,13.5,22.0,12.0,21.0,16.5,1210.0,19.31,1877.0
P2506-C-9200.DCE,20250430,DCE,12.0,10.0,9.5,19.5,9.5,11.0,10.5,1479.0,17.72,1906.0
P2506-C-9300.DCE,20250430,DCE,7.5,7.5,6.5,13.5,6.5,13.0,6.5,2084.0,18.5,1196.0
P2506-C-9400.DCE,20250430,DCE,4.5,5.0,5.0,11.0,4.5,11.0,4.0,841.0,5.91,1728.0
P2506-C-9500.DCE,20250430,DCE,2.5,4.5,4.0,8.5,4.0,8.5,2.0,205.0,1.26,763.0
P2506-C-9600.DCE,20250430,DCE,1.5,3.5,4.0,6.5,4.0,6.5,1.0,134.0,0.67,680.0
P2506-C-9700.DCE,20250430,DCE,0.5,3.0,5.0,5.0,4.0,5.0,0.5,129.0,0.53,266.0
P2506-C-9800.DCE,20250430,DCE,0.5,2.0,2.0,5.0,2.0,4.5,0.5,9.0,0.04,558.0
P2506-C-9900.DCE,20250430,DCE,0.5,2.5,2.0,4.0,2.0,4.0,0.5,36.0,0.1,258.0
P2506-P-10000.DCE,20250430,DCE,1566.0,1566.0,0.0,0.0,0.0,1602.0,1602.0,0.0,0.0,0.0
P2506-P-10200.DCE,20250430,DCE,1766.0,1766.0,0.0,0.0,0.0,1802.0,1802.0,0.0,0.0,0.0
P2506-P-10400.DCE,20250430,DCE,1966.0,1966.0,0.0,0.0,0.0,2002.0,2002.0,0.0,0.0,0.0
P2506-P-6400.DCE,20250430,DCE,0.5,2.0,2.0,3.5,1.5,3.5,0.5,358.0,1.01,1132.0
P2506-P-6600.DCE,20250430,DCE,0.5,2.5,3.0,3.0,3.0,3.0,0.5,9.0,0.03,152.0
P2506-P-6700.DCE,20250430,DCE,0.5,2.5,4.5,4.5,3.5,3.5,0.5,29.0,0.1,127.0
P2506-P-6800.DCE,20250430,DCE,0.5,2.5,1.0,4.5,1.0,4.5,0.5,47.0,0.15,136.0
P2506-P-6900.DCE,20250430,DCE,0.5,3.5,3.5,5.5,3.5,5.0,0.5,278.0,1.23,376.0
P2506-P-7000.DCE,20250430,DCE,0.5,4.5,4.5,7.0,4.5,6.5,0.5,1388.0,8.22,2933.0
P2506-P-7100.DCE,20250430,DCE,0.5,4.5,5.0,7.5,5.0,7.0,0.5,322.0,1.99,550.0
P2506-P-7200.DCE,20250430,DCE,0.5,5.0,5.5,8.0,5.5,8.0,0.5,521.0,3.55,665.0
P2506-P-7300.DCE,20250430,DCE,0.5,7.0,7.0,9.5,7.0,9.0,0.5,834.0,6.73,660.0
P2506-P-7400.DCE,20250430,DCE,1.0,9.0,9.0,11.5,9.0,11.0,1.5,901.0,8.56,773.0
P2506-P-7500.DCE,20250430,DCE,2.5,11.0,10.5,14.5,10.5,13.0,3.5,3367.0,40.26,2728.0
P2506-P-7600.DCE,20250430,DCE,5.0,13.5,14.0,20.5,13.0,20.5,6.5,2794.0,41.74,2561.0
P2506-P-7700.DCE,20250430,DCE,9.0,17.5,17.5,22.0,17.5,20.0,11.5,2531.0,47.85,1868.0
P2506-P-7800.DCE,20250430,DCE,16.0,24.0,22.0,29.0,22.0,25.5,19.5,4915.0,123.93,4116.0
P2506-P-7900.DCE,20250430,DCE,26.5,32.0,31.0,38.5,29.5,34.0,31.5,2142.0,71.94,1963.0
P2506-P-8000.DCE,20250430,DCE,41.5,43.5,83.0,83.0,25.0,43.0,49.0,16432.0,750.82,5574.0
P2506-P-8100.DCE,20250430,DCE,62.5,61.0,57.0,74.5,55.5,59.0,72.0,2886.0,181.56,1829.0
P2506-P-8200.DCE,20250430,DCE,90.0,85.5,82.0,101.0,65.0,82.0,103.0,4318.0,376.99,1449.0
P2506-P-8300.DCE,20250430,DCE,125.5,118.0,112.0,140.5,106.5,110.0,141.5,3538.0,431.0,1806.0
P2506-P-8400.DCE,20250430,DCE,169.5,160.0,153.0,187.0,138.5,153.0,188.5,2465.0,404.78,1677.0
P2506-P-8500.DCE,20250430,DCE,222.0,214.5,215.0,246.0,201.5,202.0,244.0,1192.0,264.4,458.0
P2506-P-8600.DCE,20250430,DCE,283.0,274.5,277.5,298.0,264.5,270.5,307.5,204.0,57.96,478.0
P2506-P-8700.DCE,20250430,DCE,351.5,348.5,356.0,393.0,338.5,347.0,378.5,130.0,46.92,451.0
P2506-P-8800.DCE,20250430,DCE,426.5,435.0,433.0,465.0,418.5,424.5,456.0,183.0,80.56,298.0
P2506-P-8900.DCE,20250430,DCE,508.0,514.5,520.5,550.0,511.5,514.5,539.5,77.0,40.94,255.0
P2506-P-9000.DCE,20250430,DCE,594.5,618.0,0.0,0.0,0.0,627.0,627.0,0.0,0.0,216.0
P2506-P-9100.DCE,20250430,DCE,684.5,684.5,0.0,0.0,0.0,718.5,718.5,0.0,0.0,101.0
P2506-P-9200.DCE,20250430,DCE,778.0,778.0,0.0,0.0,0.0,812.5,812.5,0.0,0.0,136.0
P2506-P-9300.DCE,20250430,DCE,873.5,873.5,0.0,0.0,0.0,908.5,908.5,0.0,0.0,72.0
P2506-P-9400.DCE,20250430,DCE,971.0,971.0,0.0,0.0,0.0,1006.0,1006.0,0.0,0.0,11.0
P2506-P-9500.DCE,20250430,DCE,1069.0,1069.0,0.0,0.0,0.0,1105.0,1105.0,0.0,0.0,0.0
P2506-P-9600.DCE,20250430,DCE,1168.5,1168.5,0.0,0.0,0.0,1204.5,1204.5,0.0,0.0,0.0
P2506-P-9700.DCE,20250430,DCE,1266.0,1266.0,0.0,0.0,0.0,1302.0,1302.0,0.0,0.0,0.0
P2506-P-9800.DCE,20250430,DCE,1366.0,1366.0,0.0,0.0,0.0,1402.0,1402.0,0.0,0.0,0.0
P2506-P-9900.DCE,20250430,DCE,1466.0,1466.0,0.0,0.0,0.0,1502.0,1502.0,0.0,0.0,0.0
P2507-C-10000.DCE,20250430,DCE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.0
P2507-C-10400.DCE,20250430,DCE,0.5,3.0,2.0,3.0,2.0,3.0,0.5,8.0,0.02,108.0
P2507-C-6400.DCE,20250430,DCE,1904.0,1904.0,0.0,0.0,0.0,1858.0,1858.0,0.0,0.0,0.0
P2507-C-6600.DCE,20250430,DCE,1704.0,1704.0,0.0,0.0,0.0,1658.0,1658.0,0.0,0.0,0.0
P2507-C-6700.DCE,20250430,DCE,1604.0,1604.0,0.0,0.0,0.0,1558.0,1558.0,0.0,0.0,1.0
P2507-C-6800.DCE,20250430,DCE,1504.0,1504.0,0.0,0.0,0.0,1458.0,1458.0,0.0,0.0,0.0
P2507-C-6900.DCE,20250430,DCE,1404.0,1404.0,0.0,0.0,0.0,1358.0,1358.0,0.0,0.0,0.0
P2507-C-7000.DCE,20250430,DCE,1304.5,1304.5,0.0,0.0,0.0,1259.0,1259.0,0.0,0.0,0.0
P2507-C-7100.DCE,20250430,DCE,1206.0,1206.0,0.0,0.0,0.0,1161.0,1161.0,0.0,0.0,0.0
P2507-C-7200.DCE,20250430,DCE,1108.5,1108.5,0.0,0.0,0.0,1063.5,1063.5,0.0,0.0,0.0
P2507-C-7300.DCE,20250430,DCE,1012.0,1012.0,0.0,0.0,0.0,968.0,968.0,0.0,0.0,0.0
P2507-C-7400.DCE,20250430,DCE,917.5,917.5,0.0,0.0,0.0,874.5,874.5,0.0,0.0,0.0
P2507-C-7500.DCE,20250430,DCE,825.5,825.5,0.0,0.0,0.0,783.5,783.5,0.0,0.0,0.0
P2507-C-7600.DCE,20250430,DCE,736.0,736.0,0.0,0.0,0.0,695.5,695.5,0.0,0.0,0.0
P2507-C-7700.DCE,20250430,DCE,650.5,650.5,0.0,0.0,0.0,612.0,612.0,0.0,0.0,10.0
P2507-C-7800.DCE,20250430,DCE,569.0,569.0,0.0,0.0,0.0,532.5,532.5,0.0,0.0,2.0
P2507-C-7900.DCE,20250430,DCE,493.0,493.0,0.0,0.0,0.0,458.5,458.5,0.0,0.0,62.0
P2507-C-8000.DCE,20250430,DCE,422.0,422.0,377.0,379.0,377.0,379.0,390.5,11.0,4.2,62.0
P2507-C-8100.DCE,20250430,DCE,357.5,357.5,310.5,312.5,310.5,312.5,328.5,8.0,2.49,59.0
P2507-C-8200.DCE,20250430,DCE,299.0,310.5,252.0,254.0,252.0,254.0,273.0,12.0,3.12,81.0
P2507-C-8300.DCE,20250430,DCE,247.0,237.0,210.0,233.0,187.0,233.0,224.5,27.0,5.92,179.0
P2507-C-8400.DCE,20250430,DCE,201.5,201.5,158.5,184.0,130.5,130.5,181.5,22.0,3.74,78.0
P2507-C-8500.DCE,20250430,DCE,162.5,136.0,127.5,139.0,120.5,139.0,145.5,40.0,5.32,89.0
P2507-C-8600.DCE,20250430,DCE,129.0,102.0,102.5,111.0,88.0,111.0,114.5,124.0,12.18,210.0
P2507-C-8700.DCE,20250430,DCE,101.0,81.0,79.0,84.0,66.0,83.5,89.5,139.0,10.06,1021.0
P2507-C-8800.DCE,20250430,DCE,78.5,62.5,60.0,60.5,52.0,60.5,68.5,38.0,2.16,125.0
P2507-C-8900.DCE,20250430,DCE,60.0,52.0,43.0,44.0,43.0,44.0,52.0,12.0,0.52,239.0
P2507-C-9000.DCE,20250430,DCE,45.0,36.5,33.0,38.0,30.5,37.0,39.0,110.0,3.96,299.0
P2507-C-9100.DCE,20250430,DCE,33.5,29.5,29.0,29.0,25.5,28.0,28.5,25.0,0.69,260.0
P2507-C-9200.DCE,20250430,DCE,24.5,22.0,22.0,25.0,18.0,25.0,21.0,276.0,5.82,280.0
P2507-C-9300.DCE,20250430,DCE,17.5,17.5,0.0,0.0,0.0,15.0,15.0,0.0,0.0,54.0
P2507-C-9400.DCE,20250430,DCE,12.5,12.5,0.0,0.0,0.0,10.5,10.5,0.0,0.0,32.0
P2507-C-9500.DCE,20250430,DCE,9.0,14.0,10.0,10.0,9.5,9.5,7.5,2.0,0.02,78.0
P2507-C-9600.DCE,20250430,DCE,6.0,11.5,7.5,7.5,7.5,7.5,5.0,1.0,0.01,58.0
P2507-C-9700.DCE,20250430,DCE,4.0,4.0,8.0,8.0,8.0,8.0,3.5,1.0,0.01,93.0
P2507-C-9800.DCE,20250430,DCE,2.5,2.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,28.0
P2507-C-9900.DCE,20250430,DCE,2.0,2.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,44.0
P2507-P-10000.DCE,20250430,DCE,1696.0,1696.0,0.0,0.0,0.0,1742.0,1742.0,0.0,0.0,0.0
P2507-P-10400.DCE,20250430,DCE,2096.0,2096.0,0.0,0.0,0.0,2142.0,2142.0,0.0,0.0,1.0
P2507-P-6400.DCE,20250430,DCE,0.5,3.0,5.0,5.0,5.0,5.0,0.5,8.0,0.02,202.0
P2507-P-6600.DCE,20250430,DCE,0.5,4.5,32.5,32.5,8.0,8.0,0.5,2.0,0.04,134.0
P2507-P-6700.DCE,20250430,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,81.0
P2507-P-6800.DCE,20250430,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,46.0
P2507-P-6900.DCE,20250430,DCE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0
P2507-P-7000.DCE,20250430,DCE,2.0,10.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,55.0
P2507-P-7100.DCE,20250430,DCE,3.5,3.5,17.0,17.0,17.0,17.0,4.0,2.0,0.02,21.0
P2507-P-7200.DCE,20250430,DCE,5.5,5.5,20.5,20.5,20.5,20.5,7.0,19.0,0.27,30.0
P2507-P-7300.DCE,20250430,DCE,9.5,9.5,23.5,23.5,23.5,23.5,11.5,12.0,0.26,47.0
P2507-P-7400.DCE,20250430,DCE,15.0,15.0,0.0,0.0,0.0,17.5,17.5,0.0,0.0,19.0
P2507-P-7500.DCE,20250430,DCE,22.5,22.5,40.0,40.0,40.0,40.0,26.5,1.0,0.04,129.0
P2507-P-7600.DCE,20250430,DCE,33.0,45.0,45.5,54.0,45.5,51.0,38.5,127.0,6.35,304.0
P2507-P-7700.DCE,20250430,DCE,47.5,58.0,59.5,67.5,59.5,62.5,55.0,450.0,28.39,434.0
P2507-P-7800.DCE,20250430,DCE,66.0,74.0,74.0,85.0,71.5,79.0,75.5,268.0,21.17,358.0
P2507-P-7900.DCE,20250430,DCE,89.5,94.0,95.0,110.5,92.0,99.0,101.5,37.0,3.64,109.0
P2507-P-8000.DCE,20250430,DCE,118.5,122.0,118.5,139.5,118.5,119.0,133.0,54.0,6.78,179.0
P2507-P-8100.DCE,20250430,DCE,154.0,147.0,151.5,163.5,151.5,163.5,171.0,10.0,1.58,99.0
P2507-P-8200.DCE,20250430,DCE,195.0,187.0,199.5,200.0,188.5,193.0,215.5,24.0,4.77,113.0
P2507-P-8300.DCE,20250430,DCE,243.0,238.0,239.5,255.5,230.0,230.0,266.5,62.0,14.98,493.0
P2507-P-8400.DCE,20250430,DCE,297.5,288.5,294.0,306.0,290.5,290.5,323.5,10.0,3.02,94.0
P2507-P-8500.DCE,20250430,DCE,358.0,335.0,371.0,371.0,368.5,368.5,387.0,8.0,2.96,114.0
P2507-P-8600.DCE,20250430,DCE,424.5,396.5,442.5,442.5,439.5,439.5,456.0,5.0,2.2,127.0
P2507-P-8700.DCE,20250430,DCE,496.5,507.0,503.0,521.0,495.5,495.5,530.5,37.0,19.01,127.0
P2507-P-8800.DCE,20250430,DCE,573.5,573.5,609.5,609.5,609.5,609.5,610.0,10.0,6.1,85.0
P2507-P-8900.DCE,20250430,DCE,655.0,655.0,0.0,0.0,0.0,693.0,693.0,0.0,0.0,23.0
P2507-P-9000.DCE,20250430,DCE,740.0,740.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,7.0
P2507-P-9100.DCE,20250430,DCE,828.5,828.5,0.0,0.0,0.0,869.5,869.5,0.0,0.0,4.0
P2507-P-9200.DCE,20250430,DCE,919.5,919.5,0.0,0.0,0.0,962.0,962.0,0.0,0.0,2.0
P2507-P-9300.DCE,20250430,DCE,1013.0,1013.0,0.0,0.0,0.0,1056.0,1056.0,0.0,0.0,1.0
P2507-P-9400.DCE,20250430,DCE,1108.0,1108.0,0.0,0.0,0.0,1152.0,1152.0,0.0,0.0,0.0
P2507-P-9500.DCE,20250430,DCE,1204.0,1204.0,0.0,0.0,0.0,1248.5,1248.5,0.0,0.0,0.0
P2507-P-9600.DCE,20250430,DCE,1301.5,1301.5,0.0,0.0,0.0,1346.5,1346.5,0.0,0.0,0.0
P2507-P-9700.DCE,20250430,DCE,1400.0,1400.0,0.0,0.0,0.0,1445.5,1445.5,0.0,0.0,0.0
P2507-P-9800.DCE,20250430,DCE,1499.0,1499.0,0.0,0.0,0.0,1544.5,1544.5,0.0,0.0,0.0
P2507-P-9900.DCE,20250430,DCE,1598.5,1598.5,0.0,0.0,0.0,1644.5,1644.5,0.0,0.0,0.0
P2508-C-10000.DCE,20250430,DCE,5.0,5.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,10.0
P2508-C-6400.DCE,20250430,DCE,1828.0,1828.0,0.0,0.0,0.0,1778.0,1778.0,0.0,0.0,0.0
P2508-C-6600.DCE,20250430,DCE,1628.0,1628.0,0.0,0.0,0.0,1578.5,1578.5,0.0,0.0,0.0
P2508-C-6800.DCE,20250430,DCE,1430.5,1430.5,0.0,0.0,0.0,1381.5,1381.5,0.0,0.0,0.0
P2508-C-7000.DCE,20250430,DCE,1237.0,1237.0,0.0,0.0,0.0,1189.0,1189.0,0.0,0.0,0.0
P2508-C-7100.DCE,20250430,DCE,1142.0,,0.0,0.0,0.0,1095.5,1095.5,0.0,0.0,0.0
P2508-C-7200.DCE,20250430,DCE,1049.5,1049.5,0.0,0.0,0.0,1003.5,1003.5,0.0,0.0,0.0
P2508-C-7300.DCE,20250430,DCE,959.0,959.0,0.0,0.0,0.0,914.5,914.5,0.0,0.0,0.0
P2508-C-7400.DCE,20250430,DCE,871.0,871.0,0.0,0.0,0.0,828.0,828.0,0.0,0.0,0.0
P2508-C-7500.DCE,20250430,DCE,786.5,786.5,0.0,0.0,0.0,745.0,745.0,0.0,0.0,0.0
P2508-C-7600.DCE,20250430,DCE,705.5,705.5,0.0,0.0,0.0,666.5,666.5,0.0,0.0,1.0
P2508-C-7700.DCE,20250430,DCE,628.5,628.5,0.0,0.0,0.0,591.5,591.5,0.0,0.0,1.0
P2508-C-7800.DCE,20250430,DCE,556.5,556.5,0.0,0.0,0.0,521.5,521.5,0.0,0.0,1.0
P2508-C-7900.DCE,20250430,DCE,489.0,489.0,0.0,0.0,0.0,456.5,456.5,0.0,0.0,1.0
