合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
pb2503C14000,,,,2995.0,2705.0,2995.0,290.0,290.0,0,0,0,0.0,0.999999,0,20250205
pb2503C14200,,,,2795.0,2505.0,2795.0,290.0,290.0,0,0,0,0.0,0.999999,0,20250205
pb2503C14400,,,,2595.0,2305.0,2595.0,290.0,290.0,0,0,0,0.0,0.999999,0,20250205
pb2503C14600,,,,2395.0,2105.0,2395.0,290.0,290.0,0,0,0,0.0,0.999999,0,20250205
pb2503C14800,,,,2195.0,1905.0,2195.0,290.0,290.0,0,0,0,0.0,0.999999,0,20250205
pb2503C15000,,,,1995.0,1705.0,1995.0,290.0,290.0,0,1,0,0.0,0.999999,0,20250205
pb2503C15200,,,,1795.0,1505.0,1795.0,290.0,290.0,0,10,0,0.0,0.999999,0,20250205
pb2503C15400,1648,1648,1595,1601.0,1307.0,1595.0,294.0,288.0,18,43,13,14.623,0.999928,0,20250205
pb2503C15600,1448,1477,1351,1477.0,1111.0,1395.0,366.0,284.0,20,44,11,14.358,0.996876,0,20250205
pb2503C15800,1257,1272,1200,1272.0,921.0,1196.0,351.0,275.0,20,51,20,12.43,0.98898,0,20250205
pb2503C16000,1057,1076,1004,1076.0,740.0,1000.0,336.0,260.0,26,73,19,13.696,0.970388,0,20250205
pb2503C16200,873,898,811,898.0,573.0,810.0,325.0,237.0,29,75,20,12.3675,0.932907,0,20250205
pb2503C16400,600,658,600,658.0,426.0,631.0,232.0,205.0,15,88,-11,4.7875,0.868327,0,20250205
pb2503C16600,400,541,259,530.0,301.0,468.0,229.0,167.0,107,193,-21,24.1565,0.771373,0,20250205
pb2503C16800,151,378,151,377.0,202.0,329.0,175.0,127.0,171,1008,-1,27.531,0.645113,0,20250205
pb2503C17000,140,247,88,239.0,128.0,216.0,111.0,88.0,829,1054,9,82.1885,0.502479,0,20250205
pb2503C17200,100,149,92,146.0,76.0,132.0,70.0,56.0,231,223,14,13.7405,0.36109,0,20250205
pb2503C17400,73,94,68,94.0,43.0,75.0,51.0,32.0,358,186,-58,14.7315,0.237608,0,20250205
pb2503C17600,35,61,35,60.0,22.0,39.0,38.0,17.0,112,177,-10,2.927,0.142929,0,20250205
pb2503C17800,25,39,25,38.0,11.0,19.0,27.0,8.0,272,341,168,4.501,0.077912,0,20250205
pb2503C18000,17,26,17,26.0,5.0,8.0,21.0,3.0,98,453,8,1.06,0.038865,0,20250205
pb2503C18200,11,19,11,19.0,2.0,3.0,17.0,1.0,14,106,-1,0.1025,0.017317,0,20250205
pb2503C18400,12,13,12,13.0,1.0,1.0,12.0,0.0,6,45,2,0.0315,0.007178,0,20250205
pb2503C18600,9,10,9,10.0,1.0,1.0,9.0,0.0,14,29,8,0.0515,0.002663,0,20250205
pb2503C18800,,,,1.0,1.0,1.0,0.0,0.0,0,22,0,0.0,0.000887,0,20250205
pb2503C19000,5,5,5,5.0,1.0,1.0,4.0,0.0,1,49,0,0.0025,0.000278,0,20250205
pb2503C19200,5,5,5,5.0,1.0,1.0,4.0,0.0,10,65,-10,0.025,7.7e-05,0,20250205
pb2503C19400,4,4,4,4.0,1.0,1.0,3.0,0.0,25,44,-2,0.032,1.9e-05,0,20250205
pb2503C19600,3,3,2,3.0,1.0,1.0,2.0,0.0,64,173,10,0.086,4e-06,0,20250205
pb2503P14000,,,,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,20250205
pb2503P14200,,,,1.0,1.0,1.0,0.0,0.0,0,12,0,0.0,-1e-06,0,20250205
pb2503P14400,,,,1.0,1.0,1.0,0.0,0.0,0,8,0,0.0,-1e-06,0,20250205
pb2503P14600,1,1,1,1.0,1.0,1.0,0.0,0.0,2,85,0,0.001,-1e-06,0,20250205
pb2503P14800,1,1,1,1.0,1.0,1.0,0.0,0.0,35,103,5,0.0175,-8e-06,0,20250205
pb2503P15000,2,2,2,2.0,1.0,1.0,1.0,0.0,16,102,-6,0.0155,-4.7e-05,0,20250205
pb2503P15200,2,2,2,2.0,1.0,1.0,1.0,0.0,28,109,-14,0.026,-0.000244,0,20250205
pb2503P15400,3,3,3,3.0,2.0,1.0,1.0,-1.0,4,182,-4,0.006,-0.001045,0,20250205
pb2503P15600,6,6,2,3.0,7.0,1.0,-4.0,-6.0,103,147,-8,0.2395,-0.003735,0,20250205
