ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
PF508C5500.ZCE,20250630,CZCE,1032.0,0.0,0.0,0.0,0.0,0.0,1046.0,0.0,0.0,0.0
PF508C5600.ZCE,20250630,CZCE,932.5,0.0,0.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0
PF508C5700.ZCE,20250630,CZCE,832.5,0.0,0.0,0.0,0.0,0.0,846.0,0.0,0.0,0.0
PF508C5800.ZCE,20250630,CZCE,732.5,0.0,0.0,0.0,0.0,0.0,746.0,0.0,0.0,0.0
PF508C5900.ZCE,20250630,CZCE,633.0,622.0,646.0,676.0,644.5,676.0,646.0,5.0,1.63,111.0
PF508C6000.ZCE,20250630,CZCE,533.5,0.0,0.0,0.0,0.0,0.0,546.5,0.0,0.0,50.0
PF508C6100.ZCE,20250630,CZCE,434.0,424.0,468.0,468.0,468.0,468.0,447.5,1.0,0.23,101.0
PF508C6200.ZCE,20250630,CZCE,337.0,336.0,321.0,321.0,321.0,321.0,349.5,1.0,0.16,122.0
PF508C6300.ZCE,20250630,CZCE,244.5,242.5,232.0,232.0,232.0,232.0,255.5,2.0,0.23,274.0
PF508C6400.ZCE,20250630,CZCE,164.0,155.5,179.0,183.0,152.0,152.0,169.5,34.0,2.68,177.0
PF508C6500.ZCE,20250630,CZCE,101.5,92.0,128.0,132.0,80.0,95.5,100.0,196.0,9.25,343.0
PF508C6600.ZCE,20250630,CZCE,59.0,50.5,50.5,79.5,41.0,48.0,54.0,2123.0,58.19,984.0
PF508C6700.ZCE,20250630,CZCE,32.5,27.0,27.5,44.5,21.0,25.5,28.0,3162.0,48.27,772.0
PF508C6800.ZCE,20250630,CZCE,17.5,14.0,14.0,25.0,11.0,12.5,15.0,1517.0,12.06,761.0
PF508C6900.ZCE,20250630,CZCE,9.0,8.0,9.0,14.0,4.5,7.0,8.5,2366.0,10.59,2159.0
PF508C7000.ZCE,20250630,CZCE,5.0,4.0,4.5,8.5,3.0,4.0,5.0,3047.0,9.42,1142.0
PF508C7100.ZCE,20250630,CZCE,2.5,2.0,2.5,4.0,1.5,2.5,3.0,601.0,0.8,844.0
PF508C7200.ZCE,20250630,CZCE,1.5,1.5,1.5,2.0,1.0,1.5,1.5,349.0,0.28,436.0
PF508C7300.ZCE,20250630,CZCE,0.5,1.0,0.5,1.0,0.5,1.0,1.0,93.0,0.04,367.0
PF508C7400.ZCE,20250630,CZCE,0.5,0.5,0.5,1.0,0.5,0.5,0.5,50.0,0.01,301.0
PF508C7500.ZCE,20250630,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.0,0.01,250.0
PF508P5500.ZCE,20250630,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,592.0
PF508P5600.ZCE,20250630,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10.0,0.0,936.0
PF508P5700.ZCE,20250630,CZCE,1.0,0.5,0.5,0.5,0.5,0.5,0.5,30.0,0.01,395.0
PF508P5800.ZCE,20250630,CZCE,1.0,0.5,0.5,0.5,0.5,0.5,0.5,134.0,0.03,629.0
PF508P5900.ZCE,20250630,CZCE,1.0,1.0,0.5,1.0,0.5,1.0,0.5,725.0,0.18,810.0
PF508P6000.ZCE,20250630,CZCE,1.5,2.0,1.0,1.5,0.5,1.5,0.5,742.0,0.33,1244.0
PF508P6100.ZCE,20250630,CZCE,2.5,3.0,1.5,2.0,1.0,1.5,1.5,1352.0,0.96,1229.0
PF508P6200.ZCE,20250630,CZCE,5.0,5.0,7.5,7.5,2.0,3.0,4.0,1138.0,1.64,1332.0
PF508P6300.ZCE,20250630,CZCE,13.0,13.0,11.5,20.0,6.0,8.5,9.5,4377.0,19.58,2042.0
