ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
PG2505-C-3800.DCE,20250331,DCE,820.0,820.0,0.0,0.0,0.0,796.0,796.0,0.0,0.0,0.0
PG2505-C-3850.DCE,20250331,DCE,770.0,770.0,0.0,0.0,0.0,746.0,746.0,0.0,0.0,0.0
PG2505-C-3900.DCE,20250331,DCE,720.0,720.0,0.0,0.0,0.0,696.0,696.0,0.0,0.0,0.0
PG2505-C-3950.DCE,20250331,DCE,670.0,670.0,0.0,0.0,0.0,646.0,646.0,0.0,0.0,0.0
PG2505-C-4000.DCE,20250331,DCE,620.0,620.0,0.0,0.0,0.0,596.0,596.0,0.0,0.0,0.0
PG2505-C-4050.DCE,20250331,DCE,570.0,570.0,0.0,0.0,0.0,546.0,546.0,0.0,0.0,0.0
PG2505-C-4100.DCE,20250331,DCE,520.0,520.0,0.0,0.0,0.0,496.0,496.0,0.0,0.0,0.0
PG2505-C-4150.DCE,20250331,DCE,470.0,470.0,0.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0
PG2505-C-4200.DCE,20250331,DCE,420.0,420.0,0.0,0.0,0.0,396.2,396.2,0.0,0.0,0.0
PG2505-C-4250.DCE,20250331,DCE,370.6,370.6,0.0,0.0,0.0,346.8,346.8,0.0,0.0,0.0
PG2505-C-4300.DCE,20250331,DCE,321.6,321.6,0.0,0.0,0.0,298.2,298.2,0.0,0.0,50.0
PG2505-C-4350.DCE,20250331,DCE,273.8,273.8,232.2,232.2,232.2,232.2,251.0,1.0,0.46,87.0
PG2505-C-4400.DCE,20250331,DCE,227.6,227.6,0.0,0.0,0.0,206.0,206.0,0.0,0.0,87.0
PG2505-C-4450.DCE,20250331,DCE,184.4,176.2,163.2,163.2,152.4,160.6,164.0,16.0,5.1,114.0
PG2505-C-4500.DCE,20250331,DCE,144.6,136.2,141.6,141.6,105.4,135.0,126.4,80.0,20.74,217.0
PG2505-C-4550.DCE,20250331,DCE,109.6,103.6,104.4,104.4,79.4,99.2,93.6,104.0,19.89,263.0
PG2505-C-4600.DCE,20250331,DCE,79.8,69.2,69.6,75.2,49.2,72.4,66.6,843.0,104.87,416.0
PG2505-C-4650.DCE,20250331,DCE,55.8,45.0,45.0,51.0,24.0,50.2,45.4,1214.0,103.87,354.0
PG2505-C-4700.DCE,20250331,DCE,37.4,29.6,30.0,34.0,19.0,32.8,29.4,3219.0,175.06,1309.0
PG2505-C-4750.DCE,20250331,DCE,23.8,16.6,20.0,21.2,11.8,21.0,18.2,991.0,32.97,697.0
PG2505-C-4800.DCE,20250331,DCE,14.4,10.2,9.0,13.6,7.4,13.6,10.6,1948.0,39.45,1359.0
PG2505-C-4850.DCE,20250331,DCE,8.4,6.0,6.4,8.4,4.4,8.4,5.8,621.0,7.28,577.0
PG2505-C-4900.DCE,20250331,DCE,4.6,3.8,3.8,5.4,2.8,5.4,3.0,1239.0,9.42,889.0
PG2505-C-4950.DCE,20250331,DCE,2.4,2.4,2.4,3.0,1.8,3.0,1.4,1310.0,5.99,1264.0
PG2505-C-5000.DCE,20250331,DCE,1.2,1.4,1.4,2.2,1.0,2.2,0.6,1290.0,3.65,1870.0
PG2505-C-5050.DCE,20250331,DCE,0.4,1.0,0.8,1.4,0.8,1.4,0.2,411.0,0.81,633.0
PG2505-C-5100.DCE,20250331,DCE,0.2,0.2,1.0,1.0,0.6,0.6,0.2,5.0,0.01,32.0
PG2505-C-5150.DCE,20250331,DCE,0.2,0.2,0.6,0.6,0.6,0.6,0.2,1.0,0.0,30.0
PG2505-C-5200.DCE,20250331,DCE,0.2,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,37.0
PG2505-C-5250.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,46.0
PG2505-C-5300.DCE,20250331,DCE,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,161.0
PG2505-C-5350.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,61.0
PG2505-C-5400.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,39.0
PG2505-C-5450.DCE,20250331,DCE,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,63.0
PG2505-C-5500.DCE,20250331,DCE,0.2,0.2,0.2,0.2,0.2,0.2,0.2,25.0,0.01,208.0
PG2505-P-3800.DCE,20250331,DCE,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,82.0
PG2505-P-3850.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,120.0
PG2505-P-3900.DCE,20250331,DCE,0.2,0.2,0.4,0.4,0.4,0.4,0.2,1.0,0.0,66.0
PG2505-P-3950.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,17.0
PG2505-P-4000.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,270.0
PG2505-P-4050.DCE,20250331,DCE,0.2,0.4,0.2,0.2,0.2,0.2,0.2,1.0,0.0,172.0
PG2505-P-4100.DCE,20250331,DCE,0.2,0.8,0.8,0.8,0.6,0.6,0.2,27.0,0.04,707.0
PG2505-P-4150.DCE,20250331,DCE,0.2,0.8,0.8,0.8,0.8,0.8,0.2,92.0,0.15,652.0
PG2505-P-4200.DCE,20250331,DCE,0.2,1.0,1.2,1.2,0.6,0.6,0.4,127.0,0.19,1603.0
PG2505-P-4250.DCE,20250331,DCE,0.8,2.0,1.6,2.2,1.4,1.4,1.0,839.0,2.83,1441.0
PG2505-P-4300.DCE,20250331,DCE,1.8,4.0,3.4,4.2,2.8,2.8,2.4,2063.0,13.42,2286.0
PG2505-P-4350.DCE,20250331,DCE,4.0,5.8,5.2,7.4,4.8,4.8,5.2,716.0,8.38,858.0
PG2505-P-4400.DCE,20250331,DCE,7.8,10.4,8.0,13.6,8.0,8.6,10.0,2453.0,52.07,1265.0
PG2505-P-4450.DCE,20250331,DCE,14.4,17.0,16.4,22.2,14.0,14.0,18.2,491.0,16.96,417.0
PG2505-P-4500.DCE,20250331,DCE,24.8,26.6,25.8,36.0,23.2,24.6,30.4,2457.0,137.5,702.0
PG2505-P-4550.DCE,20250331,DCE,39.6,42.0,44.0,55.8,37.0,42.0,47.6,1001.0,87.52,579.0
PG2505-P-4600.DCE,20250331,DCE,60.0,62.0,64.0,79.4,57.8,59.6,70.6,700.0,90.93,261.0
PG2505-P-4650.DCE,20250331,DCE,85.8,85.8,85.6,108.0,83.4,86.4,99.4,76.0,14.18,168.0
PG2505-P-4700.DCE,20250331,DCE,117.4,113.8,115.6,140.2,114.8,129.2,133.4,114.0,29.54,109.0
PG2505-P-4750.DCE,20250331,DCE,153.8,158.0,152.8,178.8,152.8,169.8,172.2,7.0,2.38,65.0
PG2505-P-4800.DCE,20250331,DCE,194.4,200.8,193.0,221.4,193.0,197.4,214.6,18.0,7.21,28.0
PG2505-P-4850.DCE,20250331,DCE,238.2,244.0,0.0,0.0,0.0,259.8,259.8,0.0,0.0,20.0
PG2505-P-4900.DCE,20250331,DCE,284.6,302.0,326.0,326.0,326.0,326.0,307.2,2.0,1.3,8.0
PG2505-P-4950.DCE,20250331,DCE,332.4,332.4,0.0,0.0,0.0,355.6,355.6,0.0,0.0,0.0
PG2505-P-5000.DCE,20250331,DCE,381.4,381.4,0.0,0.0,0.0,405.0,405.0,0.0,0.0,0.0
PG2505-P-5050.DCE,20250331,DCE,430.8,430.8,0.0,0.0,0.0,454.0,454.0,0.0,0.0,0.0
PG2505-P-5100.DCE,20250331,DCE,480.0,480.0,0.0,0.0,0.0,504.0,504.0,0.0,0.0,0.0
PG2505-P-5150.DCE,20250331,DCE,530.0,530.0,0.0,0.0,0.0,554.0,554.0,0.0,0.0,0.0
PG2505-P-5200.DCE,20250331,DCE,580.0,580.0,0.0,0.0,0.0,604.0,604.0,0.0,0.0,0.0
PG2505-P-5250.DCE,20250331,DCE,630.0,630.0,0.0,0.0,0.0,654.0,654.0,0.0,0.0,0.0
PG2505-P-5300.DCE,20250331,DCE,680.0,680.0,0.0,0.0,0.0,704.0,704.0,0.0,0.0,0.0
PG2505-P-5350.DCE,20250331,DCE,730.0,730.0,0.0,0.0,0.0,754.0,754.0,0.0,0.0,0.0
PG2505-P-5400.DCE,20250331,DCE,780.0,780.0,0.0,0.0,0.0,804.0,804.0,0.0,0.0,0.0
PG2505-P-5450.DCE,20250331,DCE,830.0,830.0,0.0,0.0,0.0,854.0,854.0,0.0,0.0,0.0
PG2505-P-5500.DCE,20250331,DCE,880.0,880.0,0.0,0.0,0.0,904.0,904.0,0.0,0.0,0.0
PG2506-C-3700.DCE,20250331,DCE,861.0,861.0,0.0,0.0,0.0,838.0,838.0,0.0,0.0,0.0
PG2506-C-3750.DCE,20250331,DCE,811.0,811.0,0.0,0.0,0.0,788.0,788.0,0.0,0.0,0.0
PG2506-C-3800.DCE,20250331,DCE,761.0,761.0,0.0,0.0,0.0,738.0,738.0,0.0,0.0,0.0
PG2506-C-3850.DCE,20250331,DCE,711.0,711.0,0.0,0.0,0.0,688.0,688.0,0.0,0.0,0.0
PG2506-C-3900.DCE,20250331,DCE,661.0,661.0,0.0,0.0,0.0,638.0,638.0,0.0,0.0,0.0
PG2506-C-3950.DCE,20250331,DCE,611.0,611.0,0.0,0.0,0.0,588.2,588.2,0.0,0.0,0.0
PG2506-C-4000.DCE,20250331,DCE,561.4,561.4,0.0,0.0,0.0,538.8,538.8,0.0,0.0,0.0
PG2506-C-4050.DCE,20250331,DCE,512.2,512.2,0.0,0.0,0.0,489.8,489.8,0.0,0.0,0.0
PG2506-C-4100.DCE,20250331,DCE,463.8,463.8,0.0,0.0,0.0,441.6,441.6,0.0,0.0,1.0
PG2506-C-4150.DCE,20250331,DCE,416.2,416.2,0.0,0.0,0.0,394.6,394.6,0.0,0.0,0.0
PG2506-C-4200.DCE,20250331,DCE,369.8,369.8,0.0,0.0,0.0,348.8,348.8,0.0,0.0,0.0
PG2506-C-4250.DCE,20250331,DCE,324.8,324.8,0.0,0.0,0.0,304.8,304.8,0.0,0.0,0.0
PG2506-C-4300.DCE,20250331,DCE,282.0,282.0,0.0,0.0,0.0,263.0,263.0,0.0,0.0,10.0
PG2506-C-4350.DCE,20250331,DCE,241.8,241.8,0.0,0.0,0.0,223.8,223.8,0.0,0.0,11.0
PG2506-C-4400.DCE,20250331,DCE,204.2,204.2,0.0,0.0,0.0,187.8,187.8,0.0,0.0,31.0
PG2506-C-4450.DCE,20250331,DCE,170.0,164.4,0.0,0.0,0.0,155.0,155.0,0.0,0.0,63.0
PG2506-C-4500.DCE,20250331,DCE,139.4,143.6,135.8,135.8,118.0,118.4,126.0,22.0,5.59,81.0
PG2506-C-4550.DCE,20250331,DCE,112.2,112.4,105.0,105.0,88.6,103.4,100.6,18.0,3.58,107.0
PG2506-C-4600.DCE,20250331,DCE,89.0,88.0,68.4,82.6,68.4,82.6,79.0,13.0,2.06,94.0
PG2506-C-4650.DCE,20250331,DCE,69.2,65.8,67.4,67.4,56.0,59.4,61.0,72.0,8.92,116.0
PG2506-C-4700.DCE,20250331,DCE,52.8,51.0,51.0,51.0,42.2,47.0,46.0,80.0,7.44,105.0
PG2506-C-4750.DCE,20250331,DCE,39.6,38.0,36.6,36.6,30.2,32.4,34.2,111.0,7.52,151.0
PG2506-C-4800.DCE,20250331,DCE,29.2,28.2,27.0,27.6,21.2,22.2,25.0,35.0,1.66,235.0
PG2506-C-4850.DCE,20250331,DCE,21.0,19.6,16.2,16.2,16.2,16.2,17.8,10.0,0.32,160.0
PG2506-C-4900.DCE,20250331,DCE,15.0,15.4,14.2,14.4,8.0,11.4,12.4,88.0,2.02,218.0
PG2506-C-4950.DCE,20250331,DCE,10.4,10.4,9.2,10.0,7.8,10.0,8.6,100.0,1.7,115.0
PG2506-C-5000.DCE,20250331,DCE,7.0,7.6,6.8,7.0,5.4,6.6,5.8,127.0,1.54,56.0
PG2506-C-5050.DCE,20250331,DCE,4.6,4.6,0.0,0.0,0.0,3.8,3.8,0.0,0.0,2.0
PG2506-C-5100.DCE,20250331,DCE,3.0,3.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,5.0
PG2506-C-5150.DCE,20250331,DCE,2.0,2.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,3.0
PG2506-C-5200.DCE,20250331,DCE,1.2,1.2,1.4,1.4,1.4,1.4,1.0,10.0,0.03,25.0
PG2506-C-5250.DCE,20250331,DCE,0.8,1.4,0.0,0.0,0.0,0.6,0.6,0.0,0.0,21.0
PG2506-C-5300.DCE,20250331,DCE,0.4,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,24.0
PG2506-C-5350.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,20.0
PG2506-C-5400.DCE,20250331,DCE,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,27.0
PG2506-C-5450.DCE,20250331,DCE,0.2,0.2,1.0,1.0,1.0,1.0,0.2,10.0,0.02,35.0
PG2506-P-3700.DCE,20250331,DCE,0.2,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,50.0
PG2506-P-3750.DCE,20250331,DCE,0.2,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,34.0
PG2506-P-3800.DCE,20250331,DCE,0.2,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,9.0
PG2506-P-3850.DCE,20250331,DCE,0.2,0.6,1.0,1.0,0.8,0.8,0.2,2.0,0.0,7.0
PG2506-P-3900.DCE,20250331,DCE,0.2,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.0,3.0
PG2506-P-3950.DCE,20250331,DCE,0.4,0.4,0.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0
PG2506-P-4000.DCE,20250331,DCE,1.0,1.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,1.0
PG2506-P-4050.DCE,20250331,DCE,2.0,2.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,100.0
