ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
PK512C6800.ZCE,20251031,CZCE,942.5,0.0,0.0,0.0,0.0,0.0,940.0,0.0,0.0,9.0
PK512C6900.ZCE,20251031,CZCE,843.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,12.0
PK512C7000.ZCE,20251031,CZCE,744.0,731.5,0.0,0.0,0.0,0.0,740.0,0.0,0.0,9.0
PK512C7100.ZCE,20251031,CZCE,645.0,632.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,9.0
PK512C7200.ZCE,20251031,CZCE,546.0,0.0,0.0,0.0,0.0,0.0,540.5,0.0,0.0,9.0
PK512C7300.ZCE,20251031,CZCE,448.0,434.5,444.0,452.5,444.0,447.0,441.5,8.0,1.78,47.0
PK512C7400.ZCE,20251031,CZCE,350.5,337.5,339.5,353.0,331.5,352.0,343.5,4.0,0.69,174.0
PK512C7500.ZCE,20251031,CZCE,254.0,239.0,236.5,258.0,234.0,250.5,247.5,61.0,7.48,390.0
PK512C7600.ZCE,20251031,CZCE,159.5,148.5,135.0,166.0,135.0,157.0,157.0,143.0,10.88,436.0
PK512C7700.ZCE,20251031,CZCE,92.5,81.5,80.0,91.0,72.0,87.0,81.5,835.0,34.6,1454.0
PK512C7800.ZCE,20251031,CZCE,51.5,40.5,36.0,44.5,33.5,40.5,38.0,2340.0,45.79,2595.0
PK512C7900.ZCE,20251031,CZCE,27.5,20.5,17.5,23.0,16.5,20.0,19.5,1497.0,14.82,3344.0
PK512C8000.ZCE,20251031,CZCE,14.0,10.0,10.5,11.5,8.5,10.0,10.5,4350.0,22.16,11918.0
PK512C8100.ZCE,20251031,CZCE,7.5,5.5,5.5,6.0,5.0,5.0,5.5,1997.0,5.34,2728.0
PK512C8200.ZCE,20251031,CZCE,3.5,3.5,3.0,3.0,2.5,3.0,3.0,1058.0,1.48,4462.0
PK512C8300.ZCE,20251031,CZCE,2.0,2.0,2.0,2.0,1.5,2.0,2.0,684.0,0.61,3554.0
PK512C8400.ZCE,20251031,CZCE,1.0,1.0,1.0,1.5,1.0,1.5,1.0,622.0,0.31,2119.0
PK512C8500.ZCE,20251031,CZCE,0.5,1.5,1.0,1.0,1.0,1.0,0.5,712.0,0.35,3979.0
