ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
PP2505-C-6400.DCE,20250331,DCE,951.0,951.0,0.0,0.0,0.0,911.0,911.0,0.0,0.0,0.0
PP2505-C-6500.DCE,20250331,DCE,851.0,851.0,0.0,0.0,0.0,811.0,811.0,0.0,0.0,0.0
PP2505-C-6600.DCE,20250331,DCE,751.0,751.0,0.0,0.0,0.0,711.0,711.0,0.0,0.0,0.0
PP2505-C-6700.DCE,20250331,DCE,651.0,651.0,0.0,0.0,0.0,611.0,611.0,0.0,0.0,0.0
PP2505-C-6800.DCE,20250331,DCE,551.0,551.0,0.0,0.0,0.0,511.0,511.0,0.0,0.0,0.0
PP2505-C-6900.DCE,20250331,DCE,451.0,456.0,0.0,0.0,0.0,411.0,411.0,0.0,0.0,6.0
PP2505-C-7000.DCE,20250331,DCE,351.5,351.5,298.5,298.5,298.5,298.5,311.5,17.0,2.58,128.0
PP2505-C-7100.DCE,20250331,DCE,254.5,262.5,235.5,235.5,188.5,188.5,216.0,14.0,1.43,321.0
PP2505-C-7200.DCE,20250331,DCE,165.5,154.5,142.0,142.0,99.5,107.0,131.5,71.0,3.84,521.0
PP2505-C-7300.DCE,20250331,DCE,93.0,69.5,65.5,67.5,38.5,54.5,66.5,942.0,24.04,2246.0
PP2505-C-7400.DCE,20250331,DCE,43.0,24.5,24.5,24.5,12.0,19.0,27.0,1843.0,17.7,3506.0
PP2505-C-7500.DCE,20250331,DCE,16.0,10.0,9.0,10.5,5.5,7.5,8.0,2682.0,10.26,5542.0
PP2505-C-7600.DCE,20250331,DCE,4.5,5.0,4.0,4.0,3.0,3.0,1.5,773.0,1.38,3895.0
PP2505-C-7700.DCE,20250331,DCE,1.0,2.5,2.5,2.5,1.5,2.0,0.5,318.0,0.28,3089.0
PP2505-C-7800.DCE,20250331,DCE,0.5,2.0,1.5,1.5,1.0,1.0,0.5,47.0,0.03,1310.0
PP2505-C-7900.DCE,20250331,DCE,0.5,1.0,0.5,0.5,0.5,0.5,0.5,85.0,0.02,1263.0
PP2505-C-8000.DCE,20250331,DCE,0.5,0.5,0.5,1.0,0.5,1.0,0.5,371.0,0.1,2220.0
PP2505-C-8100.DCE,20250331,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61.0,0.02,3309.0
PP2505-C-8200.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1122.0
PP2505-C-8300.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1213.0
PP2505-C-8400.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,68.0
PP2505-C-8500.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,269.0
PP2505-C-8600.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,207.0
PP2505-P-6400.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,524.0
PP2505-P-6500.DCE,20250331,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,543.0
PP2505-P-6600.DCE,20250331,DCE,0.5,0.5,0.5,1.0,0.5,1.0,0.5,101.0,0.05,805.0
PP2505-P-6700.DCE,20250331,DCE,0.5,1.0,1.0,1.5,1.0,1.5,0.5,254.0,0.14,1013.0
PP2505-P-6800.DCE,20250331,DCE,0.5,1.5,1.5,1.5,1.0,1.5,0.5,632.0,0.44,1087.0
PP2505-P-6900.DCE,20250331,DCE,0.5,2.0,2.0,2.5,2.0,2.0,0.5,1115.0,1.34,2218.0
PP2505-P-7000.DCE,20250331,DCE,0.5,3.5,3.5,4.5,3.0,4.5,1.0,1812.0,3.54,4282.0
PP2505-P-7100.DCE,20250331,DCE,3.5,4.5,5.0,8.5,5.0,6.5,5.5,1917.0,6.46,4401.0
PP2505-P-7200.DCE,20250331,DCE,14.5,17.0,15.0,23.0,12.0,16.5,20.5,7340.0,58.03,6624.0
PP2505-P-7300.DCE,20250331,DCE,42.0,34.5,31.0,61.5,31.0,42.5,55.5,2864.0,59.76,3572.0
PP2505-P-7400.DCE,20250331,DCE,92.0,84.5,92.0,134.5,92.0,106.0,116.0,398.0,19.92,1516.0
PP2505-P-7500.DCE,20250331,DCE,165.0,167.0,184.0,210.5,184.0,193.5,197.0,26.0,2.56,194.0
PP2505-P-7600.DCE,20250331,DCE,253.5,260.5,286.5,286.5,286.5,286.5,291.0,5.0,0.72,104.0
PP2505-P-7700.DCE,20250331,DCE,350.0,350.0,0.0,0.0,0.0,389.5,389.5,0.0,0.0,90.0
PP2505-P-7800.DCE,20250331,DCE,449.0,449.0,0.0,0.0,0.0,489.0,489.0,0.0,0.0,40.0
PP2505-P-7900.DCE,20250331,DCE,549.0,549.0,0.0,0.0,0.0,589.0,589.0,0.0,0.0,23.0
PP2505-P-8000.DCE,20250331,DCE,649.0,629.5,694.0,694.0,694.0,694.0,689.0,1.0,0.35,2.0
PP2505-P-8100.DCE,20250331,DCE,749.0,729.0,791.5,791.5,791.5,791.5,789.0,1.0,0.4,1.0
PP2505-P-8200.DCE,20250331,DCE,849.0,849.0,0.0,0.0,0.0,889.0,889.0,0.0,0.0,2.0
PP2505-P-8300.DCE,20250331,DCE,949.0,949.0,0.0,0.0,0.0,989.0,989.0,0.0,0.0,0.0
PP2505-P-8400.DCE,20250331,DCE,1049.0,1049.0,0.0,0.0,0.0,1089.0,1089.0,0.0,0.0,0.0
PP2505-P-8500.DCE,20250331,DCE,1149.0,1149.0,0.0,0.0,0.0,1189.0,1189.0,0.0,0.0,0.0
PP2505-P-8600.DCE,20250331,DCE,1249.0,1249.0,0.0,0.0,0.0,1289.0,1289.0,0.0,0.0,0.0
PP2506-C-6400.DCE,20250331,DCE,907.0,907.0,0.0,0.0,0.0,874.0,874.0,0.0,0.0,0.0
PP2506-C-6500.DCE,20250331,DCE,807.0,807.0,0.0,0.0,0.0,774.0,774.0,0.0,0.0,0.0
PP2506-C-6600.DCE,20250331,DCE,707.0,707.0,0.0,0.0,0.0,674.0,674.0,0.0,0.0,0.0
PP2506-C-6700.DCE,20250331,DCE,607.0,607.0,0.0,0.0,0.0,574.0,574.0,0.0,0.0,0.0
PP2506-C-6800.DCE,20250331,DCE,508.0,508.0,0.0,0.0,0.0,475.5,475.5,0.0,0.0,0.0
PP2506-C-6900.DCE,20250331,DCE,411.5,411.5,0.0,0.0,0.0,380.0,380.0,0.0,0.0,0.0
PP2506-C-7000.DCE,20250331,DCE,319.5,319.5,0.0,0.0,0.0,290.5,290.5,0.0,0.0,1.0
