ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
PX506C6000.ZCE,20250331,CZCE,996.5,0.0,0.0,0.0,0.0,0.0,903.5,0.0,0.0,0.0
PX506C6100.ZCE,20250331,CZCE,898.5,0.0,0.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0
PX506C6200.ZCE,20250331,CZCE,800.5,0.0,0.0,0.0,0.0,0.0,709.0,0.0,0.0,0.0
PX506C6300.ZCE,20250331,CZCE,704.0,0.0,0.0,0.0,0.0,0.0,613.0,0.0,0.0,0.0
PX506C6400.ZCE,20250331,CZCE,607.5,0.0,0.0,0.0,0.0,0.0,518.5,0.0,0.0,0.0
PX506C6500.ZCE,20250331,CZCE,512.5,0.0,0.0,0.0,0.0,0.0,426.5,0.0,0.0,0.0
PX506C6600.ZCE,20250331,CZCE,420.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0
PX506C6700.ZCE,20250331,CZCE,329.5,0.0,0.0,0.0,0.0,0.0,251.5,0.0,0.0,3.0
PX506C6800.ZCE,20250331,CZCE,243.5,0.0,200.0,200.0,200.0,200.0,174.0,1.0,0.1,4.0
PX506C6900.ZCE,20250331,CZCE,168.0,0.0,144.0,144.0,126.0,126.0,108.5,7.0,0.45,7.0
PX506C7000.ZCE,20250331,CZCE,112.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,1.0
PX506C7100.ZCE,20250331,CZCE,79.0,73.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,34.0
PX506C7200.ZCE,20250331,CZCE,58.5,60.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,20.0
PX506C7300.ZCE,20250331,CZCE,45.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,11.0
PX506C7400.ZCE,20250331,CZCE,35.5,0.0,5.0,45.0,5.0,17.0,18.5,4.0,0.04,10.0
PX506C7500.ZCE,20250331,CZCE,28.5,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,13.0
PX506C7600.ZCE,20250331,CZCE,23.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,16.0
PX506C7700.ZCE,20250331,CZCE,18.5,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,21.0
PX506C7800.ZCE,20250331,CZCE,15.5,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,9.0
PX506C7900.ZCE,20250331,CZCE,12.5,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
PX506P6000.ZCE,20250331,CZCE,6.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,3.0
PX506P6100.ZCE,20250331,CZCE,7.5,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,22.0
PX506P6200.ZCE,20250331,CZCE,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,21.0
PX506P6300.ZCE,20250331,CZCE,13.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,21.0
PX506P6400.ZCE,20250331,CZCE,16.5,0.0,14.5,14.5,14.5,14.5,21.5,1.0,0.01,30.0
PX506P6500.ZCE,20250331,CZCE,21.5,16.5,0.0,0.0,0.0,0.0,29.0,0.0,0.0,82.0
PX506P6600.ZCE,20250331,CZCE,28.5,22.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,24.0
PX506P6700.ZCE,20250331,CZCE,38.0,28.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,33.0
PX506P6800.ZCE,20250331,CZCE,52.0,0.0,76.0,131.0,76.0,131.0,76.0,5.0,0.22,9.0
PX506P6900.ZCE,20250331,CZCE,76.0,91.0,178.0,178.0,69.0,69.0,110.5,2.0,0.12,20.0
PX506P7000.ZCE,20250331,CZCE,119.5,0.0,0.0,0.0,0.0,0.0,167.5,0.0,0.0,1.0
PX506P7100.ZCE,20250331,CZCE,186.5,0.0,0.0,0.0,0.0,0.0,245.5,0.0,0.0,0.0
PX506P7200.ZCE,20250331,CZCE,266.0,0.0,0.0,0.0,0.0,0.0,333.5,0.0,0.0,0.0
PX506P7300.ZCE,20250331,CZCE,352.5,0.0,0.0,0.0,0.0,0.0,425.5,0.0,0.0,0.0
PX506P7400.ZCE,20250331,CZCE,443.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0
PX506P7500.ZCE,20250331,CZCE,536.0,0.0,0.0,0.0,0.0,0.0,615.5,0.0,0.0,0.0
PX506P7600.ZCE,20250331,CZCE,630.0,0.0,0.0,0.0,0.0,0.0,712.5,0.0,0.0,0.0
PX506P7700.ZCE,20250331,CZCE,725.5,0.0,0.0,0.0,0.0,0.0,810.5,0.0,0.0,0.0
PX506P7800.ZCE,20250331,CZCE,822.0,0.0,0.0,0.0,0.0,0.0,908.5,0.0,0.0,0.0
PX506P7900.ZCE,20250331,CZCE,919.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.0,0.0,0.0
PX507C6000.ZCE,20250331,CZCE,1017.5,0.0,0.0,0.0,0.0,0.0,931.0,0.0,0.0,0.0
PX507C6100.ZCE,20250331,CZCE,921.5,0.0,0.0,0.0,0.0,0.0,836.5,0.0,0.0,0.0
PX507C6200.ZCE,20250331,CZCE,827.0,0.0,0.0,0.0,0.0,0.0,742.5,0.0,0.0,0.0
PX507C6300.ZCE,20250331,CZCE,732.5,0.0,0.0,0.0,0.0,0.0,651.0,0.0,0.0,0.0
PX507C6400.ZCE,20250331,CZCE,641.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0
PX507C6500.ZCE,20250331,CZCE,550.5,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0
PX507C6600.ZCE,20250331,CZCE,462.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0
PX507C6700.ZCE,20250331,CZCE,377.5,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0
PX507C6800.ZCE,20250331,CZCE,297.5,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0
PX507C6900.ZCE,20250331,CZCE,225.0,0.0,0.0,0.0,0.0,0.0,169.5,0.0,0.0,0.0
PX507C7000.ZCE,20250331,CZCE,168.5,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
PX507C7100.ZCE,20250331,CZCE,133.0,0.0,0.0,0.0,0.0,0.0,94.5,0.0,0.0,3.0
PX507C7200.ZCE,20250331,CZCE,108.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0,0.0,6.0
PX507C7300.ZCE,20250331,CZCE,89.5,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,3.0
PX507C7400.ZCE,20250331,CZCE,75.0,0.0,36.5,36.5,36.5,36.5,51.5,6.0,0.11,6.0
PX507C7500.ZCE,20250331,CZCE,63.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,3.0
PX507C7600.ZCE,20250331,CZCE,53.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,6.0
PX507C7700.ZCE,20250331,CZCE,45.5,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,6.0
PX507C7800.ZCE,20250331,CZCE,38.5,0.0,15.0,15.0,15.0,15.0,26.0,1.0,0.01,4.0
PX507P6000.ZCE,20250331,CZCE,16.5,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,12.0
PX507P6100.ZCE,20250331,CZCE,20.5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,21.0
PX507P6200.ZCE,20250331,CZCE,25.5,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,15.0
PX507P6300.ZCE,20250331,CZCE,31.0,15.5,0.0,0.0,0.0,0.0,39.0,0.0,0.0,15.0
PX507P6400.ZCE,20250331,CZCE,39.0,21.5,0.0,0.0,0.0,0.0,48.5,0.0,0.0,30.0
PX507P6500.ZCE,20250331,CZCE,48.0,29.5,0.0,0.0,0.0,0.0,60.5,0.0,0.0,30.0
PX507P6600.ZCE,20250331,CZCE,59.5,42.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,24.0
PX507P6700.ZCE,20250331,CZCE,74.5,71.5,0.0,0.0,0.0,0.0,96.0,0.0,0.0,9.0
PX507P6800.ZCE,20250331,CZCE,94.0,91.0,0.0,0.0,0.0,0.0,121.5,0.0,0.0,6.0
PX507P6900.ZCE,20250331,CZCE,121.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0
PX507P7000.ZCE,20250331,CZCE,164.5,0.0,0.0,0.0,0.0,0.0,207.5,0.0,0.0,0.0
PX507P7100.ZCE,20250331,CZCE,228.5,0.0,0.0,0.0,0.0,0.0,279.5,0.0,0.0,0.0
PX507P7200.ZCE,20250331,CZCE,303.5,0.0,0.0,0.0,0.0,0.0,360.5,0.0,0.0,0.0
PX507P7300.ZCE,20250331,CZCE,384.5,0.0,0.0,0.0,0.0,0.0,446.5,0.0,0.0,0.0
PX507P7400.ZCE,20250331,CZCE,469.5,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0
PX507P7500.ZCE,20250331,CZCE,557.5,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0
PX507P7600.ZCE,20250331,CZCE,647.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0
PX507P7700.ZCE,20250331,CZCE,739.0,0.0,0.0,0.0,0.0,0.0,814.0,0.0,0.0,0.0
PX507P7800.ZCE,20250331,CZCE,832.0,0.0,0.0,0.0,0.0,0.0,909.0,0.0,0.0,0.0
PX509C6000.ZCE,20250331,CZCE,1028.0,0.0,0.0,0.0,0.0,0.0,947.5,0.0,0.0,0.0
PX509C6100.ZCE,20250331,CZCE,934.0,0.0,0.0,0.0,0.0,0.0,855.5,0.0,0.0,0.0
PX509C6200.ZCE,20250331,CZCE,842.0,0.0,0.0,0.0,0.0,0.0,766.5,0.0,0.0,0.0
PX509C6300.ZCE,20250331,CZCE,753.0,0.0,0.0,0.0,0.0,0.0,680.5,0.0,0.0,0.0
PX509C6400.ZCE,20250331,CZCE,667.0,0.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,0.0
PX509C6500.ZCE,20250331,CZCE,586.0,0.0,0.0,0.0,0.0,0.0,522.5,0.0,0.0,0.0
PX509C6600.ZCE,20250331,CZCE,510.0,523.5,426.5,426.5,426.5,426.5,451.0,10.0,2.13,20.0
PX509C6700.ZCE,20250331,CZCE,439.0,438.5,401.0,402.0,401.0,402.0,384.5,70.0,14.06,91.0
PX509C6800.ZCE,20250331,CZCE,374.0,391.5,338.0,338.0,317.5,317.5,324.5,46.0,7.49,26.0
PX509C6900.ZCE,20250331,CZCE,315.5,307.5,285.0,285.0,256.0,259.5,272.5,92.0,12.76,34.0
PX509C7000.ZCE,20250331,CZCE,264.0,282.0,247.0,250.0,225.5,229.5,226.5,83.0,9.62,60.0
PX509C7100.ZCE,20250331,CZCE,220.0,218.5,196.0,196.0,176.0,176.0,186.0,111.0,10.59,60.0
