合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
rb2505C2800,352,386,337,370.5,373.0,356.0,-2.5,-17.0,294,576,121,104.5185,0.999021,0,20250401
rb2505C2850,302.5,336.5,288,336.5,323.0,306.0,13.5,-17.0,126,572,54,38.3535,0.993401,0,20250401
rb2505C2900,255.5,271,239,271.0,273.5,256.5,-2.5,-17.0,242,699,135,60.8805,0.979168,0,20250401
rb2505C2950,192.5,216.5,191,216.5,224.5,208.5,-8.0,-16.0,92,530,2,18.553,0.947828,0,20250401
rb2505C3000,167,191,144,174.0,178.0,163.0,-4.0,-15.0,178,790,-26,28.859,0.889418,0,20250401
rb2505C3050,115,141,101.5,130.0,134.5,121.0,-4.5,-13.5,313,726,-81,36.6675,0.797097,0,20250401
rb2505C3100,76,100,62.5,89.0,96.5,85.0,-7.5,-11.5,1913,1820,828,141.6865,0.672161,0,20250401
rb2505C3150,51,64.5,37.5,55.0,65.0,56.0,-10.0,-9.0,12034,6443,917,581.0075,0.525989,0,20250401
rb2505C3200,29,40,22,33.0,40.5,34.0,-7.5,-6.5,27116,16238,320,766.185,0.378805,0,20250401
rb2505C3250,16.5,22.5,12,19.0,23.5,19.0,-4.5,-4.5,14029,16696,1219,224.0795,0.248877,0,20250401
rb2505C3300,7.5,13.5,6.5,11.5,12.5,10.0,-1.0,-2.5,17862,44680,1079,175.3285,0.149293,0,20250401
rb2505C3350,4,8,3.5,6.0,6.0,4.5,0.0,-1.5,16193,25322,-1818,81.0275,0.080681,0,20250401
rb2505C3400,3,5.5,2.5,5.5,2.5,2.0,3.0,-0.5,7000,35543,-1163,26.713,0.040056,0,20250401
rb2505C3450,2.5,4,2,2.5,1.0,0.5,1.5,-0.5,4882,15574,-2004,15.38,0.017739,0,20250401
rb2505C3500,2.5,4,2,3.5,0.5,0.5,3.0,0.0,3791,36308,-1072,11.279,0.007288,0,20250401
rb2505C3550,2,4,1.5,3.5,0.5,0.5,3.0,0.0,4161,16070,2235,12.14,0.002687,0,20250401
rb2505C3600,2,3.5,1.5,3.0,0.5,0.5,2.5,0.0,4068,24267,-171,9.638,0.000895,0,20250401
rb2505C3650,2,2,1.5,2.0,0.5,0.5,1.5,0.0,816,5738,-57,1.585,0.000279,0,20250401
rb2505C3700,1.5,2,1,2.0,0.5,0.5,1.5,0.0,458,14437,-157,0.7565,7.8e-05,0,20250401
rb2505C3750,1,1.5,1,1.5,0.5,0.5,1.0,0.0,579,5379,-53,0.7305,1.9e-05,0,20250401
rb2505C3800,1,1.5,1,1.5,0.5,0.5,1.0,0.0,929,7616,-433,1.216,4e-06,0,20250401
rb2505C3850,1,1.5,1,1.5,0.5,0.5,1.0,0.0,65,5675,-5,0.085,1e-06,0,20250401
rb2505C3900,0.5,1,0.5,1.0,0.5,0.5,0.5,0.0,68,2264,29,0.063,0.0,0,20250401
rb2505C3950,0.5,1,0.5,1.0,0.5,0.5,0.5,0.0,64,1761,2,0.037,0.0,0,20250401
rb2505C4000,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,56,6656,-56,0.028,0.0,0,20250401
rb2505C4050,1,1,0.5,1.0,0.5,0.5,0.5,0.0,54,2546,-10,0.034,0.0,0,20250401
rb2505C4100,1,1,0.5,1.0,0.5,0.5,0.5,0.0,1561,34300,-552,1.507,0.0,0,20250401
rb2505P2800,2,2,1,1.5,0.5,0.5,1.0,0.0,1004,11977,-172,1.4415,-0.002003,0,20250401
rb2505P2850,2,2,0.5,0.5,0.5,0.5,0.0,0.0,1765,4661,-68,2.23,-0.007093,0,20250401
rb2505P2900,3,3.5,1,1.5,0.5,1.0,1.0,0.5,5510,8215,-666,11.6795,-0.020906,0,20250401
rb2505P2950,4,5,1.5,2.0,2.0,2.5,0.0,0.5,4686,9226,-478,13.969,-0.051919,0,20250401
rb2505P3000,6.5,11,4,5.5,5.0,7.0,0.5,2.0,21185,35580,1976,154.2205,-0.110089,0,20250401
rb2505P3050,10.5,17,6,8.5,12.0,15.0,-3.5,3.0,9415,10978,-1032,111.051,-0.202245,0,20250401
rb2505P3100,19,29,12,15.5,23.5,29.0,-8.0,5.5,25834,23241,1097,559.6455,-0.327086,0,20250401
rb2505P3150,37.5,53.5,27,32.0,42.0,50.0,-10.0,8.0,11091,13801,-541,459.6375,-0.473219,0,20250401
rb2505P3200,57,88,51,60.0,67.5,78.0,-7.5,10.5,5311,12644,-550,361.4395,-0.620424,0,20250401
rb2505P3250,107,128,85,96.5,100.5,113.0,-4.0,12.5,1209,9305,27,129.34,-0.750433,0,20250401
rb2505P3300,153,172,125.5,136.0,139.5,153.5,-3.5,14.0,1441,8777,554,220.9585,-0.850152,0,20250401
rb2505P3350,191,219,169,187.0,183.0,198.5,4.0,15.5,700,4752,147,136.807,-0.918965,0,20250401
rb2505P3400,250,268.5,219,219.0,229.5,245.5,-10.5,16.0,312,1491,-137,78.6365,-0.959848,0,20250401
rb2505P3450,300.5,316.5,283.5,285.0,278.0,294.5,7.0,16.5,464,855,81,142.167,-0.982496,0,20250401
rb2505P3500,348,366,316,330.0,327.0,344.0,3.0,17.0,522,815,112,182.957,-0.993341,0,20250401
rb2505P3550,405.5,405.5,369.5,369.5,377.0,394.0,-7.5,17.0,36,1513,4,13.9455,-0.998408,0,20250401
rb2505P3600,450,450,450,450.0,427.0,444.0,23.0,17.0,1,800,0,0.45,-1.000001,0,20250401
rb2505P3650,,,,494.0,477.0,494.0,17.0,17.0,0,128,0,0.0,-1.000001,0,20250401
rb2505P3700,,,,544.0,527.0,544.0,17.0,17.0,0,367,0,0.0,-1.000001,0,20250401
rb2505P3750,,,,594.0,577.0,594.0,17.0,17.0,0,235,0,0.0,-1.000001,0,20250401
rb2505P3800,,,,644.0,627.0,644.0,17.0,17.0,0,118,0,0.0,-1.000001,0,20250401
rb2505P3850,,,,694.0,677.0,694.0,17.0,17.0,0,89,0,0.0,-1.000001,0,20250401
rb2505P3900,,,,744.0,727.0,744.0,17.0,17.0,0,14,0,0.0,-1.000001,0,20250401
rb2505P3950,,,,794.0,777.0,794.0,17.0,17.0,0,0,0,0.0,-1.000001,0,20250401
rb2505P4000,,,,844.0,827.0,844.0,17.0,17.0,0,0,0,0.0,-1.000001,0,20250401
rb2505P4050,,,,894.0,877.0,894.0,17.0,17.0,0,1,0,0.0,-1.000001,0,20250401
rb2505P4100,,,,944.0,927.0,944.0,17.0,17.0,0,1,0,0.0,-1.000001,0,20250401
rb2506C2900,,,,276.5,288.0,276.5,-11.5,-11.5,0,0,0,0.0,0.985153,0,20250401
rb2506C2950,,,,227.5,242.0,227.5,-14.5,-14.5,0,0,0,0.0,0.959753,0,20250401
rb2506C3000,,,,181.0,198.0,181.0,-17.0,-17.0,0,0,0,0.0,0.911371,0,20250401
rb2506C3050,,,,138.0,158.0,138.0,-20.0,-20.0,0,0,0,0.0,0.832254,0,20250401
rb2506C3100,,,,99.5,122.0,99.5,-22.5,-22.5,0,0,0,0.0,0.720734,0,20250401
rb2506C3150,,,,67.5,91.0,67.5,-23.5,-23.5,0,0,0,0.0,0.583456,0,20250401
rb2506C3200,,,,43.0,66.0,43.0,-23.0,-23.0,0,0,0,0.0,0.437836,0,20250401
rb2506C3250,,,,25.5,45.5,25.5,-20.0,-20.0,0,0,0,0.0,0.302052,0,20250401
rb2506C3300,,,,14.0,30.5,14.0,-16.5,-16.5,0,0,0,0.0,0.190902,0,20250401
rb2506C3350,19.5,19.5,19.5,19.5,19.5,7.0,0.0,-12.5,1,1,1,0.0195,0.109951,0,20250401
rb2506C3400,19,19,14,14.0,12.0,3.0,2.0,-9.0,3,1,1,0.036,0.057835,0,20250401
rb2506C3450,10,10,10,10.0,7.0,1.0,3.0,-6.0,1,1,1,0.01,0.027773,0,20250401
rb2506C3500,7.5,7.5,7,7.0,4.0,0.5,3.0,-3.5,2,2,1,0.0145,0.012011,0,20250401
rb2506P2900,6.5,6.5,5.5,5.5,3.5,0.5,2.0,-3.0,2,2,2,0.012,-0.015643,0,20250401
rb2506P2950,11,11,4,8.0,7.5,2.0,0.5,-5.5,13,14,1,0.0685,-0.040117,0,20250401
rb2506P3000,17.5,17.5,12.5,12.5,13.5,5.5,-1.0,-8.0,3,3,3,0.0445,-0.087804,0,20250401
rb2506P3050,,,,12.0,23.0,12.0,-11.0,-11.0,0,1,0,0.0,-0.16643,0,20250401
rb2506P3100,,,,23.5,37.0,23.5,-13.5,-13.5,0,0,0,0.0,-0.277644,0,20250401
rb2506P3150,4,4,4,4.0,56.5,41.5,-52.5,-15.0,19,18,-10,0.4135,-0.414762,0,20250401
rb2506P3200,,,,67.0,80.5,67.0,-13.5,-13.5,0,0,0,0.0,-0.56038,0,20250401
rb2506P3250,,,,99.0,110.5,99.0,-11.5,-11.5,0,0,0,0.0,-0.696306,0,20250401
rb2506P3300,,,,137.5,145.0,137.5,-7.5,-7.5,0,0,0,0.0,-0.807741,0,20250401
rb2506P3350,,,,180.5,184.0,180.5,-3.5,-3.5,0,0,0,0.0,-0.889132,0,20250401
rb2506P3400,,,,227.0,226.5,227.0,0.5,0.5,0,0,0,0.0,-0.941844,0,20250401
rb2506P3450,,,,275.0,271.5,275.0,3.5,3.5,0,0,0,0.0,-0.97267,0,20250401
rb2506P3500,,,,324.0,318.5,324.0,5.5,5.5,0,0,0,0.0,-0.989381,0,20250401
rb2507C2950,,,,255.5,271.0,255.5,-15.5,-15.5,0,5,0,0.0,0.863807,0,20250401
rb2507C3000,,,,214.5,230.0,214.5,-15.5,-15.5,0,2,0,0.0,0.807857,0,20250401
rb2507C3050,,,,177.0,192.5,177.0,-15.5,-15.5,0,2,0,0.0,0.740151,0,20250401
rb2507C3100,,,,143.5,158.5,143.5,-15.0,-15.0,0,0,0,0.0,0.663772,0,20250401
rb2507C3150,,,,113.5,128.5,113.5,-15.0,-15.0,0,0,0,0.0,0.581194,0,20250401
rb2507C3200,,,,88.0,102.0,88.0,-14.0,-14.0,0,0,0,0.0,0.496269,0,20250401
rb2507C3250,,,,67.0,79.5,67.0,-12.5,-12.5,0,1,0,0.0,0.412689,0,20250401
rb2507C3300,,,,49.5,61.0,49.5,-11.5,-11.5,0,4,0,0.0,0.334174,0,20250401
rb2507C3350,,,,36.0,45.5,36.0,-9.5,-9.5,0,10,0,0.0,0.263252,0,20250401
rb2507C3400,22,26.5,22,26.5,33.5,25.5,-7.0,-8.0,2,17,2,0.0485,0.201578,0,20250401
rb2507C3450,16,16.5,16,16.5,24.0,17.5,-7.5,-6.5,2,15,-1,0.0325,0.150576,0,20250401
rb2507C3500,12,15,12,15.0,17.0,11.5,-2.0,-5.5,3,36,-2,0.0395,0.108825,0,20250401
rb2507C3550,9,9,9,9.0,12.0,7.5,-3.0,-4.5,1,38,1,0.009,0.077148,0,20250401
rb2507C3600,,,,5.0,8.0,5.0,-3.0,-3.0,0,38,0,0.0,0.053109,0,20250401
rb2507C3650,,,,3.0,5.5,3.0,-2.5,-2.5,0,21,0,0.0,0.035285,0,20250401
rb2507C3700,6,6,6,6.0,3.5,1.5,2.5,-2.0,1,25,0,0.006,0.023245,0,20250401
rb2507C3750,5,5,5,5.0,2.0,1.0,3.0,-1.0,1,43,0,0.005,0.014851,0,20250401
rb2507C3800,,,,0.5,1.0,0.5,-0.5,-0.5,0,51,0,0.0,0.009166,0,20250401
rb2507C3850,7,7,7,7.0,0.5,0.5,6.5,0.0,1,41,0,0.007,0.00556,0,20250401
rb2507P2950,17,17,14.5,14.5,18.5,16.0,-4.0,-2.5,5,27,-1,0.0775,-0.134498,0,20250401
rb2507P3000,25,25,25,25.0,27.5,25.0,-2.5,-2.5,3,58,3,0.075,-0.190071,0,20250401
rb2507P3050,36.5,36.5,34,34.5,40.0,37.5,-5.5,-2.5,26,16,-12,0.916,-0.257482,0,20250401
rb2507P3100,,,,53.5,56.0,53.5,-2.5,-2.5,0,22,0,0.0,-0.333671,0,20250401
rb2507P3150,,,,73.5,75.5,73.5,-2.0,-2.0,0,31,0,0.0,-0.416142,0,20250401
rb2507P3200,,,,98.0,99.0,98.0,-1.0,-1.0,0,18,0,0.0,-0.501041,0,20250401
rb2507P3250,,,,126.5,126.5,126.5,0.0,0.0,0,2,0,0.0,-0.584679,0,20250401
rb2507P3300,,,,159.0,157.5,159.0,1.5,1.5,0,4,0,0.0,-0.663325,0,20250401
rb2507P3350,,,,195.5,192.0,195.5,3.5,3.5,0,4,0,0.0,-0.734458,0,20250401
rb2507P3400,,,,235.0,230.0,235.0,5.0,5.0,0,5,0,0.0,-0.796422,0,20250401
rb2507P3450,,,,277.0,270.5,277.0,6.5,6.5,0,4,0,0.0,-0.847786,0,20250401
rb2507P3500,,,,321.0,313.5,321.0,7.5,7.5,0,11,0,0.0,-0.889995,0,20250401
rb2507P3550,,,,367.0,358.0,367.0,9.0,9.0,0,3,0,0.0,-0.922192,0,20250401
rb2507P3600,,,,414.0,404.0,414.0,10.0,10.0,0,3,0,0.0,-0.946845,0,20250401
rb2507P3650,,,,462.0,451.5,462.0,10.5,10.5,0,0,0,0.0,-0.965379,0,20250401
rb2507P3700,,,,511.0,499.5,511.0,11.5,11.5,0,0,0,0.0,-0.978195,0,20250401
rb2507P3750,,,,560.5,548.5,560.5,12.0,12.0,0,0,0,0.0,-0.987463,0,20250401
rb2507P3800,,,,610.0,597.5,610.0,12.5,12.5,0,0,0,0.0,-0.994133,0,20250401
rb2507P3850,,,,660.0,647.0,660.0,13.0,13.0,0,0,0,0.0,-0.998817,0,20250401
rb2509C2950,,,,312.0,327.0,312.0,-15.0,-15.0,0,3,0,0.0,0.845633,0,20250401
rb2509C3000,,,,272.0,288.5,272.0,-16.5,-16.5,0,0,0,0.0,0.799627,0,20250401
rb2509C3050,,,,235.0,252.5,235.0,-17.5,-17.5,0,0,0,0.0,0.747653,0,20250401
rb2509C3100,,,,200.5,219.5,200.5,-19.0,-19.0,0,0,0,0.0,0.690533,0,20250401
rb2509C3150,,,,169.0,189.0,169.0,-20.0,-20.0,0,0,0,0.0,0.62943,0,20250401
rb2509C3200,142,142,142,142.0,161.5,141.5,-19.5,-20.0,2,0,-1,0.2835,0.565667,0,20250401
