合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
RU2609P18000.SHF,,,,2321.0,2574.0,2321.0,-253.0,-253.0,0.0,4.0,0,0.0,,0,20260123
RU2609P17750.SHF,,,,2131.0,2373.0,2131.0,-242.0,-242.0,0.0,3.0,0,0.0,,0,20260123
RU2609P17500.SHF,2022.0,2022.0,1886.0,1886.0,2181.0,1949.0,-297.0,-232.0,14.0,16.0,0,27.408,,0,20260123
RU2609P17250.SHF,1851.0,1851.0,1706.0,1706.0,1993.0,1770.0,-237.0,-223.0,7.0,14.0,0,12.621,,0,20260123
RU2609P17000.SHF,1640.0,1640.0,1545.0,1545.0,1814.0,1604.0,-269.0,-210.0,7.0,15.0,0,11.136,,0,20260123
RU2609P16750.SHF,1467.0,1467.0,1374.0,1374.0,1642.0,1443.0,-268.0,-199.0,8.0,8.0,0,11.385,,0,20260123
RU2609P16500.SHF,1289.0,1289.0,1212.0,1212.0,1476.0,1290.0,-189.0,-186.0,7.0,11.0,0,8.863,,0,20260123
RU2609P16250.SHF,1131.0,1131.0,1043.0,1056.0,1323.0,1149.0,-267.0,-174.0,15.0,28.0,0,16.607,,0,20260123
RU2609P16000.SHF,978.0,989.0,910.0,910.0,1176.0,1014.0,-266.0,-162.0,29.0,27.0,0,27.536,,0,20260123
RU2609P15750.SHF,876.0,876.0,781.0,783.0,1037.0,888.0,-154.0,-149.0,12.0,14.0,0,9.943,,0,20260123
RU2609P15500.SHF,663.0,663.0,663.0,663.0,911.0,774.0,-248.0,-137.0,6.0,21.0,0,4.089,,0,20260123
RU2609P15250.SHF,554.0,554.0,554.0,554.0,792.0,668.0,-238.0,-124.0,5.0,11.0,0,2.884,,0,20260123
RU2609P15000.SHF,512.0,512.0,452.0,452.0,682.0,571.0,-123.0,-111.0,11.0,93.0,0,5.163,,0,20260123
RU2609P14750.SHF,426.0,444.0,357.0,357.0,584.0,485.0,-108.0,-99.0,44.0,56.0,0,16.666,,0,20260123
RU2609P14500.SHF,343.0,343.0,305.0,313.0,496.0,408.0,-78.0,-88.0,15.0,33.0,0,4.776,,0,20260123
RU2609P14250.SHF,285.0,285.0,259.0,260.0,415.0,338.0,-155.0,-77.0,21.0,40.0,0,5.675,,0,20260123
RU2609P14000.SHF,229.0,231.0,204.0,204.0,343.0,278.0,-57.0,-65.0,18.0,45.0,0,4.066,,0,20260123
RU2609P13750.SHF,183.0,183.0,173.0,173.0,283.0,226.0,-110.0,-57.0,7.0,44.0,0,1.341,,0,20260123
RU2609P13500.SHF,154.0,154.0,120.0,122.0,229.0,182.0,-52.0,-47.0,45.0,145.0,0,6.208,,0,20260123
RU2609P13250.SHF,135.0,135.0,92.0,95.0,183.0,144.0,-46.0,-39.0,186.0,217.0,0,18.976,,0,20260123
RU2609C18000.SHF,395.0,532.0,395.0,532.0,327.0,413.0,139.0,86.0,254.0,243.0,0,124.096,,0,20260123
RU2609C17750.SHF,454.0,572.0,454.0,572.0,375.0,472.0,144.0,97.0,50.0,98.0,0,26.723,,0,20260123
RU2609C17500.SHF,502.0,633.0,502.0,633.0,432.0,538.0,164.0,106.0,286.0,416.0,0,167.21,,0,20260123
RU2609C17250.SHF,551.0,663.0,551.0,663.0,492.0,608.0,155.0,116.0,17.0,172.0,0,10.64,,0,20260123
RU2609C17000.SHF,647.0,762.0,647.0,740.0,562.0,690.0,175.0,128.0,13.0,159.0,0,9.518,,0,20260123
RU2609C16750.SHF,795.0,815.0,791.0,815.0,639.0,777.0,176.0,138.0,7.0,62.0,0,5.603,,0,20260123
RU2609C16500.SHF,766.0,921.0,766.0,901.0,721.0,873.0,251.0,152.0,26.0,96.0,0,22.598,,0,20260123
RU2609C16250.SHF,883.0,1010.0,883.0,996.0,816.0,980.0,227.0,164.0,31.0,43.0,0,30.459,,0,20260123
RU2609C16000.SHF,965.0,1126.0,965.0,1109.0,918.0,1093.0,244.0,175.0,80.0,102.0,0,85.954,,0,20260123
RU2609C15750.SHF,1129.0,1205.0,1129.0,1201.0,1027.0,1216.0,174.0,189.0,6.0,31.0,0,7.141,,0,20260123
RU2609C15500.SHF,1354.0,1354.0,1317.0,1352.0,1149.0,1351.0,203.0,202.0,6.0,12.0,0,8.079,,0,20260123
RU2609C15250.SHF,1455.0,1465.0,1455.0,1456.0,1279.0,1493.0,177.0,214.0,3.0,27.0,0,4.376,,0,20260123
RU2609C15000.SHF,,,,1644.0,1417.0,1644.0,227.0,227.0,0.0,9.0,0,0.0,,0,20260123
RU2609C14750.SHF,,,,1807.0,1568.0,1807.0,239.0,239.0,0.0,5.0,0,0.0,,0,20260123
RU2609C14500.SHF,1967.0,1967.0,1967.0,1967.0,1728.0,1978.0,239.0,250.0,1.0,9.0,0,1.967,,0,20260123
RU2609C14250.SHF,,,,2157.0,1896.0,2157.0,261.0,261.0,0.0,9.0,0,0.0,,0,20260123
RU2609C14000.SHF,2323.0,2323.0,2323.0,2323.0,2073.0,2345.0,250.0,272.0,2.0,72.0,0,4.646,,0,20260123
RU2609C13750.SHF,,,,2543.0,2261.0,2543.0,282.0,282.0,0.0,2.0,0,0.0,,0,20260123
RU2609C13500.SHF,,,,2747.0,2456.0,2747.0,291.0,291.0,0.0,4.0,0,0.0,,0,20260123
RU2609C13250.SHF,,,,2958.0,2659.0,2958.0,299.0,299.0,0.0,7.0,0,0.0,,0,20260123
RU2605P18250.SHF,2450.0,2450.0,2229.0,2229.0,2543.0,2250.0,-314.0,-293.0,14.0,53.0,0,32.079,,0,20260123
RU2605P18000.SHF,2006.0,2006.0,2006.0,2006.0,2319.0,2040.0,-313.0,-279.0,1.0,14.0,0,2.006,,0,20260123
RU2605P17750.SHF,1793.0,1793.0,1793.0,1793.0,2102.0,1836.0,-309.0,-266.0,1.0,64.0,0,1.793,,0,20260123
RU2605P17500.SHF,1730.0,1730.0,1550.0,1550.0,1891.0,1641.0,-350.0,-250.0,51.0,119.0,0,82.776,,0,20260123
RU2605P17250.SHF,1468.0,1468.0,1390.0,1392.0,1689.0,1454.0,-268.0,-235.0,35.0,69.0,0,49.837,,0,20260123
