ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
SA512C1020.ZCE,20251031,CZCE,211.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0
SA512C1040.ZCE,20251031,CZCE,191.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,1.0
SA512C1060.ZCE,20251031,CZCE,171.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0
SA512C1080.ZCE,20251031,CZCE,151.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0
SA512C1100.ZCE,20251031,CZCE,131.5,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,1.0
SA512C1120.ZCE,20251031,CZCE,112.0,102.0,0.0,0.0,0.0,0.0,102.5,0.0,0.0,51.0
SA512C1140.ZCE,20251031,CZCE,93.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,320.0
SA512C1160.ZCE,20251031,CZCE,75.0,69.5,66.5,72.0,56.5,57.5,65.5,426.0,55.85,448.0
SA512C1180.ZCE,20251031,CZCE,58.5,50.5,51.0,55.0,41.5,42.5,49.0,352.0,35.3,542.0
SA512C1200.ZCE,20251031,CZCE,44.0,38.0,39.5,40.0,27.5,29.0,34.5,1947.0,134.88,1072.0
SA512C1220.ZCE,20251031,CZCE,31.5,26.0,25.5,28.5,17.5,18.5,23.5,13217.0,623.85,4873.0
SA512C1240.ZCE,20251031,CZCE,21.5,17.5,17.5,19.5,11.0,11.5,15.0,18939.0,578.76,6075.0
SA512C1260.ZCE,20251031,CZCE,14.0,11.5,11.5,12.5,6.5,7.0,9.5,20833.0,394.76,6623.0
SA512C1280.ZCE,20251031,CZCE,8.5,7.0,7.0,8.0,3.5,3.5,6.0,18788.0,200.62,11956.0
SA512C1300.ZCE,20251031,CZCE,5.0,4.5,4.5,5.0,2.0,2.5,4.0,38939.0,268.19,33531.0
SA512C1320.ZCE,20251031,CZCE,3.0,2.5,2.5,3.0,1.0,1.5,2.5,8954.0,34.79,11673.0
SA512C1340.ZCE,20251031,CZCE,1.5,1.0,1.5,1.5,0.5,1.0,2.0,16093.0,39.17,12323.0
SA512C1360.ZCE,20251031,CZCE,1.0,0.5,1.0,1.0,0.5,0.5,1.5,3330.0,4.38,5546.0
SA512C1380.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,1.0,3502.0,3.58,3717.0
SA512C1400.ZCE,20251031,CZCE,0.5,1.0,0.5,0.5,0.5,0.5,1.0,4939.0,4.94,19075.0
SA512C1420.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,1.0,123.0,0.12,3936.0
SA512C1440.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.0,0.05,2484.0
SA512C1460.ZCE,20251031,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4168.0
SA512C1480.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5.0,0.01,3312.0
SA512C1500.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2938.0
SA512C1520.ZCE,20251031,CZCE,0.5,0.0,0.5,0.5,0.5,0.5,0.5,20.0,0.02,2819.0
SA512C1540.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1360.0
SA512C1560.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,791.0
SA512C1580.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,656.0
SA512C1600.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,756.0
SA512C1620.ZCE,20251031,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,296.0
SA512C1640.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,485.0
SA512C1660.ZCE,20251031,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,403.0
SA512C1680.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,3612.0
SA512P1020.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,18.0,0.02,1879.0
SA512P1040.ZCE,20251031,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1665.0
SA512P1060.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10.0,0.01,1713.0
SA512P1080.ZCE,20251031,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1674.0
SA512P1100.ZCE,20251031,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,317.0,0.32,8924.0
SA512P1120.ZCE,20251031,CZCE,1.0,1.0,1.0,1.0,0.5,1.0,0.5,497.0,0.61,4859.0
SA512P1140.ZCE,20251031,CZCE,2.0,2.0,2.0,2.0,0.5,1.5,1.5,12836.0,28.84,7254.0
SA512P1160.ZCE,20251031,CZCE,4.0,4.0,4.0,4.0,2.0,3.5,3.5,17313.0,111.88,9240.0
SA512P1180.ZCE,20251031,CZCE,7.5,8.5,8.0,8.5,5.0,8.0,7.0,17261.0,228.73,5731.0
SA512P1200.ZCE,20251031,CZCE,13.0,14.5,14.0,16.0,10.0,15.0,12.5,22644.0,577.75,5836.0
SA512P1220.ZCE,20251031,CZCE,20.5,23.0,23.0,26.5,18.0,24.5,21.5,12889.0,557.73,3659.0
SA512P1240.ZCE,20251031,CZCE,30.5,34.5,35.0,39.5,29.0,37.5,33.0,3936.0,258.08,1692.0
SA512P1260.ZCE,20251031,CZCE,43.0,50.0,45.5,54.5,42.0,52.0,47.5,371.0,35.08,615.0
SA512P1280.ZCE,20251031,CZCE,57.5,64.5,62.5,70.0,58.5,69.5,64.0,162.0,20.31,617.0
SA512P1300.ZCE,20251031,CZCE,74.0,82.0,81.5,86.5,76.0,86.5,82.0,45.0,7.57,446.0
SA512P1320.ZCE,20251031,CZCE,92.0,109.0,100.0,107.5,94.0,107.5,100.5,35.0,7.19,271.0
SA512P1340.ZCE,20251031,CZCE,110.5,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,186.0
SA512P1360.ZCE,20251031,CZCE,130.0,0.0,0.0,0.0,0.0,0.0,139.5,0.0,0.0,52.0
SA512P1380.ZCE,20251031,CZCE,149.5,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,36.0
SA512P1400.ZCE,20251031,CZCE,169.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,42.0
SA512P1420.ZCE,20251031,CZCE,189.0,0.0,0.0,0.0,0.0,0.0,198.5,0.0,0.0,15.0
SA512P1440.ZCE,20251031,CZCE,209.0,0.0,0.0,0.0,0.0,0.0,218.5,0.0,0.0,3.0
SA512P1460.ZCE,20251031,CZCE,229.0,0.0,0.0,0.0,0.0,0.0,238.5,0.0,0.0,4.0
SA512P1480.ZCE,20251031,CZCE,249.0,0.0,0.0,0.0,0.0,0.0,258.5,0.0,0.0,3.0
SA512P1500.ZCE,20251031,CZCE,269.0,0.0,0.0,0.0,0.0,0.0,278.5,0.0,0.0,3.0
