ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
SF603C4800.ZCE,20260116,CZCE,842.0,0.0,0.0,0.0,0.0,0.0,792.0,0.0,0.0,1.0
SF603C4850.ZCE,20260116,CZCE,792.0,0.0,0.0,0.0,0.0,0.0,742.0,0.0,0.0,3.0
SF603C4900.ZCE,20260116,CZCE,742.0,0.0,0.0,0.0,0.0,0.0,693.0,0.0,0.0,16.0
SF603C4950.ZCE,20260116,CZCE,693.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,15.0
SF603C5000.ZCE,20260116,CZCE,643.0,630.0,584.0,606.0,580.0,580.0,593.0,3.0,0.89,221.0
SF603C5100.ZCE,20260116,CZCE,544.0,514.0,485.0,508.0,481.0,481.0,494.0,3.0,0.74,447.0
SF603C5200.ZCE,20260116,CZCE,447.0,462.0,406.0,427.0,361.0,381.0,397.0,56.0,10.99,507.0
SF603C5300.ZCE,20260116,CZCE,353.0,328.0,310.0,334.0,273.0,280.0,304.0,60.0,8.86,425.0
SF603C5400.ZCE,20260116,CZCE,265.0,244.0,233.0,252.0,192.0,199.0,221.0,198.0,22.26,335.0
SF603C5500.ZCE,20260116,CZCE,192.0,173.0,181.0,188.0,133.0,139.0,160.0,238.0,18.44,749.0
SF603C5600.ZCE,20260116,CZCE,141.0,125.0,119.0,142.0,92.0,98.0,117.0,3150.0,189.03,1538.0
SF603C5700.ZCE,20260116,CZCE,108.0,94.0,93.0,108.0,66.0,71.0,88.0,7213.0,323.6,3103.0
SF603C5800.ZCE,20260116,CZCE,86.0,74.0,69.0,86.0,49.0,54.0,68.0,7502.0,267.44,3282.0
SF603C5900.ZCE,20260116,CZCE,69.0,60.0,62.0,70.0,38.0,41.0,53.0,4471.0,127.3,2475.0
SF603C6000.ZCE,20260116,CZCE,57.0,47.0,46.0,58.0,28.0,33.0,42.0,7621.0,172.54,4060.0
SF603C6100.ZCE,20260116,CZCE,48.0,40.0,36.0,46.0,23.0,26.0,34.0,1438.0,24.31,1523.0
SF603C6200.ZCE,20260116,CZCE,40.0,33.0,33.0,40.0,19.0,22.0,27.0,917.0,11.98,1014.0
SF603C6300.ZCE,20260116,CZCE,34.0,29.0,28.0,33.0,14.0,17.0,22.0,927.0,11.05,942.0
SF603C6400.ZCE,20260116,CZCE,29.0,24.0,22.0,29.0,11.0,14.0,18.0,1993.0,18.27,4432.0
SF603C6500.ZCE,20260116,CZCE,25.0,21.0,20.0,26.0,8.0,12.0,15.0,4295.0,31.05,2241.0
SF603P4800.ZCE,20260116,CZCE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,398.0
SF603P4850.ZCE,20260116,CZCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.0,0.06,331.0
SF603P4900.ZCE,20260116,CZCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.01,360.0
SF603P4950.ZCE,20260116,CZCE,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,0.01,328.0
SF603P5000.ZCE,20260116,CZCE,2.0,2.0,2.0,2.0,2.0,2.0,2.0,54.0,0.05,664.0
SF603P5100.ZCE,20260116,CZCE,3.0,3.0,3.0,3.0,3.0,3.0,3.0,303.0,0.45,1161.0
SF603P5200.ZCE,20260116,CZCE,5.0,5.0,5.0,7.0,4.0,6.0,5.0,1120.0,2.83,1933.0
SF603P5300.ZCE,20260116,CZCE,11.0,12.0,13.0,17.0,10.0,13.0,12.0,1741.0,12.46,2852.0
SF603P5400.ZCE,20260116,CZCE,23.0,28.0,26.0,38.0,24.0,34.0,30.0,1236.0,19.71,3084.0
SF603P5500.ZCE,20260116,CZCE,51.0,60.0,61.0,80.0,56.0,74.0,68.0,2741.0,92.27,2715.0
