ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
SH510C2040.ZCE,20250829,CZCE,610.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0
SH510C2080.ZCE,20250829,CZCE,570.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,0.0
SH510C2120.ZCE,20250829,CZCE,530.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0
SH510C2160.ZCE,20250829,CZCE,490.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,1.0
SH510C2200.ZCE,20250829,CZCE,450.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0
SH510C2240.ZCE,20250829,CZCE,410.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0
SH510C2280.ZCE,20250829,CZCE,370.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,1.0
SH510C2320.ZCE,20250829,CZCE,330.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,27.0
SH510C2360.ZCE,20250829,CZCE,290.5,0.0,0.0,0.0,0.0,0.0,262.5,0.0,0.0,84.0
SH510C2400.ZCE,20250829,CZCE,251.0,0.0,0.0,0.0,0.0,0.0,223.5,0.0,0.0,27.0
SH510C2440.ZCE,20250829,CZCE,212.5,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,102.0
SH510C2480.ZCE,20250829,CZCE,175.5,0.0,164.5,166.5,123.5,161.5,148.5,304.0,136.28,89.0
SH510C2520.ZCE,20250829,CZCE,140.5,137.0,130.0,134.5,88.5,128.5,114.5,187.0,65.3,334.0
SH510C2560.ZCE,20250829,CZCE,109.0,106.0,87.0,98.5,62.0,92.5,85.0,197.0,48.84,346.0
SH510C2600.ZCE,20250829,CZCE,81.5,84.5,71.5,76.5,42.0,68.0,60.5,1731.0,297.09,655.0
SH510C2640.ZCE,20250829,CZCE,59.5,62.0,58.0,58.0,28.0,46.5,41.5,5816.0,720.1,1208.0
SH510C2680.ZCE,20250829,CZCE,42.0,44.0,45.0,45.0,18.5,30.5,28.0,12118.0,1030.97,2554.0
SH510C2720.ZCE,20250829,CZCE,30.0,31.0,31.0,31.0,12.0,19.5,18.5,12101.0,686.73,3367.0
SH510C2760.ZCE,20250829,CZCE,21.5,23.0,20.0,20.0,7.5,12.5,12.0,6954.0,250.41,3609.0
SH510C2800.ZCE,20250829,CZCE,15.0,15.5,15.0,15.5,5.5,7.5,8.0,24921.0,631.7,10270.0
SH510C2840.ZCE,20250829,CZCE,11.0,11.0,10.0,10.0,3.5,4.5,5.5,8508.0,137.02,4382.0
SH510C2880.ZCE,20250829,CZCE,7.5,7.0,7.0,7.0,1.5,2.5,3.5,9720.0,100.54,5811.0
SH510C2920.ZCE,20250829,CZCE,5.5,5.0,5.0,5.5,1.5,2.0,2.5,7599.0,52.15,3422.0
SH510C2960.ZCE,20250829,CZCE,4.0,4.0,3.5,3.5,1.0,1.0,2.0,2793.0,14.88,2366.0
SH510C3000.ZCE,20250829,CZCE,3.0,3.0,3.0,3.0,1.0,1.5,1.5,9494.0,46.02,15462.0
SH510C3040.ZCE,20250829,CZCE,2.0,1.5,1.5,1.5,0.5,0.5,1.0,546.0,1.33,1403.0
SH510C3080.ZCE,20250829,CZCE,1.5,1.5,1.0,1.0,0.5,0.5,0.5,4100.0,7.7,2910.0
SH510P2040.ZCE,20250829,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2453.0
SH510P2080.ZCE,20250829,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,413.0
SH510P2120.ZCE,20250829,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,233.0
SH510P2160.ZCE,20250829,CZCE,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2.0,0.0,759.0
SH510P2200.ZCE,20250829,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,574.0
SH510P2240.ZCE,20250829,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,415.0
SH510P2280.ZCE,20250829,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,141.0,0.21,889.0
SH510P2320.ZCE,20250829,CZCE,0.5,0.5,0.5,1.0,0.5,0.5,0.5,670.0,1.33,1746.0
SH510P2360.ZCE,20250829,CZCE,0.5,0.5,0.5,1.0,0.5,0.5,0.5,894.0,2.33,2725.0
SH510P2400.ZCE,20250829,CZCE,1.5,1.5,1.5,2.5,1.0,1.5,1.5,2989.0,16.44,7933.0
SH510P2440.ZCE,20250829,CZCE,3.0,2.0,2.5,5.0,2.0,2.0,3.0,5837.0,56.94,4486.0
SH510P2480.ZCE,20250829,CZCE,6.0,4.5,4.5,10.5,4.0,4.5,6.5,9816.0,194.76,4437.0
SH510P2520.ZCE,20250829,CZCE,11.0,9.5,9.0,20.5,9.0,9.5,12.5,13497.0,542.49,5124.0
