ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
SM508C4700.ZCE,20250630,CZCE,972.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0
SM508C4750.ZCE,20250630,CZCE,922.0,0.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0
SM508C4800.ZCE,20250630,CZCE,872.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0
SM508C4850.ZCE,20250630,CZCE,822.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,2.0
SM508C4900.ZCE,20250630,CZCE,772.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0
SM508C4950.ZCE,20250630,CZCE,722.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0
SM508C5000.ZCE,20250630,CZCE,673.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,87.0
SM508C5100.ZCE,20250630,CZCE,573.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,194.0
SM508C5200.ZCE,20250630,CZCE,475.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,330.0
SM508C5300.ZCE,20250630,CZCE,378.0,376.0,392.0,401.0,352.0,352.0,376.0,52.0,9.83,302.0
SM508C5400.ZCE,20250630,CZCE,285.0,289.0,308.0,312.0,258.0,258.0,282.0,79.0,11.62,417.0
SM508C5500.ZCE,20250630,CZCE,198.0,203.0,222.0,224.0,162.0,162.0,195.0,160.0,16.06,1391.0
SM508C5600.ZCE,20250630,CZCE,125.0,114.0,128.0,147.0,90.0,94.0,123.0,2353.0,142.13,3109.0
SM508C5700.ZCE,20250630,CZCE,73.0,66.0,73.0,92.0,52.0,55.0,72.0,15437.0,562.09,5824.0
SM508C5800.ZCE,20250630,CZCE,42.0,41.0,43.0,58.0,32.0,32.0,43.0,23745.0,541.74,6386.0
SM508C5900.ZCE,20250630,CZCE,25.0,25.0,28.0,37.0,20.0,21.0,26.0,8778.0,124.02,3871.0
SM508C6000.ZCE,20250630,CZCE,16.0,16.0,16.0,24.0,13.0,14.0,17.0,18945.0,171.59,10203.0
SM508C6100.ZCE,20250630,CZCE,10.0,10.0,16.0,16.0,8.0,8.0,11.0,2965.0,17.42,1953.0
SM508C6200.ZCE,20250630,CZCE,7.0,7.0,8.0,11.0,5.0,5.0,7.0,3466.0,13.51,3155.0
SM508C6300.ZCE,20250630,CZCE,5.0,4.0,6.0,7.0,3.0,3.0,5.0,1905.0,5.0,1685.0
SM508C6400.ZCE,20250630,CZCE,3.0,3.0,4.0,5.0,3.0,3.0,4.0,1044.0,1.89,1508.0
SM508C6500.ZCE,20250630,CZCE,2.0,2.0,4.0,4.0,2.0,2.0,3.0,949.0,1.33,1854.0
SM508C6600.ZCE,20250630,CZCE,2.0,2.0,3.0,4.0,1.0,2.0,2.0,755.0,0.82,3162.0
SM508P4700.ZCE,20250630,CZCE,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,468.0
SM508P4750.ZCE,20250630,CZCE,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,634.0
SM508P4800.ZCE,20250630,CZCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.01,597.0
SM508P4850.ZCE,20250630,CZCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,0.02,466.0
SM508P4900.ZCE,20250630,CZCE,1.0,2.0,1.0,1.0,1.0,1.0,1.0,45.0,0.02,590.0
SM508P4950.ZCE,20250630,CZCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,0.07,1218.0
SM508P5000.ZCE,20250630,CZCE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,569.0,0.28,3379.0
SM508P5100.ZCE,20250630,CZCE,2.0,2.0,2.0,2.0,1.0,1.0,1.0,67.0,0.06,2153.0
SM508P5200.ZCE,20250630,CZCE,3.0,3.0,3.0,4.0,2.0,3.0,3.0,892.0,1.12,3112.0
SM508P5300.ZCE,20250630,CZCE,7.0,5.0,5.0,7.0,5.0,5.0,6.0,1402.0,3.99,3550.0
SM508P5400.ZCE,20250630,CZCE,13.0,12.0,12.0,13.0,10.0,12.0,12.0,2620.0,15.3,3800.0
SM508P5500.ZCE,20250630,CZCE,26.0,25.0,22.0,30.0,20.0,28.0,25.0,11465.0,148.13,3814.0
SM508P5600.ZCE,20250630,CZCE,53.0,54.0,44.0,65.0,44.0,61.0,53.0,9780.0,260.48,2705.0
SM508P5700.ZCE,20250630,CZCE,101.0,105.0,92.0,122.0,90.0,121.0,102.0,1410.0,71.98,870.0
SM508P5800.ZCE,20250630,CZCE,170.0,175.0,159.0,200.0,154.0,198.0,172.0,426.0,35.53,350.0
SM508P5900.ZCE,20250630,CZCE,253.0,261.0,239.0,287.0,233.0,287.0,256.0,290.0,35.89,556.0
SM508P6000.ZCE,20250630,CZCE,344.0,362.0,339.0,361.0,321.0,357.0,346.0,83.0,14.1,324.0
SM508P6100.ZCE,20250630,CZCE,438.0,457.0,432.0,463.0,432.0,463.0,441.0,22.0,4.86,77.0
SM508P6200.ZCE,20250630,CZCE,535.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0,22.0
SM508P6300.ZCE,20250630,CZCE,632.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,2.0
SM508P6400.ZCE,20250630,CZCE,731.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0
SM508P6500.ZCE,20250630,CZCE,830.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,0.0
SM508P6600.ZCE,20250630,CZCE,929.0,0.0,0.0,0.0,0.0,0.0,931.0,0.0,0.0,0.0
SM509C4700.ZCE,20250630,CZCE,986.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0
SM509C4750.ZCE,20250630,CZCE,937.0,0.0,0.0,0.0,0.0,0.0,931.0,0.0,0.0,0.0
SM509C4800.ZCE,20250630,CZCE,888.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0,0.0
SM509C4850.ZCE,20250630,CZCE,839.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,0.0
SM509C4900.ZCE,20250630,CZCE,790.0,0.0,0.0,0.0,0.0,0.0,783.0,0.0,0.0,29.0
SM509C4950.ZCE,20250630,CZCE,741.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,38.0
SM509C5000.ZCE,20250630,CZCE,693.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,173.0
SM509C5100.ZCE,20250630,CZCE,597.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,524.0
SM509C5200.ZCE,20250630,CZCE,503.0,0.0,500.0,500.0,500.0,500.0,496.0,1.0,0.25,581.0
SM509C5300.ZCE,20250630,CZCE,412.0,388.0,416.0,418.0,371.0,371.0,405.0,29.0,5.97,627.0
SM509C5400.ZCE,20250630,CZCE,326.0,325.0,339.0,339.0,301.0,301.0,318.0,8.0,1.28,2252.0
SM509C5500.ZCE,20250630,CZCE,248.0,225.0,274.0,274.0,216.0,216.0,240.0,27.0,3.34,2717.0
SM509C5600.ZCE,20250630,CZCE,182.0,176.0,191.0,191.0,148.0,150.0,174.0,178.0,14.77,1794.0
SM509C5700.ZCE,20250630,CZCE,130.0,123.0,135.0,145.0,105.0,107.0,123.0,1543.0,94.61,2197.0
SM509C5800.ZCE,20250630,CZCE,94.0,82.0,93.0,104.0,76.0,76.0,88.0,2318.0,103.43,4566.0
SM509C5900.ZCE,20250630,CZCE,70.0,66.0,73.0,80.0,55.0,58.0,65.0,1922.0,63.48,2587.0
SM509C6000.ZCE,20250630,CZCE,54.0,52.0,56.0,64.0,45.0,47.0,51.0,2063.0,54.4,8110.0
SM509C6100.ZCE,20250630,CZCE,43.0,38.0,46.0,48.0,35.0,35.0,41.0,757.0,15.38,2748.0
SM509C6200.ZCE,20250630,CZCE,36.0,31.0,36.0,36.0,27.0,28.0,34.0,1110.0,16.89,2762.0
SM509C6300.ZCE,20250630,CZCE,29.0,21.0,30.0,31.0,24.0,24.0,28.0,209.0,2.9,1606.0
SM509C6400.ZCE,20250630,CZCE,25.0,24.0,27.0,27.0,21.0,21.0,24.0,287.0,3.29,5875.0
SM509C6500.ZCE,20250630,CZCE,21.0,20.0,21.0,22.0,17.0,17.0,20.0,251.0,2.36,2874.0
SM509C6600.ZCE,20250630,CZCE,19.0,17.0,18.0,19.0,14.0,15.0,18.0,413.0,3.46,2273.0
SM509C6700.ZCE,20250630,CZCE,16.0,14.0,16.0,16.0,13.0,13.0,15.0,397.0,2.8,1961.0
SM509C6800.ZCE,20250630,CZCE,14.0,12.0,10.0,12.0,10.0,12.0,13.0,100.0,0.6,1681.0
SM509C6900.ZCE,20250630,CZCE,13.0,0.0,9.0,10.0,9.0,10.0,12.0,52.0,0.26,1725.0
SM509C7000.ZCE,20250630,CZCE,11.0,11.0,12.0,14.0,10.0,10.0,10.0,662.0,3.85,10530.0
SM509C7100.ZCE,20250630,CZCE,10.0,0.0,8.0,8.0,8.0,8.0,9.0,3.0,0.01,1176.0
SM509C7200.ZCE,20250630,CZCE,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,743.0
SM509C7300.ZCE,20250630,CZCE,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,475.0
