合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
sn2503C198000,,,,55170.0,50190.0,55170.0,4980.0,4980.0,0,0,0,0.0,0.999999,0,20250205
sn2503C200000,,,,53170.0,48190.0,53170.0,4980.0,4980.0,0,0,0,0.0,0.999999,0,20250205
sn2503C205000,,,,48170.0,43190.0,48170.0,4980.0,4980.0,0,0,0,0.0,0.999999,0,20250205
sn2503C210000,,,,43170.0,38190.0,43170.0,4980.0,4980.0,0,2,0,0.0,0.999999,0,20250205
sn2503C215000,36468,40648,36468,40648.0,33204.0,38170.0,7444.0,4966.0,3,20,-1,11.3584,0.999999,0,20250205
sn2503C220000,,,,33174.0,28264.0,33174.0,4910.0,4910.0,0,18,0,0.0,0.997585,0,20250205
sn2503C225000,28526,30480,28526,30480.0,23422.0,28206.0,7058.0,4784.0,4,9,-2,11.7088,0.989686,0,20250205
sn2503C230000,23434,25254,23434,25254.0,18782.0,23314.0,6472.0,4532.0,2,23,-2,4.8688,0.969857,0,20250205
sn2503C235000,15978,20372,15978,20372.0,14472.0,18588.0,5900.0,4116.0,4,33,0,7.3634,0.927941,0,20250205
sn2503C240000,11988,15076,11988,15076.0,10636.0,14170.0,4440.0,3534.0,34,39,-17,45.9046,0.853952,0,20250205
sn2503C245000,7800,11570,7800,10630.0,7426.0,10238.0,3204.0,2812.0,48,77,-26,48.6446,0.744146,0,20250205
sn2503C250000,3550,7822,3550,6760.0,4882.0,6948.0,1878.0,2066.0,149,260,-46,78.9536,0.605524,0,20250205
sn2503C255000,2020,4700,2020,4086.0,3026.0,4390.0,1060.0,1364.0,451,298,21,153.3954,0.4547,0,20250205
sn2503C260000,1244,2670,558,2408.0,1756.0,2586.0,652.0,830.0,800,551,-22,151.7938,0.31307,0,20250205
sn2503C265000,700,1536,688,1336.0,946.0,1400.0,390.0,454.0,443,404,106,49.8182,0.196406,0,20250205
sn2503C270000,242,928,242,802.0,484.0,700.0,318.0,216.0,230,248,42,14.5686,0.112206,0,20250205
sn2503C275000,308,568,308,540.0,230.0,322.0,310.0,92.0,175,132,58,8.4358,0.05832,0,20250205
sn2503C280000,222,394,220,352.0,102.0,136.0,250.0,34.0,75,75,23,2.3924,0.02762,0,20250205
sn2503C285000,176,282,146,246.0,42.0,52.0,204.0,10.0,48,125,15,1.0532,0.011842,0,20250205
sn2503C290000,126,190,126,180.0,16.0,18.0,164.0,2.0,26,65,4,0.4018,0.004715,0,20250205
sn2503C295000,100,142,84,136.0,4.0,6.0,132.0,2.0,147,228,3,1.7166,0.001689,0,20250205
sn2503C300000,88,130,70,104.0,2.0,2.0,102.0,0.0,311,161,127,2.7338,0.000554,0,20250205
sn2503P198000,26,32,18,18.0,2.0,2.0,16.0,0.0,51,62,18,0.1142,-1e-06,0,20250205
sn2503P200000,20,38,18,20.0,2.0,2.0,18.0,0.0,77,72,16,0.1936,-2e-06,0,20250205
sn2503P205000,40,50,26,26.0,2.0,2.0,24.0,0.0,154,217,-41,0.5242,-2e-05,0,20250205
sn2503P210000,50,60,30,30.0,6.0,2.0,24.0,-4.0,102,94,18,0.4048,-0.000134,0,20250205
sn2503P215000,70,80,40,40.0,28.0,2.0,12.0,-26.0,52,54,15,0.2924,-0.000719,0,20250205
sn2503P220000,80,110,56,60.0,90.0,12.0,-30.0,-78.0,76,64,-10,0.6036,-0.003057,0,20250205
sn2503P225000,110,154,100,100.0,248.0,48.0,-148.0,-200.0,20,49,4,0.2464,-0.010554,0,20250205
sn2503P230000,200,264,148,154.0,608.0,156.0,-454.0,-452.0,147,289,-17,3.0666,-0.030067,0,20250205
sn2503P235000,390,460,270,282.0,1294.0,428.0,-1012.0,-866.0,226,416,-1,7.7668,-0.071743,0,20250205
sn2503P240000,708,800,478,510.0,2454.0,1008.0,-1944.0,-1446.0,400,517,5,25.477,-0.145561,0,20250205
sn2503P245000,1526,1694,900,970.0,4240.0,2074.0,-3270.0,-2166.0,357,405,91,41.4112,-0.255255,0,20250205
sn2503P250000,3268,3408,1946,2200.0,6690.0,3780.0,-4490.0,-2910.0,153,206,6,39.3464,-0.393822,0,20250205
sn2503P255000,5994,6222,3858,4300.0,9830.0,6218.0,-5530.0,-3612.0,86,57,16,41.8526,-0.544643,0,20250205
sn2503P260000,9100,9100,6908,6908.0,13556.0,9410.0,-6648.0,-4146.0,19,33,1,15.1338,-0.68631,0,20250205
sn2503P265000,13736,13736,12596,12596.0,17742.0,13224.0,-5146.0,-4518.0,11,17,-2,14.5388,-0.803063,0,20250205
