ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
SR511C5000.ZCE,20250829,CZCE,585.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,0.0,3.0
SR511C5100.ZCE,20250829,CZCE,485.0,0.0,0.0,0.0,0.0,0.0,486.5,0.0,0.0,18.0
SR511C5200.ZCE,20250829,CZCE,385.0,380.0,393.0,398.0,370.5,395.5,388.0,82.0,31.24,291.0
SR511C5300.ZCE,20250829,CZCE,286.0,282.5,296.5,296.5,272.5,288.0,290.5,47.0,13.77,285.0
SR511C5400.ZCE,20250829,CZCE,194.0,188.5,201.0,201.0,180.0,200.0,196.5,81.0,15.86,277.0
SR511C5500.ZCE,20250829,CZCE,120.0,108.5,120.5,121.5,101.0,117.0,112.5,357.0,39.53,308.0
SR511C5600.ZCE,20250829,CZCE,69.0,58.0,62.0,62.0,47.0,57.5,54.0,1610.0,88.97,1584.0
SR511C5700.ZCE,20250829,CZCE,37.5,28.0,30.0,30.0,22.5,28.0,27.0,3151.0,82.7,5229.0
SR511C5800.ZCE,20250829,CZCE,19.5,14.5,13.5,16.0,12.0,15.5,15.5,1844.0,25.64,5517.0
SR511C5900.ZCE,20250829,CZCE,10.0,9.5,9.5,10.0,7.5,9.5,10.0,754.0,6.67,3933.0
SR511C6000.ZCE,20250829,CZCE,5.0,7.5,7.5,8.0,6.0,8.0,7.0,1447.0,10.37,10917.0
SR511C6100.ZCE,20250829,CZCE,2.5,5.0,5.0,5.5,4.5,5.5,5.0,425.0,2.01,2675.0
SR511C6200.ZCE,20250829,CZCE,1.5,3.5,3.5,4.0,3.0,4.0,3.5,115.0,0.44,1926.0
SR511C6300.ZCE,20250829,CZCE,0.5,2.5,2.5,3.5,2.0,3.5,2.5,467.0,1.32,3429.0
SR511MSC5000.ZCE,20250829,CZCE,585.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,0.0,12.0
SR511MSC5100.ZCE,20250829,CZCE,485.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,3.0
SR511MSC5200.ZCE,20250829,CZCE,385.0,0.0,380.5,397.5,368.0,394.5,386.0,14.0,5.39,57.0
SR511MSC5300.ZCE,20250829,CZCE,285.5,0.0,292.5,292.5,286.0,286.0,287.0,21.0,6.06,207.0
SR511MSC5400.ZCE,20250829,CZCE,187.5,179.5,179.0,191.5,169.5,191.5,188.5,33.0,5.91,272.0
SR511MSC5500.ZCE,20250829,CZCE,94.5,99.5,103.0,103.0,80.0,98.5,95.0,250.0,22.65,412.0
SR511MSC5600.ZCE,20250829,CZCE,26.5,33.0,36.0,36.5,22.0,29.0,25.0,995.0,28.82,659.0
SR511MSC5700.ZCE,20250829,CZCE,9.0,7.0,7.0,7.5,4.0,6.0,7.0,2384.0,13.78,1861.0
SR511MSC5800.ZCE,20250829,CZCE,4.5,2.0,1.5,2.0,1.0,2.0,3.0,1175.0,1.81,2671.0
SR511MSC5900.ZCE,20250829,CZCE,2.5,1.0,1.0,1.0,0.5,1.0,1.5,1674.0,1.58,1556.0
SR511MSC6000.ZCE,20250829,CZCE,1.5,0.5,1.0,1.0,0.5,1.0,0.5,169.0,0.17,1924.0
SR511MSC6100.ZCE,20250829,CZCE,1.0,0.5,1.0,1.0,1.0,1.0,0.5,11.0,0.01,1943.0
SR511MSC6200.ZCE,20250829,CZCE,0.5,0.5,0.5,1.0,0.5,0.5,0.5,160.0,0.09,973.0
SR511MSC6300.ZCE,20250829,CZCE,0.5,0.5,1.0,1.0,0.5,0.5,0.5,52.0,0.04,693.0
SR511MSP5000.ZCE,20250829,CZCE,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,518.0
SR511MSP5100.ZCE,20250829,CZCE,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,457.0
SR511MSP5200.ZCE,20250829,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,94.0,0.05,430.0
SR511MSP5300.ZCE,20250829,CZCE,1.0,0.0,0.5,0.5,0.5,0.5,1.0,3.0,0.0,669.0
SR511MSP5400.ZCE,20250829,CZCE,2.5,1.5,2.0,2.5,2.0,2.0,3.0,770.0,1.77,1574.0
SR511MSP5500.ZCE,20250829,CZCE,9.5,9.0,7.5,12.0,7.5,8.5,9.0,1578.0,14.54,1134.0
SR511MSP5600.ZCE,20250829,CZCE,41.5,41.5,36.0,54.0,34.0,39.5,39.0,1351.0,56.33,987.0
SR511MSP5700.ZCE,20250829,CZCE,124.0,117.0,112.5,137.0,107.5,117.5,121.0,310.0,37.4,395.0
SR511MSP5800.ZCE,20250829,CZCE,219.5,225.0,224.0,231.0,203.5,207.0,217.0,37.0,8.16,431.0
