ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
SR611P5800.ZCE,20260123,662.0,0.0,0.0,0.0,0.0,0.0,620.5,0.0,0.0,0.0
SR611P5700.ZCE,20260123,570.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0
SR611P5600.ZCE,20260123,482.0,0.0,0.0,0.0,0.0,0.0,440.5,0.0,0.0,0.0
SR611P5500.ZCE,20260123,397.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0
SR611P5400.ZCE,20260123,317.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0
SR611P5300.ZCE,20260123,244.0,0.0,0.0,0.0,0.0,0.0,209.5,0.0,0.0,3.0
SR611P5200.ZCE,20260123,181.0,0.0,153.5,153.5,153.5,153.5,151.5,3.0,0.46,6.0
SR611P5100.ZCE,20260123,129.0,0.0,110.5,110.5,106.5,106.5,107.0,12.0,1.29,15.0
SR611P5000.ZCE,20260123,89.0,0.0,73.0,73.0,73.0,73.0,74.0,9.0,0.66,15.0
SR611P4900.ZCE,20260123,61.0,63.0,50.5,54.5,50.5,54.5,51.5,6.0,0.32,27.0
SR611P4800.ZCE,20260123,41.0,41.5,34.5,37.0,34.5,37.0,36.0,6.0,0.21,39.0
SR611P4700.ZCE,20260123,25.0,,25.0,27.0,25.0,27.0,25.5,6.0,0.16,3.0
SR611C5800.ZCE,20260123,36.5,36.5,0.0,0.0,0.0,0.0,38.5,0.0,0.0,47.0
SR611C5700.ZCE,20260123,43.5,44.0,46.0,46.0,46.0,46.0,46.5,3.0,0.14,36.0
SR611C5600.ZCE,20260123,54.5,0.0,57.0,57.0,57.0,57.0,56.5,6.0,0.34,30.0
SR611C5500.ZCE,20260123,68.5,0.0,71.5,71.5,71.5,71.5,72.0,3.0,0.21,39.0
SR611C5400.ZCE,20260123,87.5,0.0,91.0,91.0,91.0,91.0,92.5,3.0,0.27,18.0
SR611C5300.ZCE,20260123,113.0,0.0,121.0,121.0,121.0,121.0,121.5,3.0,0.36,37.0
SR611C5200.ZCE,20260123,148.5,0.0,355.0,355.0,150.0,150.0,162.5,2.0,0.51,24.0
SR611C5100.ZCE,20260123,195.0,0.0,0.0,0.0,0.0,0.0,216.5,0.0,0.0,0.0
SR611C5000.ZCE,20260123,253.5,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0
SR611C4900.ZCE,20260123,324.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,0.0
SR611C4800.ZCE,20260123,403.5,435.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,2.0
SR611C4700.ZCE,20260123,486.5,,0.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0
SR609P5900.ZCE,20260123,754.5,0.0,0.0,0.0,0.0,0.0,729.0,0.0,0.0,0.0
SR609P5800.ZCE,20260123,660.0,0.0,0.0,0.0,0.0,0.0,633.5,0.0,0.0,0.0
SR609P5700.ZCE,20260123,567.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,144.0
SR609P5600.ZCE,20260123,476.0,477.5,460.5,460.5,443.5,446.5,449.0,44.0,19.8,272.0
SR609P5500.ZCE,20260123,389.0,395.0,369.0,369.0,369.0,369.0,361.5,4.0,1.48,108.0
SR609P5400.ZCE,20260123,307.0,307.0,0.0,0.0,0.0,0.0,279.5,0.0,0.0,170.0
SR609P5300.ZCE,20260123,232.5,222.0,214.5,214.5,209.0,209.0,207.0,38.0,8.11,324.0
SR609P5200.ZCE,20260123,168.0,160.0,155.5,161.0,139.0,145.0,145.0,166.0,24.61,887.0
SR609P5100.ZCE,20260123,115.5,107.5,102.5,102.5,93.0,97.0,97.0,246.0,24.06,1036.0
SR609P5000.ZCE,20260123,75.5,69.5,67.0,70.5,58.0,60.5,62.0,188.0,12.15,499.0
SR609P4900.ZCE,20260123,48.0,44.0,36.5,36.5,36.0,36.0,38.0,20.0,0.73,363.0
SR609P4800.ZCE,20260123,29.0,26.5,25.0,25.0,22.0,22.0,22.5,50.0,1.16,655.0
SR609P4700.ZCE,20260123,18.0,16.0,15.5,15.5,12.0,12.0,13.0,275.0,3.69,1784.0
SR609C5900.ZCE,20260123,19.5,22.0,23.5,30.0,22.5,29.0,27.0,759.0,20.87,2012.0
SR609C5800.ZCE,20260123,24.5,25.0,26.5,33.0,26.5,33.0,31.0,402.0,12.13,490.0
SR609C5700.ZCE,20260123,31.0,31.5,33.5,40.0,33.5,38.5,37.0,269.0,10.01,1193.0
SR609C5600.ZCE,20260123,39.5,39.0,41.5,47.5,41.5,46.5,45.0,177.0,8.11,1187.0
SR609C5500.ZCE,20260123,51.5,52.0,55.5,61.5,54.5,61.5,56.5,621.0,36.05,1833.0
SR609C5400.ZCE,20260123,68.5,76.5,74.0,78.5,71.0,78.5,74.0,128.0,9.41,1329.0
SR609C5300.ZCE,20260123,93.5,94.5,101.0,105.5,101.0,104.0,100.0,45.0,4.6,1365.0
SR609C5200.ZCE,20260123,127.5,135.0,138.0,143.5,132.0,140.0,137.0,98.0,13.87,845.0
SR609C5100.ZCE,20260123,173.5,175.0,186.5,192.5,186.5,192.5,188.0,50.0,9.39,401.0
SR609C5000.ZCE,20260123,233.0,236.5,249.0,250.5,247.5,249.5,252.0,13.0,3.24,250.0
SR609C4900.ZCE,20260123,304.0,0.0,327.0,327.0,327.0,327.0,327.0,31.0,10.14,253.0
SR609C4800.ZCE,20260123,384.5,400.0,421.0,421.0,421.0,421.0,411.0,10.0,4.21,148.0
SR609C4700.ZCE,20260123,473.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,193.0
SR607P6200.ZCE,20260123,1052.5,0.0,0.0,0.0,0.0,0.0,1014.5,0.0,0.0,15.0
SR607P6100.ZCE,20260123,954.5,0.0,0.0,0.0,0.0,0.0,916.0,0.0,0.0,0.0
SR607P6000.ZCE,20260123,857.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0
SR607P5900.ZCE,20260123,759.5,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0
SR607P5800.ZCE,20260123,663.5,0.0,0.0,0.0,0.0,0.0,622.5,0.0,0.0,0.0
SR607P5700.ZCE,20260123,567.5,0.0,0.0,0.0,0.0,0.0,526.5,0.0,0.0,0.0
SR607P5600.ZCE,20260123,473.5,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0
SR607P5500.ZCE,20260123,381.5,0.0,0.0,0.0,0.0,0.0,341.5,0.0,0.0,0.0
SR607P5400.ZCE,20260123,294.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,24.0
SR607P5300.ZCE,20260123,214.0,0.0,185.5,185.5,185.5,185.5,183.0,3.0,0.56,75.0
SR607P5200.ZCE,20260123,147.0,150.0,121.5,126.0,121.5,126.0,123.0,8.0,0.99,215.0
SR607P5100.ZCE,20260123,96.0,0.0,77.5,79.0,77.5,79.0,79.0,12.0,0.94,189.0
SR607P5000.ZCE,20260123,60.5,55.0,47.0,47.0,45.0,45.0,48.5,12.0,0.56,215.0
SR607P4900.ZCE,20260123,37.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,160.0
SR607P4800.ZCE,20260123,22.5,22.0,17.0,17.0,17.0,17.0,17.0,9.0,0.15,123.0
SR607P4700.ZCE,20260123,13.5,0.0,11.0,11.0,11.0,11.0,10.0,6.0,0.07,78.0
SR607C6200.ZCE,20260123,11.5,0.0,14.0,14.0,9.5,9.5,11.5,22.0,0.29,260.0
SR607C6100.ZCE,20260123,13.0,9.0,10.0,10.0,10.0,10.0,12.5,3.0,0.03,185.0
SR607C6000.ZCE,20260123,15.5,10.5,11.5,13.5,11.5,13.5,14.0,28.0,0.36,212.0
SR607C5900.ZCE,20260123,18.0,13.5,0.0,0.0,0.0,0.0,16.0,0.0,0.0,116.0
SR607C5800.ZCE,20260123,21.5,16.5,0.0,0.0,0.0,0.0,18.5,0.0,0.0,137.0
SR607C5700.ZCE,20260123,25.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,170.0
SR607C5600.ZCE,20260123,30.5,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,120.0
SR607C5500.ZCE,20260123,38.0,32.5,37.0,37.0,37.0,37.0,35.5,3.0,0.11,124.0
SR607C5400.ZCE,20260123,50.0,47.0,0.0,0.0,0.0,0.0,50.5,0.0,0.0,95.0
SR607C5300.ZCE,20260123,69.0,69.5,0.0,0.0,0.0,0.0,76.0,0.0,0.0,88.0
