ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
TA506C3800.ZCE,20250430,CZCE,715.5,0.0,0.0,0.0,0.0,0.0,727.0,0.0,0.0,14.0
TA506C3850.ZCE,20250430,CZCE,666.0,0.0,0.0,0.0,0.0,0.0,678.5,0.0,0.0,1.0
TA506C3900.ZCE,20250430,CZCE,617.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,1.0
TA506C3950.ZCE,20250430,CZCE,568.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,2.0
TA506C4000.ZCE,20250430,CZCE,520.0,0.0,505.5,505.5,505.5,505.5,534.0,4.0,1.01,184.0
TA506C4050.ZCE,20250430,CZCE,472.0,0.0,456.0,469.5,456.0,469.5,487.0,42.0,9.68,214.0
TA506C4100.ZCE,20250430,CZCE,425.0,0.0,444.5,445.0,420.5,420.5,440.0,4.0,0.88,333.0
TA506C4150.ZCE,20250430,CZCE,379.0,390.0,376.5,416.5,376.5,415.0,394.0,45.0,9.12,462.0
TA506C4200.ZCE,20250430,CZCE,334.5,340.0,322.0,357.5,321.0,357.5,348.5,34.0,5.67,972.0
TA506C4250.ZCE,20250430,CZCE,291.0,299.0,293.5,321.5,275.5,286.0,304.5,137.0,20.01,677.0
TA506C4300.ZCE,20250430,CZCE,249.5,258.0,246.5,291.0,237.5,266.0,262.0,370.0,47.49,1688.0
TA506C4350.ZCE,20250430,CZCE,210.0,201.5,206.5,247.0,199.0,230.0,220.5,423.0,45.93,2208.0
TA506C4400.ZCE,20250430,CZCE,173.5,183.5,170.5,207.5,161.5,207.5,182.5,1348.0,121.58,4032.0
TA506C4450.ZCE,20250430,CZCE,139.5,136.0,138.0,171.0,129.0,156.5,147.0,1443.0,105.77,2548.0
TA506C4500.ZCE,20250430,CZCE,109.5,115.0,99.5,137.0,99.5,130.0,116.0,8091.0,465.93,4690.0
TA506C4550.ZCE,20250430,CZCE,85.0,88.0,80.0,107.5,78.5,104.0,89.5,7013.0,317.05,3642.0
TA506C4600.ZCE,20250430,CZCE,65.5,68.5,63.0,83.0,60.0,82.5,67.5,33717.0,1169.15,9613.0
TA506C4650.ZCE,20250430,CZCE,49.0,54.0,46.0,66.0,45.0,64.5,51.0,16013.0,420.02,6292.0
TA506C4700.ZCE,20250430,CZCE,36.5,38.5,36.0,50.5,33.5,50.0,38.5,27057.0,538.08,10338.0
TA506C4750.ZCE,20250430,CZCE,26.0,29.0,25.0,40.0,25.0,40.0,29.5,8517.0,128.17,4196.0
TA506C4800.ZCE,20250430,CZCE,18.5,21.0,19.0,32.0,17.5,31.0,22.5,40982.0,445.64,28088.0
TA506C4850.ZCE,20250430,CZCE,13.0,16.0,15.0,26.5,14.0,26.5,18.0,5555.0,47.94,3577.0
TA506C4900.ZCE,20250430,CZCE,8.5,12.0,11.5,22.0,11.0,22.0,14.5,14079.0,93.43,6915.0
TA506C4950.ZCE,20250430,CZCE,5.5,9.5,9.0,17.0,8.5,17.0,12.0,5263.0,27.25,3382.0
TA506C5000.ZCE,20250430,CZCE,3.5,7.5,8.5,16.0,7.0,15.5,10.0,21007.0,98.62,17430.0
TA506C5100.ZCE,20250430,CZCE,1.5,5.0,5.0,11.5,4.0,11.5,7.0,2424.0,7.84,3130.0
TA506C5200.ZCE,20250430,CZCE,0.5,4.0,4.5,9.0,3.5,8.0,5.0,990.0,2.46,1612.0
TA506C5300.ZCE,20250430,CZCE,0.5,3.5,3.5,6.5,2.5,6.5,4.0,1691.0,3.79,2949.0
