ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
UR510C1520.ZCE,20250829,CZCE,204.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0
UR510C1540.ZCE,20250829,CZCE,184.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0
UR510C1560.ZCE,20250829,CZCE,164.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0
UR510C1580.ZCE,20250829,CZCE,144.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0
UR510C1600.ZCE,20250829,CZCE,124.5,0.0,0.0,0.0,0.0,0.0,108.5,0.0,0.0,0.0
UR510C1620.ZCE,20250829,CZCE,105.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
UR510C1640.ZCE,20250829,CZCE,86.0,83.0,74.0,76.0,59.0,64.0,70.5,102.0,13.84,144.0
UR510C1660.ZCE,20250829,CZCE,68.0,64.0,56.5,58.0,43.0,44.0,53.5,80.0,7.94,224.0
UR510C1680.ZCE,20250829,CZCE,51.5,46.5,41.0,43.0,29.5,32.0,38.0,104.0,7.39,282.0
UR510C1700.ZCE,20250829,CZCE,38.5,34.0,31.0,31.0,20.0,22.5,26.0,544.0,27.16,829.0
UR510C1720.ZCE,20250829,CZCE,29.0,24.5,23.0,24.5,13.5,15.0,18.5,1578.0,55.55,1297.0
UR510C1740.ZCE,20250829,CZCE,22.0,19.0,18.0,19.0,10.0,12.0,14.0,2852.0,78.4,2364.0
UR510C1760.ZCE,20250829,CZCE,17.5,14.5,13.5,14.5,7.5,8.5,11.0,1947.0,39.43,2163.0
UR510C1780.ZCE,20250829,CZCE,14.0,11.0,10.0,10.5,5.5,6.5,8.5,1633.0,24.2,2477.0
UR510C1800.ZCE,20250829,CZCE,11.0,9.5,10.0,10.0,5.0,6.0,6.5,6550.0,89.68,8564.0
UR510C1820.ZCE,20250829,CZCE,9.0,6.0,6.0,7.0,4.0,4.0,5.5,1048.0,10.53,2476.0
UR510C1840.ZCE,20250829,CZCE,7.5,6.0,5.5,5.5,3.0,4.0,4.5,617.0,4.93,1271.0
