ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
V2503-C-4250.DCE,20250127,DCE,600.0,,0.0,0.0,0.0,646.0,646.0,0.0,0.0,0.0
V2503-C-4300.DCE,20250127,DCE,550.0,,0.0,0.0,0.0,596.0,596.0,0.0,0.0,0.0
V2503-C-4350.DCE,20250127,DCE,501.0,501.0,0.0,0.0,0.0,546.0,546.0,0.0,0.0,0.0
V2503-C-4400.DCE,20250127,DCE,452.0,452.0,0.0,0.0,0.0,496.5,496.5,0.0,0.0,0.0
V2503-C-4450.DCE,20250127,DCE,404.0,404.0,0.0,0.0,0.0,447.5,447.5,0.0,0.0,0.0
V2503-C-4500.DCE,20250127,DCE,357.0,357.0,0.0,0.0,0.0,399.5,399.5,0.0,0.0,0.0
V2503-C-4550.DCE,20250127,DCE,311.5,311.5,0.0,0.0,0.0,352.0,352.0,0.0,0.0,0.0
V2503-C-4600.DCE,20250127,DCE,268.0,268.0,0.0,0.0,0.0,306.5,306.5,0.0,0.0,0.0
V2503-C-4650.DCE,20250127,DCE,227.0,225.0,221.0,293.5,221.0,286.5,262.5,143.0,18.68,72.0
V2503-C-4700.DCE,20250127,DCE,189.5,185.5,184.0,255.5,184.0,245.5,221.5,86.0,9.2,41.0
V2503-C-4750.DCE,20250127,DCE,155.0,147.5,145.0,211.5,145.0,196.0,183.5,150.0,12.46,162.0
V2503-C-4800.DCE,20250127,DCE,124.5,117.5,116.5,172.5,116.5,161.0,149.5,374.0,26.2,381.0
V2503-C-4850.DCE,20250127,DCE,98.0,91.5,88.0,138.5,88.0,121.0,119.0,961.0,49.63,422.0
V2503-C-4900.DCE,20250127,DCE,75.5,67.5,66.0,108.5,62.5,97.5,92.5,3384.0,139.04,614.0
V2503-C-4950.DCE,20250127,DCE,57.0,51.5,51.0,83.0,48.5,70.0,70.5,2025.0,64.84,803.0
V2503-C-5000.DCE,20250127,DCE,42.0,38.0,37.5,64.0,37.5,55.0,52.5,7342.0,182.02,1819.0
V2503-C-5100.DCE,20250127,DCE,21.0,21.5,20.5,35.5,20.5,31.0,27.0,5838.0,78.75,1701.0
V2503-C-5200.DCE,20250127,DCE,9.5,13.5,12.5,20.0,12.5,16.0,12.5,4212.0,33.7,1587.0
V2503-C-5300.DCE,20250127,DCE,4.0,8.0,8.0,11.0,8.0,10.5,5.0,3959.0,18.32,3948.0
V2503-C-5400.DCE,20250127,DCE,1.5,5.0,5.0,6.5,4.5,6.0,2.0,4125.0,10.82,6050.0
V2503-C-5500.DCE,20250127,DCE,0.5,3.5,3.5,4.0,3.0,4.0,0.5,968.0,1.63,2218.0
V2503-C-5600.DCE,20250127,DCE,0.5,2.5,3.0,3.0,2.5,3.0,0.5,190.0,0.23,833.0
V2503-C-5700.DCE,20250127,DCE,0.5,2.0,2.0,2.5,2.0,2.5,0.5,286.0,0.3,505.0
V2503-C-5800.DCE,20250127,DCE,0.5,1.0,1.5,2.0,1.5,2.0,0.5,42.0,0.03,361.0
V2503-C-5900.DCE,20250127,DCE,0.5,0.5,1.5,1.5,1.0,1.5,0.5,3.0,0.0,51.0
V2503-C-6000.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,63.0
V2503-C-6100.DCE,20250127,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10.0,0.0,44.0
V2503-C-6200.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,38.0
V2503-C-6300.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,71.0
V2503-C-6400.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,88.0
V2503-C-6500.DCE,20250127,DCE,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,74.0
V2503-C-6600.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,81.0
V2503-C-6700.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,48.0
V2503-C-6800.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,94.0
V2503-C-6900.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,68.0
V2503-C-7000.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,49.0
V2503-C-7100.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,60.0
V2503-C-7200.DCE,20250127,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,69.0
V2503-C-7300.DCE,20250127,DCE,0.5,0.5,0.5,1.0,0.5,0.5,0.5,27.0,0.01,78.0
V2503-C-7400.DCE,20250127,DCE,0.5,1.0,1.0,1.0,0.5,0.5,0.5,136.0,0.05,805.0
V2503-P-4250.DCE,20250127,DCE,0.5,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
V2503-P-4300.DCE,20250127,DCE,0.5,,0.5,0.5,0.5,0.5,0.5,11.0,0.0,11.0
V2503-P-4350.DCE,20250127,DCE,1.0,1.5,1.5,1.5,1.0,1.0,0.5,18.0,0.01,122.0
V2503-P-4400.DCE,20250127,DCE,2.0,3.0,2.5,2.5,1.5,1.5,1.0,99.0,0.11,115.0
V2503-P-4450.DCE,20250127,DCE,4.0,3.5,4.0,4.0,2.0,2.0,2.0,704.0,1.09,259.0
V2503-P-4500.DCE,20250127,DCE,7.0,5.0,5.5,5.5,2.5,2.5,3.5,1091.0,1.93,907.0
V2503-P-4550.DCE,20250127,DCE,11.5,8.0,8.5,8.5,3.5,3.5,6.5,745.0,2.05,499.0
V2503-P-4600.DCE,20250127,DCE,18.0,11.5,13.0,13.0,6.0,6.5,10.5,1174.0,5.41,976.0
V2503-P-4650.DCE,20250127,DCE,27.5,18.0,19.5,20.0,9.5,9.5,17.0,1416.0,10.36,724.0
V2503-P-4700.DCE,20250127,DCE,39.5,27.0,28.0,30.0,14.0,14.0,26.0,2360.0,25.3,1090.0
V2503-P-4750.DCE,20250127,DCE,55.0,42.0,42.0,43.5,20.5,20.5,38.0,4040.0,63.74,1930.0
V2503-P-4800.DCE,20250127,DCE,74.5,59.5,61.5,62.0,31.5,32.0,53.5,2079.0,45.58,1829.0
V2503-P-4850.DCE,20250127,DCE,98.0,80.5,77.5,86.0,46.0,46.5,73.0,1890.0,62.0,1332.0
V2503-P-4900.DCE,20250127,DCE,125.5,109.0,115.0,115.5,66.0,69.0,96.5,1628.0,69.22,1204.0
V2503-P-4950.DCE,20250127,DCE,157.0,141.5,146.5,146.5,90.5,94.0,124.5,408.0,23.16,455.0
V2503-P-5000.DCE,20250127,DCE,192.0,180.0,185.5,185.5,120.5,133.5,156.5,189.0,14.29,564.0
V2503-P-5100.DCE,20250127,DCE,271.0,262.5,267.5,267.5,194.0,207.0,231.0,111.0,13.55,354.0
V2503-P-5200.DCE,20250127,DCE,359.5,353.0,330.0,330.0,292.0,292.0,316.5,9.0,1.4,230.0
V2503-P-5300.DCE,20250127,DCE,454.0,454.0,0.0,0.0,0.0,409.0,409.0,0.0,0.0,26.0
V2503-P-5400.DCE,20250127,DCE,551.5,551.5,0.0,0.0,0.0,506.0,506.0,0.0,0.0,33.0
V2503-P-5500.DCE,20250127,DCE,651.0,651.0,0.0,0.0,0.0,605.0,605.0,0.0,0.0,49.0
V2503-P-5600.DCE,20250127,DCE,750.0,750.0,0.0,0.0,0.0,704.0,704.0,0.0,0.0,116.0
V2503-P-5700.DCE,20250127,DCE,850.0,850.0,0.0,0.0,0.0,804.0,804.0,0.0,0.0,14.0
V2503-P-5800.DCE,20250127,DCE,950.0,950.0,0.0,0.0,0.0,904.0,904.0,0.0,0.0,12.0
V2503-P-5900.DCE,20250127,DCE,1050.0,1050.0,0.0,0.0,0.0,1004.0,1004.0,0.0,0.0,10.0
V2503-P-6000.DCE,20250127,DCE,1150.0,1150.0,0.0,0.0,0.0,1104.0,1104.0,0.0,0.0,5.0
V2503-P-6100.DCE,20250127,DCE,1250.0,1250.0,0.0,0.0,0.0,1204.0,1204.0,0.0,0.0,4.0
V2503-P-6200.DCE,20250127,DCE,1350.0,1350.0,0.0,0.0,0.0,1304.0,1304.0,0.0,0.0,5.0
