ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
Y2511-C-6400.DCE,20250930,DCE,1766.0,1766.0,0.0,0.0,0.0,1728.0,1728.0,0.0,0.0,0.0
Y2511-C-6600.DCE,20250930,DCE,1566.0,1566.0,0.0,0.0,0.0,1528.0,1528.0,0.0,0.0,1.0
Y2511-C-6800.DCE,20250930,DCE,1366.0,1366.0,0.0,0.0,0.0,1328.0,1328.0,0.0,0.0,0.0
Y2511-C-6900.DCE,20250930,DCE,1266.5,1266.5,0.0,0.0,0.0,1228.5,1228.5,0.0,0.0,0.0
Y2511-C-7000.DCE,20250930,DCE,1166.5,1166.5,0.0,0.0,0.0,1129.0,1129.0,0.0,0.0,0.0
Y2511-C-7100.DCE,20250930,DCE,1067.0,1067.0,0.0,0.0,0.0,1029.5,1029.5,0.0,0.0,10.0
Y2511-C-7200.DCE,20250930,DCE,968.0,968.0,0.0,0.0,0.0,930.5,930.5,0.0,0.0,5.0
Y2511-C-7300.DCE,20250930,DCE,869.0,869.0,0.0,0.0,0.0,831.5,831.5,0.0,0.0,11.0
Y2511-C-7400.DCE,20250930,DCE,770.5,770.5,0.0,0.0,0.0,733.0,733.0,0.0,0.0,10.0
Y2511-C-7500.DCE,20250930,DCE,672.5,672.5,0.0,0.0,0.0,635.5,635.5,0.0,0.0,13.0
Y2511-C-7600.DCE,20250930,DCE,575.5,575.5,0.0,0.0,0.0,538.0,538.0,0.0,0.0,13.0
Y2511-C-7700.DCE,20250930,DCE,479.5,479.5,0.0,0.0,0.0,442.5,442.5,0.0,0.0,25.0
Y2511-C-7800.DCE,20250930,DCE,385.5,385.5,367.0,367.0,325.0,360.5,349.0,126.0,43.28,104.0
Y2511-C-7900.DCE,20250930,DCE,296.0,288.0,271.0,280.0,238.5,276.0,260.0,227.0,59.02,182.0
Y2511-C-8000.DCE,20250930,DCE,213.5,209.0,189.5,203.5,162.5,185.5,180.0,96.0,17.0,269.0
Y2511-C-8100.DCE,20250930,DCE,144.5,138.5,129.0,132.5,104.0,123.0,116.5,402.0,46.02,681.0
Y2511-C-8200.DCE,20250930,DCE,94.5,92.0,76.0,90.0,66.0,77.5,75.5,783.0,58.96,4553.0
Y2511-C-8300.DCE,20250930,DCE,63.0,61.5,51.5,60.0,44.0,51.0,51.5,1187.0,60.31,2900.0
Y2511-C-8400.DCE,20250930,DCE,44.5,43.5,39.5,43.0,31.0,36.0,37.5,1765.0,66.41,1929.0
Y2511-C-8500.DCE,20250930,DCE,33.0,31.5,28.0,31.5,23.5,27.5,28.5,1394.0,38.46,3115.0
Y2511-C-8600.DCE,20250930,DCE,25.5,26.5,22.5,25.5,19.0,20.0,22.5,577.0,12.98,2729.0
Y2511-C-8700.DCE,20250930,DCE,20.0,21.0,18.5,21.0,16.0,19.0,17.5,610.0,11.15,3236.0
