ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
HO2602-C-2650.CFX,20260119,CFFEX,436.4,456.4,,,,456.4,427.0,0.0,0.0,23.0,上证50指数期权2602认购2650,C,2650.0,20251124,20260224
HO2602-C-2700.CFX,20260119,CFFEX,386.8,382.0,380.4,380.4,380.4,380.4,377.4,4.0,15.28,38.0,上证50指数期权2602认购2700,C,2700.0,20251124,20260224
HO2602-C-2750.CFX,20260119,CFFEX,338.2,332.0,334.8,338.4,326.8,326.8,330.2,44.0,147.556,67.0,上证50指数期权2602认购2750,C,2750.0,20251124,20260224
HO2602-C-2800.CFX,20260119,CFFEX,289.6,286.0,301.0,301.0,278.0,281.0,281.2,160.0,455.06,259.0,上证50指数期权2602认购2800,C,2800.0,20251124,20260224
HO2602-C-2850.CFX,20260119,CFFEX,241.2,241.2,247.6,255.0,227.6,231.6,233.4,144.0,341.488,285.0,上证50指数期权2602认购2850,C,2850.0,20251124,20260224
HO2602-C-2900.CFX,20260119,CFFEX,193.0,193.0,196.6,204.6,181.0,185.8,185.8,94.0,179.27,253.0,上证50指数期权2602认购2900,C,2900.0,20251124,20260224
HO2602-C-2950.CFX,20260119,CFFEX,152.0,152.0,148.0,162.4,136.2,140.4,140.4,756.0,1111.146,264.0,上证50指数期权2602认购2950,C,2950.0,20251124,20260224
HO2602-C-3000.CFX,20260119,CFFEX,113.6,113.6,117.0,125.6,97.4,100.8,100.8,1359.0,1464.062,919.0,上证50指数期权2602认购3000,C,3000.0,20251124,20260224
HO2602-C-3050.CFX,20260119,CFFEX,81.2,81.2,78.2,86.2,66.0,70.2,70.2,1180.0,883.134,1156.0,上证50指数期权2602认购3050,C,3050.0,20251124,20260224
HO2602-C-3100.CFX,20260119,CFFEX,56.2,56.2,56.2,59.6,43.2,45.8,45.8,2994.0,1533.358,1770.0,上证50指数期权2602认购3100,C,3100.0,20251124,20260224
HO2602-C-3150.CFX,20260119,CFFEX,39.4,39.4,43.6,43.6,28.6,30.0,30.0,2955.0,1037.384,2521.0,上证50指数期权2602认购3150,C,3150.0,20251124,20260224
HO2602-C-3200.CFX,20260119,CFFEX,27.8,27.8,26.0,29.2,19.0,20.2,20.2,1951.0,461.032,4619.0,上证50指数期权2602认购3200,C,3200.0,20251124,20260224
HO2602-C-3250.CFX,20260119,CFFEX,19.0,19.0,17.0,19.8,12.2,13.0,13.0,1139.0,178.326,1518.0,上证50指数期权2602认购3250,C,3250.0,20251124,20260224
HO2602-C-3300.CFX,20260119,CFFEX,12.4,12.4,13.0,13.4,8.2,9.2,9.2,567.0,60.148,1150.0,上证50指数期权2602认购3300,C,3300.0,20251124,20260224
HO2602-C-3350.CFX,20260119,CFFEX,9.2,9.2,8.6,9.8,5.6,6.6,6.6,688.0,53.328,1174.0,上证50指数期权2602认购3350,C,3350.0,20251208,20260224
HO2602-C-3400.CFX,20260119,CFFEX,7.2,7.2,7.2,7.8,4.6,5.0,5.0,371.0,23.122,447.0,上证50指数期权2602认购3400,C,3400.0,20260106,20260224
HO2602-C-3450.CFX,20260119,CFFEX,5.2,5.2,5.6,6.0,3.4,4.4,4.4,329.0,16.182,484.0,上证50指数期权2602认购3450,C,3450.0,20260106,20260224
HO2602-C-3500.CFX,20260119,CFFEX,4.6,4.6,3.8,5.6,3.2,4.2,4.2,851.0,37.344,1806.0,上证50指数期权2602认购3500,C,3500.0,20260107,20260224
HO2602-P-2650.CFX,20260119,CFFEX,1.6,1.6,1.2,1.4,1.2,1.2,1.2,31.0,0.38,215.0,上证50指数期权2602认沽2650,P,2650.0,20251124,20260224
HO2602-P-2700.CFX,20260119,CFFEX,2.0,2.0,1.8,1.8,1.2,1.6,1.6,20.0,0.304,158.0,上证50指数期权2602认沽2700,P,2700.0,20251124,20260224
HO2602-P-2750.CFX,20260119,CFFEX,2.6,2.6,2.8,2.8,1.6,2.0,2.0,15.0,0.344,129.0,上证50指数期权2602认沽2750,P,2750.0,20251124,20260224
HO2602-P-2800.CFX,20260119,CFFEX,4.2,4.2,4.2,4.2,2.4,2.8,2.8,138.0,4.08,472.0,上证50指数期权2602认沽2800,P,2800.0,20251124,20260224
HO2602-P-2850.CFX,20260119,CFFEX,6.2,6.4,6.4,6.4,3.8,4.4,4.4,443.0,20.348,713.0,上证50指数期权2602认沽2850,P,2850.0,20251124,20260224
HO2602-P-2900.CFX,20260119,CFFEX,10.2,10.2,10.2,10.2,6.0,6.6,6.6,459.0,33.406,984.0,上证50指数期权2602认沽2900,P,2900.0,20251124,20260224
HO2602-P-2950.CFX,20260119,CFFEX,16.6,16.6,15.0,17.8,10.6,11.8,11.8,584.0,73.074,873.0,上证50指数期权2602认沽2950,P,2950.0,20251124,20260224
HO2602-P-3000.CFX,20260119,CFFEX,27.8,27.8,28.6,29.2,19.0,21.8,21.8,1131.0,254.708,1398.0,上证50指数期权2602认沽3000,P,3000.0,20251124,20260224
HO2602-P-3050.CFX,20260119,CFFEX,45.0,45.0,43.6,48.2,34.0,38.8,38.8,1793.0,722.966,1725.0,上证50指数期权2602认沽3050,P,3050.0,20251124,20260224
HO2602-P-3100.CFX,20260119,CFFEX,70.4,70.4,78.6,78.6,56.6,64.8,64.8,1864.0,1223.618,1308.0,上证50指数期权2602认沽3100,P,3100.0,20251124,20260224
HO2602-P-3150.CFX,20260119,CFFEX,102.8,102.8,105.4,106.4,88.0,100.0,100.0,1077.0,1067.216,953.0,上证50指数期权2602认沽3150,P,3150.0,20251124,20260224
HO2602-P-3200.CFX,20260119,CFFEX,141.0,141.0,146.2,146.4,125.6,140.6,140.6,510.0,704.442,778.0,上证50指数期权2602认沽3200,P,3200.0,20251124,20260224
HO2602-P-3250.CFX,20260119,CFFEX,182.0,188.4,175.2,186.2,169.6,184.0,183.8,40.0,71.252,204.0,上证50指数期权2602认沽3250,P,3250.0,20251124,20260224
HO2602-P-3300.CFX,20260119,CFFEX,227.2,227.2,228.2,233.2,214.4,230.0,230.0,50.0,113.358,136.0,上证50指数期权2602认沽3300,P,3300.0,20251124,20260224
HO2602-P-3350.CFX,20260119,CFFEX,273.0,278.0,264.2,280.0,264.2,278.2,277.6,40.0,109.468,76.0,上证50指数期权2602认沽3350,P,3350.0,20251208,20260224
HO2602-P-3400.CFX,20260119,CFFEX,328.0,325.0,312.0,327.0,312.0,327.0,327.0,13.0,41.916,65.0,上证50指数期权2602认沽3400,P,3400.0,20260106,20260224
HO2602-P-3450.CFX,20260119,CFFEX,376.8,374.2,370.2,370.2,370.2,370.2,374.6,3.0,11.106,57.0,上证50指数期权2602认沽3450,P,3450.0,20260106,20260224
HO2602-P-3500.CFX,20260119,CFFEX,426.2,402.6,,,,402.6,423.8,0.0,0.0,78.0,上证50指数期权2602认沽3500,P,3500.0,20260107,20260224
HO2603-C-2250.CFX,20260119,CFFEX,835.2,838.6,839.8,839.8,834.0,834.0,829.0,6.0,50.18,42.0,上证50指数期权2603认购2250,C,2250.0,20250408,20260320
