ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
HO2612-P-3500.CFX,20260122,540.0,538.2,537.2,552.0,537.2,552.0,553.4,7.0,38.128,38.0
HO2612-P-3400.CFX,20260122,461.0,459.0,457.4,460.2,457.4,460.2,471.8,6.0,27.544,100.0
HO2612-P-3300.CFX,20260122,384.8,382.4,,,,382.4,394.4,0.0,0.0,135.0
HO2612-P-3200.CFX,20260122,312.2,310.6,309.8,309.8,309.8,309.8,321.8,2.0,6.196,108.0
HO2612-P-3100.CFX,20260122,246.4,243.6,249.2,253.2,249.2,252.2,253.4,14.0,35.38,83.0
HO2612-P-3000.CFX,20260122,183.8,183.4,,,,183.4,191.6,0.0,0.0,79.0
HO2612-P-2900.CFX,20260122,128.4,131.0,133.2,141.0,127.8,141.0,137.8,87.0,115.138,148.0
HO2612-P-2800.CFX,20260122,88.8,90.6,87.8,94.6,87.2,94.6,95.0,9.0,8.216,64.0
HO2612-P-2700.CFX,20260122,57.6,56.2,55.4,64.4,55.4,63.8,62.4,29.0,17.908,256.0
HO2612-C-3500.CFX,20260122,120.0,120.0,124.0,124.0,115.4,120.0,119.6,40.0,47.188,253.0
HO2612-C-3400.CFX,20260122,138.6,136.0,133.0,133.0,130.4,130.4,136.8,5.0,6.564,152.0
HO2612-C-3300.CFX,20260122,159.8,162.2,154.0,154.0,150.4,150.4,157.2,5.0,7.576,203.0
HO2612-C-3200.CFX,20260122,185.2,184.0,182.0,182.0,179.8,179.8,183.4,23.0,41.844,184.0
HO2612-C-3100.CFX,20260122,215.6,215.0,210.8,211.4,207.8,207.8,211.2,24.0,50.336,85.0
HO2612-C-3000.CFX,20260122,254.0,255.0,250.0,250.0,244.6,244.6,248.0,2.0,4.946,31.0
HO2612-C-2900.CFX,20260122,298.4,310.8,,,,310.8,293.4,0.0,0.0,46.0
HO2612-C-2800.CFX,20260122,354.0,357.6,365.0,365.0,347.4,347.4,347.8,4.0,14.072,69.0
HO2612-C-2700.CFX,20260122,419.8,431.8,428.0,431.0,412.8,418.0,411.6,6.0,25.454,175.0
HO2609-P-3500.CFX,20260122,519.8,514.6,527.2,527.2,527.2,527.2,526.0,2.0,10.544,56.0
HO2609-P-3400.CFX,20260122,436.4,432.4,445.0,445.0,445.0,445.0,442.4,1.0,4.45,59.0
HO2609-P-3300.CFX,20260122,358.2,354.2,,,,354.2,366.4,0.0,0.0,70.0
HO2609-P-3200.CFX,20260122,285.8,276.8,289.6,290.6,289.6,290.6,292.8,2.0,5.802,98.0
HO2609-P-3100.CFX,20260122,219.6,206.2,222.2,224.0,222.2,224.0,223.8,6.0,13.36,85.0
HO2609-P-3000.CFX,20260122,160.6,160.4,161.0,164.8,161.0,164.8,157.8,5.0,8.138,63.0
HO2609-P-2900.CFX,20260122,109.4,110.2,112.0,112.0,112.0,112.0,112.0,1.0,1.12,78.0
HO2609-P-2800.CFX,20260122,70.6,65.8,69.0,73.4,69.0,70.8,70.2,14.0,10.018,116.0
HO2609-P-2700.CFX,20260122,42.0,39.2,40.0,45.0,40.0,42.2,42.8,12.0,5.158,189.0
HO2609-P-2600.CFX,20260122,22.2,21.2,21.4,25.8,21.4,23.8,24.2,74.0,17.226,343.0
HO2609-C-3500.CFX,20260122,82.2,82.2,85.8,86.6,75.0,76.6,77.4,33.0,26.166,132.0
HO2609-C-3400.CFX,20260122,95.8,92.4,98.0,98.0,87.4,87.4,90.0,20.0,18.31,482.0
HO2609-C-3300.CFX,20260122,116.2,112.4,124.0,124.0,109.0,109.0,109.2,15.0,17.536,152.0
HO2609-C-3200.CFX,20260122,142.0,139.4,137.2,137.2,127.8,127.8,132.6,19.0,24.79,126.0
HO2609-C-3100.CFX,20260122,175.0,174.2,176.0,177.6,158.0,158.0,163.2,28.0,46.086,89.0
HO2609-C-3000.CFX,20260122,214.2,224.0,215.6,215.6,205.8,205.8,205.8,9.0,18.96,214.0
HO2609-C-2900.CFX,20260122,266.4,256.0,258.6,258.6,254.0,254.0,254.0,5.0,12.764,138.0
HO2609-C-2800.CFX,20260122,322.0,333.0,315.0,315.0,313.6,313.6,308.0,3.0,9.506,99.0
HO2609-C-2700.CFX,20260122,390.8,425.4,378.0,378.0,378.0,378.0,378.2,1.0,3.78,90.0
HO2609-C-2600.CFX,20260122,466.4,466.4,480.0,480.0,467.4,467.4,458.4,8.0,37.796,82.0
HO2606-P-3500.CFX,20260122,460.4,464.8,,,,464.8,472.8,0.0,0.0,5.0
HO2606-P-3400.CFX,20260122,374.8,377.8,,,,377.8,387.0,0.0,0.0,64.0
HO2606-P-3300.CFX,20260122,298.8,304.0,306.0,306.0,306.0,306.0,305.8,1.0,3.06,200.0
HO2606-P-3200.CFX,20260122,223.8,217.6,,,,217.6,233.8,0.0,0.0,259.0
HO2606-P-3100.CFX,20260122,153.6,152.0,150.0,167.8,150.0,167.8,163.8,46.0,74.692,145.0
HO2606-P-3000.CFX,20260122,103.0,98.8,98.8,111.0,98.8,111.0,108.4,34.0,35.454,404.0
