ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
IO2602-C-4000.CFX,20260119,CFFEX,730.0,730.0,733.8,734.0,733.8,734.0,736.0,12.0,87.834,26.0,沪深300指数期权2602认购4000,C,4000.0,20251124,20260224
IO2602-C-4050.CFX,20260119,CFFEX,681.6,739.8,688.8,688.8,684.4,684.4,686.4,11.0,75.276,24.0,沪深300指数期权2602认购4050,C,4050.0,20251124,20260224
IO2602-C-4100.CFX,20260119,CFFEX,632.6,630.0,633.0,641.0,633.0,641.0,637.2,2.0,12.74,34.0,沪深300指数期权2602认购4100,C,4100.0,20251124,20260224
IO2602-C-4150.CFX,20260119,CFFEX,584.0,579.0,550.0,611.0,550.0,585.2,587.6,30.0,175.72,30.0,沪深300指数期权2602认购4150,C,4150.0,20251124,20260224
IO2602-C-4200.CFX,20260119,CFFEX,534.6,528.6,528.6,553.4,528.6,532.4,533.6,8.0,43.25,89.0,沪深300指数期权2602认购4200,C,4200.0,20251124,20260224
IO2602-C-4250.CFX,20260119,CFFEX,485.2,484.4,490.0,510.0,479.4,490.4,484.4,17.0,83.236,101.0,沪深300指数期权2602认购4250,C,4250.0,20251124,20260224
IO2602-C-4300.CFX,20260119,CFFEX,439.8,437.6,441.0,465.0,430.0,439.0,439.0,123.0,545.422,517.0,沪深300指数期权2602认购4300,C,4300.0,20251124,20260224
IO2602-C-4350.CFX,20260119,CFFEX,394.0,394.0,387.2,415.4,383.2,392.4,390.4,99.0,391.342,182.0,沪深300指数期权2602认购4350,C,4350.0,20251124,20260224
IO2602-C-4400.CFX,20260119,CFFEX,344.4,348.0,338.0,377.0,334.0,344.0,344.0,232.0,823.078,665.0,沪深300指数期权2602认购4400,C,4400.0,20251124,20260224
IO2602-C-4450.CFX,20260119,CFFEX,302.0,302.0,250.0,329.8,250.0,300.0,296.0,241.0,732.57,189.0,沪深300指数期权2602认购4450,C,4450.0,20251124,20260224
IO2602-C-4500.CFX,20260119,CFFEX,260.0,260.0,242.4,286.0,242.4,251.6,252.2,517.0,1345.374,953.0,沪深300指数期权2602认购4500,C,4500.0,20251124,20260224
IO2602-C-4550.CFX,20260119,CFFEX,218.0,218.0,210.4,241.8,203.2,210.0,210.0,652.0,1423.008,855.0,沪深300指数期权2602认购4550,C,4550.0,20251124,20260224
IO2602-C-4600.CFX,20260119,CFFEX,178.6,178.6,175.8,201.2,165.0,173.0,173.0,2712.0,4858.004,1986.0,沪深300指数期权2602认购4600,C,4600.0,20251124,20260224
IO2602-C-4650.CFX,20260119,CFFEX,146.2,146.2,142.0,164.0,132.2,137.0,137.0,988.0,1428.872,1067.0,沪深300指数期权2602认购4650,C,4650.0,20251124,20260224
IO2602-C-4700.CFX,20260119,CFFEX,116.8,116.8,112.6,131.4,103.0,106.6,106.6,5175.0,5922.926,3750.0,沪深300指数期权2602认购4700,C,4700.0,20251124,20260224
IO2602-C-4750.CFX,20260119,CFFEX,93.6,93.6,90.0,103.2,78.4,82.2,82.2,7195.0,6398.184,5142.0,沪深300指数期权2602认购4750,C,4750.0,20251124,20260224
IO2602-C-4800.CFX,20260119,CFFEX,73.4,73.4,72.8,80.8,59.2,62.2,62.2,10636.0,7338.366,7340.0,沪深300指数期权2602认购4800,C,4800.0,20251124,20260224
IO2602-C-4850.CFX,20260119,CFFEX,57.8,57.8,53.8,62.8,44.6,46.4,46.4,3629.0,1933.828,3330.0,沪深300指数期权2602认购4850,C,4850.0,20251124,20260224
IO2602-C-4900.CFX,20260119,CFFEX,47.0,47.0,42.8,48.6,33.4,34.4,34.4,3104.0,1270.298,3503.0,沪深300指数期权2602认购4900,C,4900.0,20251124,20260224
IO2602-C-4950.CFX,20260119,CFFEX,37.2,37.2,33.8,37.6,24.4,25.2,25.2,1184.0,369.228,2003.0,沪深300指数期权2602认购4950,C,4950.0,20251126,20260224
IO2602-C-5000.CFX,20260119,CFFEX,30.2,30.2,26.0,30.0,18.8,19.8,19.8,2963.0,747.566,4363.0,沪深300指数期权2602认购5000,C,5000.0,20251127,20260224
IO2602-C-5100.CFX,20260119,CFFEX,20.0,20.0,18.8,18.8,10.8,11.6,11.6,1322.0,198.194,2222.0,沪深300指数期权2602认购5100,C,5100.0,20251202,20260224
IO2602-C-5200.CFX,20260119,CFFEX,13.6,13.6,13.0,13.0,6.6,7.0,7.0,1578.0,154.256,2168.0,沪深300指数期权2602认购5200,C,5200.0,20251226,20260224
IO2602-C-5300.CFX,20260119,CFFEX,10.6,10.6,10.0,10.0,5.2,5.6,5.6,1856.0,137.534,3522.0,沪深300指数期权2602认购5300,C,5300.0,20260107,20260224
IO2602-P-4000.CFX,20260119,CFFEX,3.0,3.0,2.6,2.6,1.6,1.6,1.6,122.0,2.47,409.0,沪深300指数期权2602认沽4000,P,4000.0,20251124,20260224
IO2602-P-4050.CFX,20260119,CFFEX,3.4,3.4,2.6,2.6,1.8,1.8,1.8,63.0,1.572,156.0,沪深300指数期权2602认沽4050,P,4050.0,20251124,20260224
IO2602-P-4100.CFX,20260119,CFFEX,4.0,4.0,3.6,3.6,2.0,2.2,2.2,116.0,3.262,195.0,沪深300指数期权2602认沽4100,P,4100.0,20251124,20260224
IO2602-P-4150.CFX,20260119,CFFEX,5.0,5.0,4.4,4.6,2.4,2.4,2.4,227.0,8.422,307.0,沪深300指数期权2602认沽4150,P,4150.0,20251124,20260224
IO2602-P-4200.CFX,20260119,CFFEX,6.2,6.2,5.6,5.6,3.0,3.0,3.0,397.0,16.38,673.0,沪深300指数期权2602认沽4200,P,4200.0,20251124,20260224
IO2602-P-4250.CFX,20260119,CFFEX,7.2,7.2,6.8,6.8,3.6,3.6,3.6,266.0,14.096,562.0,沪深300指数期权2602认沽4250,P,4250.0,20251124,20260224
IO2602-P-4300.CFX,20260119,CFFEX,9.2,9.2,8.8,9.2,4.8,4.8,4.8,495.0,30.274,858.0,沪深300指数期权2602认沽4300,P,4300.0,20251124,20260224
IO2602-P-4350.CFX,20260119,CFFEX,12.0,12.2,11.4,11.6,6.4,6.4,6.4,436.0,35.688,1299.0,沪深300指数期权2602认沽4350,P,4350.0,20251124,20260224
IO2602-P-4400.CFX,20260119,CFFEX,16.0,16.0,15.6,15.6,8.6,8.8,8.8,1141.0,121.008,1454.0,沪深300指数期权2602认沽4400,P,4400.0,20251124,20260224
IO2602-P-4450.CFX,20260119,CFFEX,20.0,20.0,20.0,21.4,11.6,12.0,12.0,691.0,99.256,1566.0,沪深300指数期权2602认沽4450,P,4450.0,20251124,20260224
IO2602-P-4500.CFX,20260119,CFFEX,27.0,27.4,28.6,29.0,16.4,18.0,18.0,1395.0,297.514,3016.0,沪深300指数期权2602认沽4500,P,4500.0,20251124,20260224
IO2602-P-4550.CFX,20260119,CFFEX,36.2,36.2,37.2,39.6,22.6,26.2,26.2,1319.0,390.056,1407.0,沪深300指数期权2602认沽4550,P,4550.0,20251124,20260224
IO2602-P-4600.CFX,20260119,CFFEX,49.8,49.8,51.8,52.8,32.0,36.6,36.6,2381.0,968.796,2530.0,沪深300指数期权2602认沽4600,P,4600.0,20251124,20260224
IO2602-P-4650.CFX,20260119,CFFEX,66.4,66.4,71.0,71.0,44.2,51.0,51.0,3100.0,1722.392,2198.0,沪深300指数期权2602认沽4650,P,4650.0,20251124,20260224
IO2602-P-4700.CFX,20260119,CFFEX,85.0,85.0,90.2,93.0,61.2,70.4,70.4,4470.0,3317.588,2935.0,沪深300指数期权2602认沽4700,P,4700.0,20251124,20260224
IO2602-P-4750.CFX,20260119,CFFEX,112.6,112.6,120.0,133.0,83.2,94.4,94.4,4440.0,4373.54,3549.0,沪深300指数期权2602认沽4750,P,4750.0,20251124,20260224
IO2602-P-4800.CFX,20260119,CFFEX,143.2,143.2,142.4,150.0,111.2,125.2,125.2,1902.0,2448.206,3251.0,沪深300指数期权2602认沽4800,P,4800.0,20251124,20260224
IO2602-P-4850.CFX,20260119,CFFEX,178.0,183.0,180.0,185.0,143.0,164.6,163.4,565.0,926.998,907.0,沪深300指数期权2602认沽4850,P,4850.0,20251124,20260224
IO2602-P-4900.CFX,20260119,CFFEX,218.2,220.6,223.6,223.6,180.0,199.8,199.0,273.0,549.706,662.0,沪深300指数期权2602认沽4900,P,4900.0,20251124,20260224
IO2602-P-4950.CFX,20260119,CFFEX,255.0,255.0,258.2,258.2,221.2,239.2,241.0,91.0,222.926,222.0,沪深300指数期权2602认沽4950,P,4950.0,20251126,20260224
IO2602-P-5000.CFX,20260119,CFFEX,300.4,299.2,300.0,300.0,264.6,285.8,284.6,253.0,722.346,689.0,沪深300指数期权2602认沽5000,P,5000.0,20251127,20260224
IO2602-P-5100.CFX,20260119,CFFEX,389.8,387.4,378.6,386.4,370.6,377.6,376.2,60.0,229.342,97.0,沪深300指数期权2602认沽5100,P,5100.0,20251202,20260224
IO2602-P-5200.CFX,20260119,CFFEX,483.8,480.4,462.0,480.8,450.0,471.0,471.8,15.0,70.056,81.0,沪深300指数期权2602认沽5200,P,5200.0,20251226,20260224
IO2602-P-5300.CFX,20260119,CFFEX,579.6,552.6,,,,552.6,573.6,0.0,0.0,49.0,沪深300指数期权2602认沽5300,P,5300.0,20260107,20260224
IO2603-C-3200.CFX,20260119,CFFEX,1522.8,1529.2,1539.4,1554.8,1527.0,1527.0,1524.8,15.0,230.926,196.0,沪深300指数期权2603认购3200,C,3200.0,20250408,20260320
IO2603-C-3300.CFX,20260119,CFFEX,1423.2,1421.0,1419.8,1433.8,1419.8,1427.0,1425.2,10.0,142.54,125.0,沪深300指数期权2603认购3300,C,3300.0,20250408,20260320
IO2603-C-3400.CFX,20260119,CFFEX,1323.6,1357.0,1331.6,1359.4,1320.4,1327.4,1331.4,42.0,559.458,181.0,沪深300指数期权2603认购3400,C,3400.0,20250401,20260320
IO2603-C-3500.CFX,20260119,CFFEX,1219.0,1260.6,1238.2,1256.0,1220.4,1242.6,1231.8,32.0,394.29,185.0,沪深300指数期权2603认购3500,C,3500.0,20250324,20260320
