ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
IO2612-P-5400.CFX,20260122,891.0,891.0,887.2,900.0,887.2,891.4,897.6,16.0,142.932,77.0
IO2612-P-5200.CFX,20260122,725.0,719.6,710.6,735.4,710.6,730.8,731.8,11.0,79.754,80.0
IO2612-P-5000.CFX,20260122,581.0,571.4,588.2,588.2,588.2,588.2,579.2,2.0,11.764,39.0
IO2612-P-4900.CFX,20260122,505.8,498.2,488.6,517.2,488.6,517.2,507.4,13.0,65.738,27.0
IO2612-P-4800.CFX,20260122,437.6,424.8,419.6,444.4,417.8,440.4,439.4,8.0,34.38,89.0
IO2612-P-4700.CFX,20260122,376.2,369.8,374.4,383.6,373.6,379.8,379.4,23.0,86.436,157.0
IO2612-P-4600.CFX,20260122,320.2,316.6,314.0,326.0,314.0,320.4,322.4,21.0,67.062,512.0
IO2612-P-4500.CFX,20260122,268.2,266.6,262.0,279.0,262.0,270.0,271.8,19.0,51.836,155.0
IO2612-P-4400.CFX,20260122,227.0,219.4,225.2,232.2,225.2,226.8,226.8,69.0,157.696,183.0
IO2612-P-4300.CFX,20260122,187.6,189.4,178.4,195.6,178.4,195.6,191.4,151.0,286.24,267.0
IO2612-P-4200.CFX,20260122,159.6,159.6,153.6,160.8,153.6,157.6,157.4,16.0,25.032,282.0
IO2612-P-4100.CFX,20260122,132.8,132.8,127.0,134.2,125.4,131.8,131.8,53.0,68.744,460.0
IO2612-C-5400.CFX,20260122,156.0,156.0,164.6,166.0,156.4,156.4,156.4,69.0,110.886,200.0
IO2612-C-5200.CFX,20260122,189.0,189.0,198.4,198.6,191.8,191.8,187.4,18.0,34.932,267.0
IO2612-C-5000.CFX,20260122,236.0,237.8,249.6,249.6,233.2,244.0,232.6,21.0,49.924,114.0
IO2612-C-4900.CFX,20260122,263.6,269.6,269.0,269.0,255.0,257.6,257.6,229.0,596.906,101.0
IO2612-C-4800.CFX,20260122,296.0,299.6,302.2,302.2,290.4,297.0,286.0,8.0,23.838,241.0
IO2612-C-4700.CFX,20260122,332.8,335.0,347.0,347.0,324.0,324.4,326.2,98.0,326.55,454.0
IO2612-C-4600.CFX,20260122,374.4,360.2,378.0,378.0,365.2,365.2,368.4,20.0,74.486,171.0
IO2612-C-4500.CFX,20260122,422.0,433.0,439.8,442.2,417.8,419.2,412.2,12.0,52.042,33.0
IO2612-C-4400.CFX,20260122,476.6,488.6,471.6,471.6,471.6,471.6,470.2,2.0,9.482,19.0
IO2612-C-4300.CFX,20260122,539.0,542.8,549.0,549.0,549.0,549.0,531.2,1.0,5.49,42.0
IO2612-C-4200.CFX,20260122,603.0,585.0,595.8,596.4,595.8,596.4,595.0,10.0,59.894,23.0
IO2612-C-4100.CFX,20260122,675.2,681.0,700.0,700.0,665.8,670.0,667.4,23.0,154.77,52.0
IO2609-P-5400.CFX,20260122,849.2,849.6,832.0,855.8,832.0,855.8,852.4,14.0,118.166,132.0
IO2609-P-5200.CFX,20260122,682.2,682.4,684.0,686.2,684.0,685.4,682.4,9.0,61.524,106.0
IO2609-P-5000.CFX,20260122,528.2,527.0,522.8,532.6,522.8,529.4,525.4,11.0,57.9,287.0
IO2609-P-4900.CFX,20260122,456.8,444.4,447.2,458.2,447.2,458.2,453.2,10.0,45.528,252.0
IO2609-P-4800.CFX,20260122,390.4,382.8,389.6,389.6,389.6,389.6,386.8,1.0,3.896,241.0
IO2609-P-4700.CFX,20260122,329.2,325.4,320.4,330.8,320.4,330.8,326.6,13.0,42.336,139.0
IO2609-P-4600.CFX,20260122,272.4,268.0,272.6,272.6,265.8,265.8,269.8,21.0,56.75,213.0
IO2609-P-4500.CFX,20260122,222.0,222.0,219.8,225.8,219.8,220.0,221.8,14.0,31.086,356.0
IO2609-P-4400.CFX,20260122,180.4,180.4,181.2,181.2,181.2,181.2,181.4,5.0,9.06,158.0
IO2609-P-4300.CFX,20260122,146.4,142.4,137.4,147.4,137.4,145.0,145.6,28.0,40.316,118.0
IO2609-P-4200.CFX,20260122,118.2,112.2,113.0,116.2,111.8,116.2,115.2,18.0,20.632,154.0
IO2609-P-4100.CFX,20260122,90.0,90.0,89.4,95.4,88.2,90.8,92.8,260.0,238.25,440.0
IO2609-P-4000.CFX,20260122,71.6,71.6,71.0,75.0,69.8,73.2,73.2,112.0,81.252,1990.0
IO2609-C-5400.CFX,20260122,113.0,113.0,121.4,121.4,110.8,112.4,112.4,99.0,113.526,437.0
IO2609-C-5200.CFX,20260122,144.6,143.4,148.0,148.0,141.0,141.0,140.2,5.0,7.204,162.0
IO2609-C-5000.CFX,20260122,185.0,185.0,189.8,189.8,179.8,181.8,180.0,11.0,20.086,416.0
IO2609-C-4900.CFX,20260122,213.6,212.8,218.4,220.6,203.4,203.4,206.0,36.0,77.618,335.0
IO2609-C-4800.CFX,20260122,244.0,244.0,259.2,259.2,235.4,237.2,238.6,195.0,476.24,401.0
IO2609-C-4700.CFX,20260122,283.0,284.8,298.0,298.0,270.2,272.0,283.0,137.0,380.208,662.0
IO2609-C-4600.CFX,20260122,325.2,331.6,316.0,317.6,310.6,315.0,315.0,9.0,28.158,266.0
IO2609-C-4500.CFX,20260122,374.6,380.2,382.0,382.0,360.2,360.2,368.8,16.0,59.386,367.0
IO2609-C-4400.CFX,20260122,431.2,422.4,444.8,444.8,444.8,444.8,425.8,5.0,22.24,100.0
IO2609-C-4300.CFX,20260122,494.0,506.2,511.2,511.2,488.0,488.0,489.4,22.0,109.196,39.0
IO2609-C-4200.CFX,20260122,561.8,565.4,565.4,565.4,555.4,555.4,559.0,15.0,83.892,101.0
IO2609-C-4100.CFX,20260122,641.0,641.0,642.4,642.4,624.6,630.6,623.8,38.0,241.846,129.0
IO2609-C-4000.CFX,20260122,722.4,718.6,745.8,745.8,700.0,712.6,713.6,35.0,249.978,649.0
IO2606-P-5400.CFX,20260122,765.4,761.4,755.8,755.8,755.8,755.8,770.2,4.0,30.424,101.0
IO2606-P-5200.CFX,20260122,592.0,580.8,586.8,605.0,586.8,595.6,596.8,15.0,89.192,161.0
IO2606-P-5000.CFX,20260122,433.2,417.6,429.2,438.0,423.6,438.0,437.2,23.0,99.19,325.0
IO2606-P-4900.CFX,20260122,360.2,352.2,354.4,375.8,354.4,368.0,363.2,10.0,36.236,331.0
IO2606-P-4800.CFX,20260122,293.8,291.8,288.2,304.6,285.8,299.4,296.0,210.0,628.224,557.0
IO2606-P-4700.CFX,20260122,234.0,232.2,220.2,240.8,220.2,236.4,235.8,110.0,254.59,637.0
IO2606-P-4600.CFX,20260122,182.0,182.0,172.8,190.8,170.4,184.4,183.6,196.0,359.14,694.0
IO2606-P-4500.CFX,20260122,138.4,138.4,131.2,144.2,128.4,140.6,140.0,90.0,124.108,571.0
IO2606-P-4400.CFX,20260122,102.8,103.4,96.4,106.8,96.4,104.2,104.2,147.0,152.604,663.0
IO2606-P-4300.CFX,20260122,75.4,75.8,72.2,78.2,72.2,75.8,76.8,36.0,27.106,405.0
IO2606-P-4200.CFX,20260122,54.6,55.2,49.6,56.6,49.4,55.8,55.8,87.0,46.896,737.0
IO2606-P-4100.CFX,20260122,39.2,40.2,37.0,41.0,37.0,40.8,40.8,19.0,7.572,354.0
IO2606-P-4000.CFX,20260122,28.4,28.8,30.0,30.2,28.6,30.2,30.2,48.0,14.118,601.0
IO2606-P-3900.CFX,20260122,20.8,21.4,22.0,22.2,21.8,22.2,22.2,12.0,2.624,353.0
