ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
MO2602-C-6300.CFX,20260119,CFFEX,1928.2,1926.4,1990.2,1990.2,1951.4,1951.4,1941.4,20.0,391.478,180.0,中证1000指数期权2602认购6300,C,6300.0,20251124,20260224
MO2602-C-6400.CFX,20260119,CFFEX,1808.6,1827.0,1809.6,1894.6,1809.6,1894.6,1841.8,6.0,111.106,18.0,中证1000指数期权2602认购6400,C,6400.0,20251124,20260224
MO2602-C-6500.CFX,20260119,CFFEX,1709.0,1701.4,1704.0,1766.6,1701.4,1766.6,1742.2,16.0,274.344,49.0,中证1000指数期权2602认购6500,C,6500.0,20251124,20260224
MO2602-C-6600.CFX,20260119,CFFEX,1609.6,1610.0,1677.0,1697.0,1671.6,1671.6,1642.8,13.0,215.078,44.0,中证1000指数期权2602认购6600,C,6600.0,20251124,20260224
MO2602-C-6700.CFX,20260119,CFFEX,1510.4,1515.0,1511.6,1575.8,1511.6,1575.8,1543.4,5.0,76.882,35.0,中证1000指数期权2602认购6700,C,6700.0,20251124,20260224
MO2602-C-6800.CFX,20260119,CFFEX,1432.8,1416.4,1392.2,1498.6,1392.2,1461.6,1444.2,34.0,493.274,88.0,中证1000指数期权2602认购6800,C,6800.0,20251124,20260224
MO2602-C-6900.CFX,20260119,CFFEX,1333.6,1310.0,1293.6,1399.6,1293.6,1372.8,1345.2,20.0,270.588,90.0,中证1000指数期权2602认购6900,C,6900.0,20251124,20260224
MO2602-C-7000.CFX,20260119,CFFEX,1235.0,1232.8,1195.8,1290.6,1195.8,1251.6,1246.6,39.0,488.784,235.0,中证1000指数期权2602认购7000,C,7000.0,20251124,20260224
MO2602-C-7100.CFX,20260119,CFFEX,1116.8,1118.0,1112.2,1202.6,1090.8,1157.4,1148.4,168.0,1926.54,276.0,中证1000指数期权2602认购7100,C,7100.0,20251124,20260224
MO2602-C-7200.CFX,20260119,CFFEX,1020.0,1032.6,1011.2,1114.0,987.8,1049.6,1051.0,268.0,2843.502,427.0,中证1000指数期权2602认购7200,C,7200.0,20251124,20260224
MO2602-C-7300.CFX,20260119,CFFEX,933.0,933.0,920.4,1018.6,916.8,955.0,943.2,135.0,1312.636,1229.0,中证1000指数期权2602认购7300,C,7300.0,20251124,20260224
MO2602-C-7400.CFX,20260119,CFFEX,836.6,836.6,822.2,921.2,818.8,851.0,851.0,263.0,2284.87,703.0,中证1000指数期权2602认购7400,C,7400.0,20251124,20260224
MO2602-C-7500.CFX,20260119,CFFEX,751.8,751.8,720.0,827.6,708.6,758.8,758.8,338.0,2637.136,1184.0,中证1000指数期权2602认购7500,C,7500.0,20251124,20260224
MO2602-C-7600.CFX,20260119,CFFEX,660.4,660.4,635.0,739.8,620.0,671.6,671.6,502.0,3447.324,1295.0,中证1000指数期权2602认购7600,C,7600.0,20251124,20260224
MO2602-C-7700.CFX,20260119,CFFEX,577.8,579.0,586.0,650.8,536.6,580.0,583.4,873.0,5237.432,1242.0,中证1000指数期权2602认购7700,C,7700.0,20251124,20260224
MO2602-C-7800.CFX,20260119,CFFEX,501.0,501.0,478.0,566.2,462.2,496.4,496.4,1469.0,7586.758,2373.0,中证1000指数期权2602认购7800,C,7800.0,20251124,20260224
MO2602-C-7900.CFX,20260119,CFFEX,436.4,436.4,425.4,488.2,390.0,423.0,423.0,1321.0,5841.428,1669.0,中证1000指数期权2602认购7900,C,7900.0,20251125,20260224
MO2602-C-8000.CFX,20260119,CFFEX,371.0,371.0,340.0,414.0,328.8,355.0,355.0,2710.0,10113.65,2557.0,中证1000指数期权2602认购8000,C,8000.0,20251126,20260224
MO2602-C-8100.CFX,20260119,CFFEX,305.0,305.0,250.0,347.4,250.0,291.8,291.8,3971.0,12385.07,1868.0,中证1000指数期权2602认购8100,C,8100.0,20251201,20260224
MO2602-C-8200.CFX,20260119,CFFEX,255.4,255.4,242.8,289.4,223.0,235.8,235.8,13196.0,33823.274,6088.0,中证1000指数期权2602认购8200,C,8200.0,20251202,20260224
MO2602-C-8300.CFX,20260119,CFFEX,209.8,209.8,200.0,237.4,181.8,187.6,187.6,19791.0,41514.062,6174.0,中证1000指数期权2602认购8300,C,8300.0,20251225,20260224
MO2602-C-8400.CFX,20260119,CFFEX,173.0,173.0,161.2,193.6,148.2,150.0,150.0,13297.0,22534.57,5910.0,中证1000指数期权2602认购8400,C,8400.0,20251226,20260224
