ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
MO2612-P-9200.CFX,20260122,1657.8,1650.0,1636.2,1636.2,1636.2,1636.2,1621.2,1.0,16.362,70.0
MO2612-P-9000.CFX,20260122,1510.2,1520.0,1480.8,1480.8,1480.8,1480.8,1481.6,3.0,44.424,59.0
MO2612-P-8800.CFX,20260122,1352.2,1349.0,1345.2,1345.2,1345.2,1345.2,1319.8,1.0,13.452,61.0
MO2612-P-8600.CFX,20260122,1208.4,1212.0,,,,1212.0,1179.8,0.0,0.0,57.0
MO2612-P-8400.CFX,20260122,1079.2,1073.0,1068.2,1068.2,1056.2,1056.8,1045.6,8.0,84.67,148.0
MO2612-P-8200.CFX,20260122,943.4,948.4,942.0,942.0,927.0,927.8,927.8,24.0,223.832,501.0
MO2612-P-8000.CFX,20260122,822.4,824.4,807.8,822.6,807.8,810.0,807.2,22.0,179.164,456.0
MO2612-P-7800.CFX,20260122,708.2,711.0,663.0,708.0,663.0,694.6,685.4,22.0,154.224,363.0
MO2612-P-7600.CFX,20260122,606.0,606.0,589.6,600.0,584.8,588.8,597.8,23.0,135.954,548.0
MO2612-P-7400.CFX,20260122,507.6,503.4,480.8,503.4,480.8,495.2,493.8,38.0,189.082,550.0
MO2612-P-7200.CFX,20260122,422.8,421.0,399.2,420.0,399.2,413.6,409.2,75.0,311.698,568.0
MO2612-P-7000.CFX,20260122,346.2,343.2,340.2,343.6,336.0,343.6,335.2,4.0,13.618,301.0
MO2612-P-6800.CFX,20260122,274.0,270.8,269.8,275.6,266.2,271.6,266.8,141.0,381.572,590.0
MO2612-P-6600.CFX,20260122,222.6,223.0,218.8,219.4,211.8,214.0,214.0,105.0,226.728,991.0
MO2612-P-6400.CFX,20260122,180.4,180.8,176.6,177.8,168.0,172.4,172.4,216.0,373.544,1980.0
MO2612-C-9200.CFX,20260122,300.0,296.0,314.8,328.4,301.4,328.4,328.4,336.0,1058.424,594.0
MO2612-C-9000.CFX,20260122,347.4,340.0,352.8,369.0,350.4,365.0,375.0,58.0,209.21,309.0
MO2612-C-8800.CFX,20260122,385.6,384.4,400.0,409.0,392.0,409.0,423.4,20.0,79.546,230.0
MO2612-C-8600.CFX,20260122,447.2,430.4,,,,430.4,478.2,0.0,0.0,148.0
MO2612-C-8400.CFX,20260122,504.4,498.0,515.0,530.2,512.0,526.4,539.0,26.0,136.1,325.0
MO2612-C-8200.CFX,20260122,566.6,560.0,586.2,605.0,577.0,605.0,605.0,42.0,248.182,945.0
MO2612-C-8000.CFX,20260122,645.2,641.0,690.0,690.0,662.0,662.0,684.4,6.0,40.0,521.0
MO2612-C-7800.CFX,20260122,731.2,726.8,760.0,760.0,748.0,760.0,760.0,13.0,97.596,366.0
MO2612-C-7600.CFX,20260122,821.8,811.0,835.4,836.8,829.2,836.8,861.8,7.0,58.394,346.0
MO2612-C-7400.CFX,20260122,919.6,922.4,930.8,945.6,930.8,943.2,965.8,21.0,197.422,233.0
MO2612-C-7200.CFX,20260122,1031.0,1025.4,1045.4,1064.4,1045.4,1058.4,1077.8,3.0,31.682,335.0
MO2612-C-7000.CFX,20260122,1149.2,1136.4,,,,1136.4,1202.6,0.0,0.0,573.0
MO2612-C-6800.CFX,20260122,1275.4,1270.8,1288.4,1315.0,1288.2,1315.0,1330.2,22.0,284.826,75.0
MO2612-C-6600.CFX,20260122,1415.8,1391.4,1438.0,1473.0,1425.0,1454.8,1467.6,7.0,100.714,104.0
MO2612-C-6400.CFX,20260122,1563.0,1551.4,,,,1551.4,1626.2,0.0,0.0,254.0
MO2609-P-9200.CFX,20260122,1485.0,1494.0,1454.6,1464.6,1454.6,1464.6,1451.0,3.0,44.042,37.0
MO2609-P-9000.CFX,20260122,1329.0,1431.8,1323.2,1324.4,1307.2,1314.2,1291.6,18.0,237.022,36.0
MO2609-P-8800.CFX,20260122,1176.8,1188.8,1169.4,1172.0,1157.0,1167.4,1146.2,25.0,291.434,127.0
MO2609-P-8600.CFX,20260122,1031.6,1039.6,1023.4,1034.0,1003.2,1012.0,1012.0,48.0,491.92,546.0
MO2609-P-8400.CFX,20260122,894.8,896.0,886.6,886.6,884.6,884.6,873.2,14.0,124.74,154.0
MO2609-P-8200.CFX,20260122,767.0,771.4,749.6,769.6,743.6,750.0,750.0,63.0,476.102,219.0
MO2609-P-8000.CFX,20260122,649.6,647.2,641.8,644.0,634.0,641.8,636.4,15.0,96.196,260.0
MO2609-P-7800.CFX,20260122,540.2,553.2,530.2,544.6,522.8,537.2,530.2,18.0,96.34,374.0
MO2609-P-7600.CFX,20260122,448.4,451.2,430.6,445.0,430.6,442.0,442.0,29.0,127.444,1008.0
MO2609-P-7400.CFX,20260122,369.6,369.6,352.0,367.0,352.0,362.8,359.4,58.0,208.97,1299.0
MO2609-P-7200.CFX,20260122,298.4,298.4,282.4,295.0,281.0,293.8,289.0,18.0,51.736,1000.0
MO2609-P-7000.CFX,20260122,230.0,232.6,217.8,229.0,217.8,226.6,225.2,25.0,55.96,751.0
MO2609-P-6800.CFX,20260122,181.6,181.6,176.4,180.0,171.0,176.4,173.0,44.0,77.208,872.0
MO2609-P-6600.CFX,20260122,142.0,142.0,136.2,136.2,130.8,133.2,131.6,18.0,24.112,1182.0
MO2609-P-6400.CFX,20260122,106.6,107.2,101.0,104.4,94.8,99.0,99.0,47.0,46.978,771.0
MO2609-P-6200.CFX,20260122,80.0,80.0,76.0,77.8,70.4,74.0,74.0,58.0,43.178,748.0
MO2609-C-9200.CFX,20260122,230.8,230.8,250.6,254.8,234.8,254.8,254.8,190.0,461.122,628.0
MO2609-C-9000.CFX,20260122,273.8,266.2,283.0,290.2,278.6,289.4,300.4,104.0,297.304,211.0
MO2609-C-8800.CFX,20260122,317.8,312.0,322.6,342.2,322.0,342.2,350.0,54.0,178.69,391.0
MO2609-C-8600.CFX,20260122,373.2,373.2,380.6,401.2,374.0,401.2,401.2,97.0,377.35,1667.0
MO2609-C-8400.CFX,20260122,431.4,426.2,460.0,465.2,435.0,465.2,465.2,84.0,374.73,498.0
MO2609-C-8200.CFX,20260122,504.0,498.0,510.8,543.6,503.8,543.6,543.6,58.0,304.164,448.0
MO2609-C-8000.CFX,20260122,580.8,577.0,598.0,615.2,598.0,609.2,626.6,14.0,83.742,441.0
MO2609-C-7800.CFX,20260122,669.2,667.0,673.0,703.2,673.0,703.2,716.8,3.0,20.492,577.0
MO2609-C-7600.CFX,20260122,768.8,768.8,805.0,805.0,784.8,790.0,821.0,16.0,127.038,1058.0
MO2609-C-7400.CFX,20260122,885.0,888.8,,,,888.8,937.8,0.0,0.0,859.0
MO2609-C-7200.CFX,20260122,1011.0,1001.0,1037.6,1037.6,1037.6,1037.6,1061.2,1.0,10.376,666.0
MO2609-C-7000.CFX,20260122,1144.8,1133.8,1150.4,1184.6,1150.4,1180.0,1197.4,10.0,115.852,1038.0
MO2609-C-6800.CFX,20260122,1288.6,1240.0,1323.4,1332.2,1315.0,1320.0,1343.0,14.0,184.864,534.0
MO2609-C-6600.CFX,20260122,1425.2,1450.0,,,,1450.0,1496.8,0.0,0.0,598.0
MO2609-C-6400.CFX,20260122,1609.2,1609.2,,,,1609.2,1662.6,0.0,0.0,521.0
MO2609-C-6200.CFX,20260122,1779.8,1795.2,1851.2,1851.2,1820.8,1823.4,1832.8,3.0,54.954,725.0
MO2606-P-9200.CFX,20260122,1282.0,1282.0,1258.4,1273.8,1241.2,1245.2,1245.2,51.0,641.638,125.0
MO2606-P-9000.CFX,20260122,1115.8,1114.6,1097.8,1107.4,1087.8,1100.6,1068.2,20.0,219.628,82.0
MO2606-P-8800.CFX,20260122,961.0,964.2,946.8,956.4,937.0,940.6,920.0,44.0,416.942,346.0
MO2606-P-8600.CFX,20260122,815.4,818.2,805.2,805.2,794.8,801.4,779.0,16.0,128.012,927.0
MO2606-P-8400.CFX,20260122,678.0,681.0,674.8,674.8,646.2,646.2,646.2,38.0,251.332,714.0
MO2606-P-8200.CFX,20260122,544.8,560.0,542.0,554.0,530.0,532.6,520.0,73.0,394.438,948.0
MO2606-P-8000.CFX,20260122,438.0,438.0,416.6,449.4,416.6,429.0,427.8,239.0,1033.334,1001.0
MO2606-P-7800.CFX,20260122,352.4,352.4,346.4,352.0,334.2,335.2,335.2,64.0,218.072,978.0
MO2606-P-7600.CFX,20260122,267.2,270.8,252.4,271.0,252.2,261.4,260.6,160.0,420.974,1253.0
MO2606-P-7400.CFX,20260122,206.2,208.0,191.8,208.6,191.6,196.6,196.4,241.0,484.242,1914.0
MO2606-P-7200.CFX,20260122,153.6,153.6,147.4,155.6,141.0,147.2,139.6,136.0,202.666,1511.0
MO2606-P-7000.CFX,20260122,113.2,114.2,101.0,113.4,101.0,108.2,105.0,157.0,172.864,1639.0
MO2606-P-6800.CFX,20260122,83.6,83.8,82.0,83.4,79.6,81.0,81.0,123.0,99.844,1300.0
MO2606-P-6600.CFX,20260122,60.8,61.6,58.0,61.2,56.6,58.0,58.0,229.0,135.886,1256.0
MO2606-P-6400.CFX,20260122,45.6,44.2,41.0,46.2,40.8,44.2,43.8,195.0,87.376,1104.0
MO2606-P-6200.CFX,20260122,34.2,35.0,30.8,34.6,30.8,32.2,32.2,109.0,35.374,925.0
MO2606-P-6000.CFX,20260122,25.6,24.8,24.0,26.0,23.2,24.6,24.6,60.0,14.75,932.0
MO2606-P-5800.CFX,20260122,19.4,20.2,18.0,21.2,16.6,19.4,18.6,199.0,38.802,738.0
MO2606-P-5600.CFX,20260122,15.0,16.4,14.0,16.0,13.4,14.6,14.6,34.0,4.876,805.0
MO2606-P-5400.CFX,20260122,12.2,12.2,11.6,12.8,10.8,11.0,11.0,26.0,2.954,702.0
MO2606-P-5200.CFX,20260122,10.0,10.0,9.4,10.6,9.4,9.4,9.4,361.0,35.326,1482.0
MO2606-C-9200.CFX,20260122,160.6,161.6,161.6,184.6,161.6,184.6,184.6,636.0,1100.366,1462.0
MO2606-C-9000.CFX,20260122,195.4,195.0,216.4,223.8,196.0,223.8,223.8,385.0,802.15,1137.0
MO2606-C-8800.CFX,20260122,238.4,235.8,267.4,272.0,242.0,270.0,274.0,531.0,1352.962,1326.0
MO2606-C-8600.CFX,20260122,294.4,294.4,314.6,327.6,293.0,327.6,327.6,315.0,968.664,3378.0
MO2606-C-8400.CFX,20260122,350.6,352.0,375.0,391.4,346.0,391.4,396.0,187.0,691.376,1977.0
MO2606-C-8200.CFX,20260122,429.6,429.6,447.6,469.8,426.4,469.8,469.8,203.0,905.56,1116.0
MO2606-C-8000.CFX,20260122,514.0,509.6,545.0,561.2,523.6,561.2,567.4,311.0,1679.78,1859.0
MO2606-C-7800.CFX,20260122,624.0,621.8,658.0,658.0,636.2,658.0,671.6,79.0,509.22,1755.0
MO2606-C-7600.CFX,20260122,741.0,731.6,748.8,780.4,748.8,778.0,795.6,137.0,1058.666,1322.0
MO2606-C-7400.CFX,20260122,877.0,871.6,890.6,922.0,886.2,922.0,922.0,56.0,505.514,1975.0
MO2606-C-7200.CFX,20260122,1012.0,1012.0,1040.0,1064.2,1040.0,1047.4,1083.8,10.0,104.344,1092.0
MO2606-C-7000.CFX,20260122,1172.0,1174.2,1220.0,1223.8,1195.0,1223.8,1242.0,11.0,133.33,1376.0
MO2606-C-6800.CFX,20260122,1346.0,1336.6,1380.4,1399.0,1370.4,1399.0,1399.0,7.0,97.086,548.0
MO2606-C-6600.CFX,20260122,1524.2,1524.2,1563.4,1563.4,1563.4,1563.4,1590.0,1.0,15.634,645.0
MO2606-C-6400.CFX,20260122,1700.8,1715.2,1738.8,1759.0,1730.0,1752.0,1771.6,21.0,366.172,819.0
MO2606-C-6200.CFX,20260122,1890.2,1750.8,1963.0,1963.0,1945.0,1945.0,1958.0,3.0,58.71,884.0
MO2606-C-6000.CFX,20260122,2078.6,2057.6,,,,2057.6,2154.0,0.0,0.0,448.0
MO2606-C-5800.CFX,20260122,2267.0,2136.8,2310.0,2310.0,2310.0,2310.0,2339.4,1.0,23.1,136.0
MO2606-C-5600.CFX,20260122,2459.6,2316.2,,,,2316.2,2528.8,0.0,0.0,244.0
MO2606-C-5400.CFX,20260122,2653.0,2634.2,2693.8,2706.0,2693.8,2706.0,2718.4,2.0,53.998,123.0
MO2606-C-5200.CFX,20260122,2848.6,2864.0,,,,2864.0,2880.6,0.0,0.0,226.0
MO2604-P-9100.CFX,20260122,1003.0,1084.8,,,,1084.8,958.6,0.0,0.0,0.0
MO2604-P-9000.CFX,20260122,918.6,1066.8,,,,1066.8,875.6,0.0,0.0,2.0
MO2604-P-8900.CFX,20260122,837.4,935.0,,,,935.0,797.0,0.0,0.0,4.0
MO2604-P-8800.CFX,20260122,758.4,899.6,,,,899.6,718.6,0.0,0.0,6.0
MO2604-P-8700.CFX,20260122,681.6,675.6,,,,675.6,645.0,0.0,0.0,9.0
MO2604-P-8600.CFX,20260122,608.6,596.6,589.0,589.0,589.0,589.0,574.6,2.0,11.976,6.0
MO2604-P-8500.CFX,20260122,538.6,566.0,497.6,540.0,497.6,528.4,512.4,6.0,31.408,8.0
MO2604-P-8400.CFX,20260122,476.6,480.0,468.8,468.8,448.6,448.6,446.6,33.0,151.77,39.0
