ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
10009633.SH,20260119,SSE,0.5428,0.5438,0.5533,0.5582,0.5308,0.5361,0.537,32.0,17.880604,1852.0,华夏上证50ETF期权2603认购2.63,C,2.63,20250724,20260325
10009634.SH,20260119,SSE,0.4941,0.4934,0.502,0.513,0.4881,0.4881,0.4888,21.0,10.92001,678.0,华夏上证50ETF期权2603认购2.679,C,2.679,20250724,20260325
10009635.SH,20260119,SSE,0.4471,0.4418,0.4482,0.4624,0.4385,0.4394,0.4413,26.0,11.989417,1414.0,华夏上证50ETF期权2603认购2.728,C,2.728,20250724,20260325
10009636.SH,20260119,SSE,0.4007,0.3974,0.4027,0.416,0.3902,0.3953,0.3953,64.0,26.261257,1082.0,华夏上证50ETF期权2603认购2.776,C,2.776,20250724,20260325
10009637.SH,20260119,SSE,0.3515,0.3515,0.3569,0.3694,0.3459,0.3473,0.3482,31.0,11.211022,1019.0,华夏上证50ETF期权2603认购2.825,C,2.825,20250724,20260325
10009638.SH,20260119,SSE,0.3065,0.3055,0.3115,0.3237,0.2987,0.3035,0.3015,42.0,13.222244,795.0,华夏上证50ETF期权2603认购2.874,C,2.874,20250724,20260325
10009639.SH,20260119,SSE,0.2654,0.2654,0.2723,0.275,0.2544,0.2564,0.2588,169.0,44.703562,1868.0,华夏上证50ETF期权2603认购2.923,C,2.923,20250724,20260325
10009640.SH,20260119,SSE,0.1884,0.1884,0.1892,0.1985,0.175,0.1788,0.1788,373.0,71.170119,4619.0,华夏上证50ETF期权2603认购3.02,C,3.02,20250724,20260325
10009641.SH,20260119,SSE,0.1261,0.1261,0.126,0.1315,0.1125,0.1147,0.1147,741.0,93.618134,4970.0,华夏上证50ETF期权2603认购3.117,C,3.117,20250724,20260325
10009642.SH,20260119,SSE,0.0017,0.0017,0.0016,0.002,0.0016,0.0017,0.0017,129454.0,258.658804,17711.0,华夏上证50ETF期权2603认沽2.63,P,2.63,20250724,20260325
10009643.SH,20260119,SSE,0.0018,0.0018,0.0021,0.0024,0.0021,0.0023,0.0023,80034.0,185.759135,16480.0,华夏上证50ETF期权2603认沽2.679,P,2.679,20250724,20260325
10009644.SH,20260119,SSE,0.0037,0.0037,0.0039,0.0039,0.0034,0.0035,0.0035,2775.0,10.248371,6133.0,华夏上证50ETF期权2603认沽2.728,P,2.728,20250724,20260325
10009645.SH,20260119,SSE,0.0054,0.0053,0.0053,0.0054,0.0046,0.0048,0.0048,4364.0,21.936408,4287.0,华夏上证50ETF期权2603认沽2.776,P,2.776,20250724,20260325
10009646.SH,20260119,SSE,0.0079,0.0079,0.0081,0.0081,0.0068,0.007,0.007,1694.0,12.43112,5756.0,华夏上证50ETF期权2603认沽2.825,P,2.825,20250724,20260325
10009647.SH,20260119,SSE,0.0117,0.0117,0.012,0.012,0.0098,0.0102,0.0102,2308.0,24.856698,5637.0,华夏上证50ETF期权2603认沽2.874,P,2.874,20250724,20260325
10009648.SH,20260119,SSE,0.0173,0.0173,0.0178,0.0178,0.0143,0.0153,0.0153,1494.0,23.216043,7899.0,华夏上证50ETF期权2603认沽2.923,P,2.923,20250724,20260325
10009649.SH,20260119,SSE,0.0358,0.0358,0.0348,0.0348,0.0289,0.0324,0.0324,5100.0,165.766816,7104.0,华夏上证50ETF期权2603认沽3.02,P,3.02,20250724,20260325
10009650.SH,20260119,SSE,0.0699,0.0699,0.0704,0.0704,0.0585,0.0653,0.0653,1348.0,88.7942,4184.0,华夏上证50ETF期权2603认沽3.117,P,3.117,20250724,20260325
10009651.SH,20260119,SSE,1.0377,1.0576,1.0556,1.0683,1.0316,1.0425,1.0443,43.0,46.321643,1058.0,华泰柏瑞沪深300ETF期权2603认购3.704,C,3.704,20250724,20260325
10009652.SH,20260119,SSE,0.9409,0.9591,0.94,0.9731,0.9378,0.9478,0.9488,24.0,23.322006,856.0,华泰柏瑞沪深300ETF期权2603认购3.801,C,3.801,20250724,20260325
10009653.SH,20260119,SSE,0.845,0.8607,0.8498,0.8764,0.8393,0.8486,0.8521,36.0,31.670773,1463.0,华泰柏瑞沪深300ETF期权2603认购3.899,C,3.899,20250724,20260325
10009654.SH,20260119,SSE,0.75,0.7634,0.7812,0.7812,0.7529,0.7529,0.7572,7.0,5.489613,1714.0,华泰柏瑞沪深300ETF期权2603认购3.996,C,3.996,20250724,20260325
10009655.SH,20260119,SSE,0.6566,0.6674,0.66,0.6866,0.66,0.6707,0.6624,4.0,2.770405,1787.0,华泰柏瑞沪深300ETF期权2603认购4.094,C,4.094,20250724,20260325
10009656.SH,20260119,SSE,0.5645,0.5739,0.56,0.5946,0.56,0.5689,0.5701,88.0,52.197442,3177.0,华泰柏瑞沪深300ETF期权2603认购4.191,C,4.191,20250724,20260325
10009657.SH,20260119,SSE,0.4764,0.4845,0.4929,0.5117,0.4608,0.478,0.478,167.0,83.749918,3550.0,华泰柏瑞沪深300ETF期权2603认购4.288,C,4.288,20250724,20260325
10009658.SH,20260119,SSE,0.3925,0.4027,0.4029,0.425,0.3792,0.393,0.393,271.0,111.00571,8761.0,华泰柏瑞沪深300ETF期权2603认购4.386,C,4.386,20250724,20260325
10009659.SH,20260119,SSE,0.3163,0.3215,0.3141,0.3442,0.3052,0.3125,0.3125,480.0,158.208995,12431.0,华泰柏瑞沪深300ETF期权2603认购4.483,C,4.483,20250724,20260325
10009660.SH,20260119,SSE,0.0017,0.0017,0.0016,0.0017,0.001,0.0016,0.0016,32998.0,51.186217,20222.0,华泰柏瑞沪深300ETF期权2603认沽3.704,P,3.704,20250724,20260325
10009661.SH,20260119,SSE,0.0024,0.0025,0.0025,0.0025,0.0022,0.0024,0.0024,34591.0,82.470496,10346.0,华泰柏瑞沪深300ETF期权2603认沽3.801,P,3.801,20250724,20260325
10009662.SH,20260119,SSE,0.0035,0.0036,0.0035,0.0038,0.0031,0.0032,0.0032,8609.0,29.757078,8710.0,华泰柏瑞沪深300ETF期权2603认沽3.899,P,3.899,20250724,20260325
10009663.SH,20260119,SSE,0.0058,0.0059,0.0058,0.0061,0.0048,0.005,0.005,18056.0,96.065714,8989.0,华泰柏瑞沪深300ETF期权2603认沽3.996,P,3.996,20250724,20260325
10009664.SH,20260119,SSE,0.009,0.0092,0.0089,0.0093,0.0077,0.0078,0.0078,1696.0,14.334451,8668.0,华泰柏瑞沪深300ETF期权2603认沽4.094,P,4.094,20250724,20260325
10009665.SH,20260119,SSE,0.0142,0.0146,0.0141,0.0144,0.012,0.0124,0.0124,2479.0,32.7373,10135.0,华泰柏瑞沪深300ETF期权2603认沽4.191,P,4.191,20250724,20260325
10009666.SH,20260119,SSE,0.0219,0.0225,0.0221,0.0225,0.0182,0.0187,0.0187,2370.0,48.338964,12140.0,华泰柏瑞沪深300ETF期权2603认沽4.288,P,4.288,20250724,20260325
10009667.SH,20260119,SSE,0.0338,0.0347,0.0339,0.0359,0.0284,0.0301,0.0301,4543.0,145.981845,9799.0,华泰柏瑞沪深300ETF期权2603认沽4.386,P,4.386,20250724,20260325
10009668.SH,20260119,SSE,0.0541,0.0555,0.0539,0.0578,0.043,0.0463,0.0463,5129.0,255.666888,17836.0,华泰柏瑞沪深300ETF期权2603认沽4.483,P,4.483,20250724,20260325
10009669.SH,20260119,SSE,3.084,3.0485,3.1157,3.1686,3.1157,3.157,3.137,40.0,126.864098,2075.0,南方中证500ETF期权2603认购5.211,C,5.211,20250724,20260325
10009670.SH,20260119,SSE,2.836,2.8508,2.8174,2.9132,2.8174,2.8958,2.889,6.0,17.373632,1178.0,南方中证500ETF期权2603认购5.459,C,5.459,20250724,20260325
10009671.SH,20260119,SSE,2.588,2.5616,2.5461,2.6698,2.5461,2.6539,2.641,19.0,50.803792,1035.0,南方中证500ETF期权2603认购5.707,C,5.707,20250724,20260325
10009672.SH,20260119,SSE,2.3424,2.3037,2.395,2.431,2.395,2.4087,2.3981,22.0,53.447976,925.0,南方中证500ETF期权2603认购5.955,C,5.955,20250724,20260325
10009673.SH,20260119,SSE,2.0944,2.0692,2.1751,2.1787,2.15,2.168,2.1506,31.0,67.470361,2356.0,南方中证500ETF期权2603认购6.203,C,6.203,20250724,20260325
10009674.SH,20260119,SSE,1.8495,1.82,1.855,1.9285,1.855,1.9198,1.9064,41.0,78.528479,2012.0,南方中证500ETF期权2603认购6.452,C,6.452,20250724,20260325
10009675.SH,20260119,SSE,1.6039,1.5868,1.5868,1.696,1.5868,1.6533,1.661,108.0,180.622887,2772.0,南方中证500ETF期权2603认购6.7,C,6.7,20250724,20260325
10009676.SH,20260119,SSE,1.3595,1.3525,1.3725,1.4459,1.3724,1.415,1.415,94.0,134.89619,3192.0,南方中证500ETF期权2603认购6.948,C,6.948,20250724,20260325
10009677.SH,20260119,SSE,1.121,1.1108,1.1586,1.207,1.0903,1.185,1.1851,248.0,289.945806,7919.0,南方中证500ETF期权2603认购7.196,C,7.196,20250724,20260325
10009678.SH,20260119,SSE,0.0014,0.0014,0.0012,0.0014,0.0006,0.0009,0.0009,93450.0,80.934792,53187.0,南方中证500ETF期权2603认沽5.211,P,5.211,20250724,20260325
10009679.SH,20260119,SSE,0.0023,0.0023,0.002,0.0022,0.0015,0.0017,0.0017,47450.0,82.570972,47724.0,南方中证500ETF期权2603认沽5.459,P,5.459,20250724,20260325
10009680.SH,20260119,SSE,0.0025,0.0025,0.0026,0.0028,0.0018,0.0018,0.0018,45798.0,88.399561,16426.0,南方中证500ETF期权2603认沽5.707,P,5.707,20250724,20260325
10009681.SH,20260119,SSE,0.0038,0.0038,0.0036,0.0038,0.0023,0.0028,0.0028,4246.0,10.936614,18042.0,南方中证500ETF期权2603认沽5.955,P,5.955,20250724,20260325
10009682.SH,20260119,SSE,0.0052,0.0051,0.005,0.0056,0.0033,0.0036,0.0033,2927.0,11.327323,17182.0,南方中证500ETF期权2603认沽6.203,P,6.203,20250724,20260325
10009683.SH,20260119,SSE,0.0074,0.0076,0.0073,0.0084,0.0046,0.0048,0.0048,1624.0,8.877183,14921.0,南方中证500ETF期权2603认沽6.452,P,6.452,20250724,20260325
10009684.SH,20260119,SSE,0.0122,0.0124,0.0126,0.0126,0.0077,0.0088,0.0083,2105.0,18.640362,9197.0,南方中证500ETF期权2603认沽6.7,P,6.7,20250724,20260325
10009685.SH,20260119,SSE,0.0209,0.0209,0.0209,0.0228,0.0137,0.0155,0.015,6011.0,94.824691,9718.0,南方中证500ETF期权2603认沽6.948,P,6.948,20250724,20260325
10009686.SH,20260119,SSE,0.036,0.036,0.036,0.0393,0.0247,0.0266,0.0266,4686.0,134.058958,13200.0,南方中证500ETF期权2603认沽7.196,P,7.196,20250724,20260325
10009687.SH,20260119,SSE,0.743,0.7452,0.7383,0.7447,0.7296,0.7297,0.736,61.0,44.7505,1693.0,华夏上证科创板50ETF期权2603认购0.85,C,0.85,20250724,20260325
10009688.SH,20260119,SSE,0.693,0.686,0.6827,0.6855,0.6827,0.6855,0.686,2.0,1.3682,680.0,华夏上证科创板50ETF期权2603认购0.90,C,0.9,20250724,20260325
10009689.SH,20260119,SSE,0.643,0.6244,0.649,0.649,0.649,0.649,0.636,5.0,3.245,623.0,华夏上证科创板50ETF期权2603认购0.95,C,0.95,20250724,20260325
10009690.SH,20260119,SSE,0.593,0.5944,0.5808,0.5959,0.5808,0.5844,0.586,49.0,28.9493,1819.0,华夏上证科创板50ETF期权2603认购1.00,C,1.0,20250724,20260325
10009691.SH,20260119,SSE,0.543,0.5448,0.5316,0.5316,0.5316,0.5316,0.536,1.0,0.5316,1560.0,华夏上证科创板50ETF期权2603认购1.05,C,1.05,20250724,20260325
10009692.SH,20260119,SSE,0.493,0.4938,0.4887,0.49,0.4823,0.4844,0.486,72.0,35.0227,4388.0,华夏上证科创板50ETF期权2603认购1.10,C,1.1,20250724,20260325
10009693.SH,20260119,SSE,0.443,0.4371,0.4505,0.4505,0.438,0.4414,0.4361,18.0,7.9755,5041.0,华夏上证科创板50ETF期权2603认购1.15,C,1.15,20250724,20260325
10009694.SH,20260119,SSE,0.3967,0.3898,0.4,0.4008,0.3852,0.3872,0.3907,307.0,120.8651,9218.0,华夏上证科创板50ETF期权2603认购1.20,C,1.2,20250724,20260325
10009695.SH,20260119,SSE,0.3471,0.341,0.339,0.3533,0.335,0.335,0.3366,226.0,77.7385,6155.0,华夏上证科创板50ETF期权2603认购1.25,C,1.25,20250724,20260325
10009696.SH,20260119,SSE,0.0005,0.0004,0.0009,0.0009,0.0003,0.0005,0.0006,120193.0,57.0473,41495.0,华夏上证科创板50ETF期权2603认沽0.85,P,0.85,20250724,20260325
10009697.SH,20260119,SSE,0.0005,0.0004,0.0009,0.0009,0.0004,0.0005,0.0006,57122.0,29.0205,21860.0,华夏上证科创板50ETF期权2603认沽0.90,P,0.9,20250724,20260325
10009698.SH,20260119,SSE,0.0005,0.0005,0.001,0.001,0.0005,0.0006,0.0006,238693.0,146.3023,21298.0,华夏上证科创板50ETF期权2603认沽0.95,P,0.95,20250724,20260325
10009699.SH,20260119,SSE,0.0006,0.0006,0.0011,0.0011,0.0004,0.0006,0.0006,165468.0,114.3172,15096.0,华夏上证科创板50ETF期权2603认沽1.00,P,1.0,20250724,20260325
10009700.SH,20260119,SSE,0.0008,0.0008,0.001,0.0011,0.0006,0.0007,0.0007,44270.0,33.4707,20142.0,华夏上证科创板50ETF期权2603认沽1.05,P,1.05,20250724,20260325
10009701.SH,20260119,SSE,0.0015,0.0015,0.0017,0.0019,0.0013,0.0014,0.0014,17625.0,25.6384,13518.0,华夏上证科创板50ETF期权2603认沽1.10,P,1.1,20250724,20260325
10009702.SH,20260119,SSE,0.0021,0.0021,0.0022,0.0026,0.002,0.002,0.002,2442.0,5.3738,22310.0,华夏上证科创板50ETF期权2603认沽1.15,P,1.15,20250724,20260325
10009703.SH,20260119,SSE,0.003,0.003,0.0032,0.0036,0.0027,0.0027,0.0027,5233.0,15.7204,29595.0,华夏上证科创板50ETF期权2603认沽1.20,P,1.2,20250724,20260325
10009704.SH,20260119,SSE,0.0038,0.0038,0.004,0.0044,0.0032,0.0032,0.0032,8525.0,30.83,32681.0,华夏上证科创板50ETF期权2603认沽1.25,P,1.25,20250724,20260325
10009705.SH,20260119,SSE,0.7,0.696,,,,0.696,0.694,0.0,0.0,755.0,易方达上证科创板50ETF期权2603认购0.842,C,0.842,20250724,20260325
10009706.SH,20260119,SSE,0.651,0.6205,0.6513,0.6513,0.6513,0.6513,0.645,10.0,6.576176,302.0,易方达上证科创板50ETF期权2603认购0.891,C,0.891,20250724,20260325
10009707.SH,20260119,SSE,0.601,0.5799,0.6012,0.6012,0.6012,0.6012,0.595,10.0,6.070316,154.0,易方达上证科创板50ETF期权2603认购0.941,C,0.941,20250724,20260325
10009708.SH,20260119,SSE,0.552,0.5302,,,,0.5302,0.546,0.0,0.0,149.0,易方达上证科创板50ETF期权2603认购0.99,C,0.99,20250724,20260325
10009709.SH,20260119,SSE,0.502,0.4944,,,,0.4944,0.496,0.0,0.0,608.0,易方达上证科创板50ETF期权2603认购1.04,C,1.04,20250724,20260325
10009710.SH,20260119,SSE,0.453,0.4065,,,,0.4065,0.447,0.0,0.0,996.0,易方达上证科创板50ETF期权2603认购1.089,C,1.089,20250724,20260325
10009711.SH,20260119,SSE,0.403,0.3669,0.393,0.398,0.393,0.398,0.397,120.0,47.900168,1043.0,易方达上证科创板50ETF期权2603认购1.139,C,1.139,20250724,20260325
10009712.SH,20260119,SSE,0.354,0.3439,,,,0.3439,0.348,0.0,0.0,1403.0,易方达上证科创板50ETF期权2603认购1.188,C,1.188,20250724,20260325
10009713.SH,20260119,SSE,0.304,0.281,0.305,0.305,0.305,0.305,0.298,40.0,12.31834,896.0,易方达上证科创板50ETF期权2603认购1.238,C,1.238,20250724,20260325
10009714.SH,20260119,SSE,0.0004,0.0005,0.0005,0.0005,0.0004,0.0005,0.0005,4661.0,2.222855,8524.0,易方达上证科创板50ETF期权2603认沽0.842,P,0.842,20250724,20260325
10009715.SH,20260119,SSE,0.0004,0.0005,0.0006,0.0007,0.0004,0.0005,0.0005,23379.0,12.335404,3979.0,易方达上证科创板50ETF期权2603认沽0.891,P,0.891,20250724,20260325
10009716.SH,20260119,SSE,0.0006,0.0006,0.0006,0.0007,0.0005,0.0005,0.0005,67551.0,40.533498,3407.0,易方达上证科创板50ETF期权2603认沽0.941,P,0.941,20250724,20260325
10009717.SH,20260119,SSE,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0006,160.0,0.113086,1805.0,易方达上证科创板50ETF期权2603认沽0.99,P,0.99,20250724,20260325
10009718.SH,20260119,SSE,0.0007,0.0008,0.0008,0.001,0.0008,0.0009,0.0008,159.0,0.146407,3684.0,易方达上证科创板50ETF期权2603认沽1.04,P,1.04,20250724,20260325
10009719.SH,20260119,SSE,0.0014,0.0014,0.0014,0.0015,0.0014,0.0014,0.0016,202.0,0.29352,1954.0,易方达上证科创板50ETF期权2603认沽1.089,P,1.089,20250724,20260325
10009720.SH,20260119,SSE,0.0023,0.0023,0.0025,0.0025,0.0021,0.0021,0.002,352.0,0.779085,2014.0,易方达上证科创板50ETF期权2603认沽1.139,P,1.139,20250724,20260325
10009721.SH,20260119,SSE,0.0032,0.0033,0.0036,0.0036,0.0029,0.003,0.003,1140.0,3.692473,2610.0,易方达上证科创板50ETF期权2603认沽1.188,P,1.188,20250724,20260325
10009722.SH,20260119,SSE,0.0058,0.006,0.0059,0.0061,0.0052,0.0052,0.0051,377.0,2.115523,950.0,易方达上证科创板50ETF期权2603认沽1.238,P,1.238,20250724,20260325
10009729.SH,20260119,SSE,0.0788,0.0788,0.0774,0.0812,0.068,0.0692,0.0692,2090.0,157.973115,6795.0,华夏上证50ETF期权2603认购3.215,C,3.215,20250725,20260325
10009730.SH,20260119,SSE,0.1212,0.125,0.1176,0.121,0.1062,0.1175,0.1175,565.0,66.627549,2353.0,华夏上证50ETF期权2603认沽3.215,P,3.215,20250725,20260325
