ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
10010946.SH,20260122,1.2997,,1.2814,1.309,1.2814,1.2911,1.2879,35.0,45.22,35.0,南方中证500ETF期权2606认沽9.50,P,9.5,20260122,20260624
10010945.SH,20260122,0.1825,,0.2,0.2095,0.1792,0.2007,0.2007,796.0,156.6577,299.0,南方中证500ETF期权2606认购9.50,C,9.5,20260122,20260624
10010944.SH,20260122,1.1227,,1.0847,1.1203,1.0847,1.1203,1.1048,11.0,11.9673,11.0,南方中证500ETF期权2603认沽9.50,P,9.5,20260122,20260325
10010943.SH,20260122,0.0555,,0.0649,0.0731,0.0564,0.0675,0.0675,2640.0,164.5698,814.0,南方中证500ETF期权2603认购9.50,C,9.5,20260122,20260325
10010942.SH,20260122,1.0735,,,,,1.0735,1.045,0.0,0.0,0.0,南方中证500ETF期权2602认沽9.50,P,9.5,20260122,20260225
10010941.SH,20260122,0.0145,,0.0181,0.0233,0.0153,0.019,0.019,4916.0,94.8794,2250.0,南方中证500ETF期权2602认购9.50,C,9.5,20260122,20260225
10010940.SH,20260122,1.0681,,,,,1.0681,1.031,0.0,0.0,0.0,南方中证500ETF期权2601认沽9.50,P,9.5,20260122,20260128
10010939.SH,20260122,0.0005,,0.0008,0.0008,0.0004,0.0008,0.0007,161.0,0.1108,151.0,南方中证500ETF期权2601认购9.50,C,9.5,20260122,20260128
10010938.SH,20260122,0.5883,0.5922,0.5787,0.6033,0.5787,0.5993,0.5939,13.0,7.7644,341.0,华泰柏瑞沪深300ETF期权2606认沽5.25,P,5.25,20260119,20260624
10010937.SH,20260122,0.3973,0.3973,0.3874,0.4069,0.3874,0.4046,0.4037,51.0,20.3574,404.0,华泰柏瑞沪深300ETF期权2606认沽5.00,P,5.0,20260119,20260624
10010936.SH,20260122,0.3294,0.3303,0.3206,0.3388,0.3206,0.3388,0.3333,65.0,21.5775,345.0,华泰柏瑞沪深300ETF期权2606认沽4.90,P,4.9,20260119,20260624
10010935.SH,20260122,0.2694,0.2694,0.2608,0.2768,0.2536,0.271,0.271,164.0,44.0849,323.0,华泰柏瑞沪深300ETF期权2606认沽4.80,P,4.8,20260119,20260624
10010934.SH,20260122,0.2158,0.2141,0.2009,0.2223,0.2009,0.2159,0.2159,184.0,39.8281,359.0,华泰柏瑞沪深300ETF期权2606认沽4.70,P,4.7,20260119,20260624
10010933.SH,20260122,0.1692,0.1677,0.1572,0.1737,0.1572,0.169,0.169,733.0,123.0519,1209.0,华泰柏瑞沪深300ETF期权2606认沽4.60,P,4.6,20260119,20260624
10010932.SH,20260122,0.1308,0.1308,0.1231,0.1339,0.1208,0.1321,0.1298,92.0,11.9242,469.0,华泰柏瑞沪深300ETF期权2606认沽4.50,P,4.5,20260119,20260624
10010931.SH,20260122,0.0992,0.0992,0.0896,0.1018,0.0895,0.0997,0.0989,79.0,7.6516,521.0,华泰柏瑞沪深300ETF期权2606认沽4.40,P,4.4,20260119,20260624
10010930.SH,20260122,0.0739,0.074,0.0683,0.0768,0.068,0.0729,0.0729,405.0,29.9375,1654.0,华泰柏瑞沪深300ETF期权2606认沽4.30,P,4.3,20260119,20260624
10010929.SH,20260122,0.0873,0.0873,0.096,0.096,0.0859,0.0882,0.0882,775.0,69.5776,1308.0,华泰柏瑞沪深300ETF期权2606认购5.25,C,5.25,20260119,20260624
10010928.SH,20260122,0.1436,0.1426,0.149,0.1512,0.1374,0.1407,0.1423,322.0,45.843,1469.0,华泰柏瑞沪深300ETF期权2606认购5.00,C,5.0,20260119,20260624
10010927.SH,20260122,0.1732,0.1727,0.18,0.187,0.1683,0.1735,0.1727,525.0,91.6186,1340.0,华泰柏瑞沪深300ETF期权2606认购4.90,C,4.9,20260119,20260624
10010926.SH,20260122,0.211,0.211,0.2288,0.2288,0.2045,0.2078,0.2122,114.0,24.0134,369.0,华泰柏瑞沪深300ETF期权2606认购4.80,C,4.8,20260119,20260624
10010925.SH,20260122,0.2583,0.2596,0.2712,0.2712,0.2464,0.2528,0.2553,326.0,84.2432,1396.0,华泰柏瑞沪深300ETF期权2606认购4.70,C,4.7,20260119,20260624
10010924.SH,20260122,0.3107,0.318,0.3086,0.3086,0.3041,0.3042,0.3067,4.0,1.221,133.0,华泰柏瑞沪深300ETF期权2606认购4.60,C,4.6,20260119,20260624
10010923.SH,20260122,0.3715,0.3746,0.3814,0.3814,0.3571,0.3667,0.3667,14.0,5.1258,285.0,华泰柏瑞沪深300ETF期权2606认购4.50,C,4.5,20260119,20260624
10010922.SH,20260122,0.4351,0.4351,0.441,0.455,0.4279,0.433,0.4341,17.0,7.4739,427.0,华泰柏瑞沪深300ETF期权2606认购4.40,C,4.4,20260119,20260624
10010921.SH,20260122,0.5133,0.515,0.52,0.532,0.502,0.508,0.5084,90.0,46.2248,238.0,华泰柏瑞沪深300ETF期权2606认购4.30,C,4.3,20260119,20260624
10010920.SH,20260122,0.5273,0.53,0.5026,0.543,0.5026,0.5316,0.5326,175.0,93.0907,660.0,华泰柏瑞沪深300ETF期权2603认沽5.25,P,5.25,20260119,20260325
10010919.SH,20260122,0.3104,0.3104,0.295,0.3256,0.295,0.317,0.3132,181.0,57.4105,1133.0,华泰柏瑞沪深300ETF期权2603认沽5.00,P,5.0,20260119,20260325
10010918.SH,20260122,0.2372,0.2372,0.2156,0.2492,0.215,0.241,0.2372,372.0,87.8109,1827.0,华泰柏瑞沪深300ETF期权2603认沽4.90,P,4.9,20260119,20260325
10010917.SH,20260122,0.1722,0.1722,0.1536,0.1823,0.1534,0.1712,0.1712,1314.0,221.3517,1701.0,华泰柏瑞沪深300ETF期权2603认沽4.80,P,4.8,20260119,20260325
10010916.SH,20260122,0.118,0.118,0.1107,0.1275,0.1038,0.118,0.118,1913.0,227.2752,2241.0,华泰柏瑞沪深300ETF期权2603认沽4.70,P,4.7,20260119,20260325
10010915.SH,20260122,0.0778,0.0777,0.074,0.0849,0.0684,0.079,0.0785,2911.0,223.4577,5089.0,华泰柏瑞沪深300ETF期权2603认沽4.60,P,4.6,20260119,20260325
10010914.SH,20260122,0.0506,0.0507,0.0498,0.0543,0.0438,0.0496,0.0496,1097.0,54.7632,3190.0,华泰柏瑞沪深300ETF期权2603认沽4.50,P,4.5,20260119,20260325
10010913.SH,20260122,0.0319,0.0319,0.0303,0.0341,0.0209,0.0311,0.0311,1461.0,46.892,4378.0,华泰柏瑞沪深300ETF期权2603认沽4.40,P,4.4,20260119,20260325
10010912.SH,20260122,0.0199,0.0201,0.0191,0.0211,0.018,0.0193,0.0193,1320.0,26.1047,2832.0,华泰柏瑞沪深300ETF期权2603认沽4.30,P,4.3,20260119,20260325
10010911.SH,20260122,0.0219,0.0219,0.0253,0.026,0.0212,0.0227,0.0227,7115.0,163.7265,5847.0,华泰柏瑞沪深300ETF期权2603认购5.25,C,5.25,20260119,20260325
10010910.SH,20260122,0.0527,0.0527,0.0559,0.061,0.0497,0.0534,0.0534,5019.0,271.6921,8780.0,华泰柏瑞沪深300ETF期权2603认购5.00,C,5.0,20260119,20260325
10010909.SH,20260122,0.0783,0.0783,0.0885,0.0885,0.0724,0.0772,0.0772,1571.0,121.4214,3525.0,华泰柏瑞沪深300ETF期权2603认购4.90,C,4.9,20260119,20260325
10010908.SH,20260122,0.1123,0.1123,0.1199,0.1273,0.1045,0.112,0.1119,1924.0,216.1861,2942.0,华泰柏瑞沪深300ETF期权2603认购4.80,C,4.8,20260119,20260325
10010907.SH,20260122,0.1605,0.1612,0.17,0.1795,0.1488,0.1575,0.1575,3041.0,478.1616,3079.0,华泰柏瑞沪深300ETF期权2603认购4.70,C,4.7,20260119,20260325
10010906.SH,20260122,0.2203,0.2203,0.2351,0.2431,0.2067,0.2174,0.2174,379.0,81.8768,1255.0,华泰柏瑞沪深300ETF期权2603认购4.60,C,4.6,20260119,20260325
10010905.SH,20260122,0.2905,0.2905,0.3149,0.3149,0.2781,0.2899,0.2887,88.0,25.5507,301.0,华泰柏瑞沪深300ETF期权2603认购4.50,C,4.5,20260119,20260325
10010904.SH,20260122,0.3695,0.3695,0.3825,0.3839,0.358,0.358,0.3693,51.0,19.1656,124.0,华泰柏瑞沪深300ETF期权2603认购4.40,C,4.4,20260119,20260325
10010903.SH,20260122,0.4603,0.4634,0.475,0.4791,0.4435,0.4548,0.4563,31.0,14.5051,52.0,华泰柏瑞沪深300ETF期权2603认购4.30,C,4.3,20260119,20260325
10010902.SH,20260122,0.5239,0.5102,0.5007,0.5359,0.5007,0.5242,0.523,66.0,34.7996,476.0,华泰柏瑞沪深300ETF期权2602认沽5.25,P,5.25,20260119,20260225
