maturity,days,strike,forward,moneyness,option_type,iv,volume,call_iv,put_iv,call_volume,put_volume
2605,39,860,809.6791741924247,1.062149092395473,call,20.08025319295222,1454.0,20.08025319295222,18.497000712869486,1454.0,127.0
2605,39,850,809.6791741924247,1.0497985215536652,call,19.539434279426267,5185.0,19.539434279426267,20.258748809717847,5185.0,90.0
2605,39,840,809.6791741924247,1.0374479507118572,call,18.746625646660075,2622.0,18.746625646660075,18.2529625035307,2622.0,316.0
2605,39,830,809.6791741924247,1.0250973798700496,call,18.374349426648205,6388.0,18.374349426648205,19.9307678328293,6388.0,958.0
2605,39,820,809.6791741924247,1.0127468090282417,call,17.742516756245806,4891.0,17.742516756245806,19.38930262778083,4891.0,1532.0
2605,39,810,809.6791741924247,1.0003962381864338,put,17.414578562566117,3865.0,17.62351633021961,17.414578562566117,3209.0,3865.0
2605,39,800,809.6791741924247,0.9880456673446261,put,17.31213884589024,9166.0,17.553177548110156,17.31213884589024,4213.0,9166.0
2605,39,790,809.6791741924247,0.9756950965028182,put,17.66195516973002,5335.0,20.13396339267374,17.66195516973002,282.0,5335.0
2605,39,780,809.6791741924247,0.9633445256610104,put,18.083178053115994,3416.0,18.083178053116054,18.083178053115994,535.0,3416.0
2605,39,770,809.6791741924247,0.9509939548192026,put,19.021258649673616,2268.0,15.894256443334095,19.021258649673616,62.0,2268.0
2605,39,760,809.6791741924247,0.9386433839773948,put,20.278505840718687,3072.0,16.218564019771176,20.278505840718687,251.0,3072.0
2605,39,750,809.6791741924247,0.9262928131355869,put,21.63296215651892,5583.0,,21.63296215651892,0.0,5583.0
2605,39,740,809.6791741924247,0.9139422422937791,put,22.217302995450396,923.0,,22.217302995450396,0.0,923.0
2605,39,730,809.6791741924247,0.9015916714519713,put,23.709581702387283,631.0,,23.709581702387283,0.0,631.0
2605,39,720,809.6791741924247,0.8892411006101634,put,24.70394175641443,555.0,,24.70394175641443,0.0,555.0
2605,39,710,809.6791741924247,0.8768905297683556,put,26.019076948334057,323.0,,26.019076948334057,0.0,323.0
2605,39,700,809.6791741924247,0.8645399589265478,put,27.50869876476451,5722.0,,27.50869876476451,0.0,5722.0
2605,39,690,809.6791741924247,0.85218938808474,put,28.420253782695003,237.0,,28.420253782695003,0.0,237.0
2605,39,680,809.6791741924247,0.8398388172429321,put,28.993316721481293,598.0,,28.993316721481293,0.0,598.0
2605,39,670,809.6791741924247,0.8274882464011243,put,30.435208888327036,151.0,,30.435208888327036,0.0,151.0
2605,39,660,809.6791741924247,0.8151376755593165,put,31.777556896524352,938.0,,31.777556896524352,0.0,938.0
2605,39,650,809.6791741924247,0.8027871047175087,put,32.99934586944213,73.0,,32.99934586944213,0.0,73.0
2605,39,940,809.6791741924247,1.1609536591299356,call,26.09242563583591,8507.0,26.09242563583591,,8507.0,0.0
2605,39,930,809.6791741924247,1.1486030882881277,call,25.692268923523425,961.0,25.692268923523425,,961.0,0.0
2605,39,920,809.6791741924247,1.1362525174463198,call,25.055900974277183,412.0,25.055900974277183,,412.0,0.0
2605,39,910,809.6791741924247,1.1239019466045121,call,23.952604361333407,799.0,23.952604361333407,,799.0,0.0
2605,39,900,809.6791741924247,1.1115513757627042,call,23.906742430116488,13512.0,23.906742430116488,,13512.0,0.0
2605,39,890,809.6791741924247,1.0992008049208966,call,22.667077640574433,838.0,22.667077640574433,,838.0,0.0
2605,39,880,809.6791741924247,1.0868502340790887,call,21.46143097271997,3182.0,21.46143097271997,,3182.0,0.0
2605,39,870,809.6791741924247,1.0744996632372807,call,21.0409013841729,1270.0,21.0409013841729,,1270.0,0.0
2606,69,830,796.4360476288409,1.0421426836104244,call,21.29319793220222,147.0,21.29319793220222,22.464300581680256,147.0,125.0
2606,69,810,796.4360476288409,1.0170308117161972,call,20.297668282672827,95.0,20.297668282672827,20.297668282672745,95.0,76.0
